context,p,r,f1,n_pos,total_pos,n_neg,total_neg
wooden,1.0,1.0,1.0,14,14,0,2
hand,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
used,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
wood,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
front,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
frame,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
corner,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
floor,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
serves,0.9583333333333334,0.9375,0.9425925925925926,13,14,0,2
silver,0.9375,0.875,0.891025641025641,12,14,0,2
onto,0.9375,0.875,0.891025641025641,12,14,0,2
log,0.9375,0.875,0.891025641025641,12,14,0,2
century,0.9375,0.875,0.891025641025641,12,14,0,2
small,0.9375,0.875,0.891025641025641,12,14,0,2
width,0.9375,0.875,0.891025641025641,12,14,0,2
iron,0.9375,0.875,0.891025641025641,12,14,0,2
replaced,0.9375,0.875,0.891025641025641,12,14,0,2
stand,0.9375,0.875,0.891025641025641,12,14,0,2
fork,0.9375,0.875,0.891025641025641,12,14,0,2
lined,0.9375,0.875,0.891025641025641,12,14,0,2
higher,0.9375,0.875,0.891025641025641,12,14,0,2
stands,0.9375,0.875,0.891025641025641,12,14,0,2
brush,0.925,0.8125,0.8414285714285714,11,14,0,2
color,0.925,0.8125,0.8414285714285714,11,14,0,2
using,0.925,0.8125,0.8414285714285714,11,14,0,2
tip,0.925,0.8125,0.8414285714285714,11,14,0,2
interior,0.925,0.8125,0.8414285714285714,11,14,0,2
painted,0.925,0.8125,0.8414285714285714,11,14,0,2
stick,0.925,0.8125,0.8414285714285714,11,14,0,2
plastic,0.925,0.8125,0.8414285714285714,11,14,0,2
commonly,0.925,0.8125,0.8414285714285714,11,14,0,2
pin,0.925,0.8125,0.8414285714285714,11,14,0,2
designs,0.925,0.8125,0.8414285714285714,11,14,0,2
design,0.925,0.8125,0.8414285714285714,11,14,0,2
designed,0.925,0.8125,0.8414285714285714,11,14,0,2
placed,0.925,0.8125,0.8414285714285714,11,14,0,2
sized,0.925,0.8125,0.8414285714285714,11,14,0,2
steel,0.925,0.8125,0.8414285714285714,11,14,0,2
room,0.925,0.8125,0.8414285714285714,11,14,0,2
produces,0.925,0.8125,0.8414285714285714,11,14,0,2
common,0.925,0.8125,0.8414285714285714,11,14,0,2
structure,0.925,0.8125,0.8414285714285714,11,14,0,2
rare,0.925,0.8125,0.8414285714285714,11,14,0,2
leaf,0.925,0.8125,0.8414285714285714,11,14,0,2
useful,0.925,0.8125,0.8414285714285714,11,14,0,2
either,0.925,0.8125,0.8414285714285714,11,14,0,2
19th,0.925,0.8125,0.8414285714285714,11,14,0,2
underneath,0.925,0.8125,0.8414285714285714,11,14,0,2
circular,0.925,0.8125,0.8414285714285714,11,14,0,2
1959,0.925,0.8125,0.8414285714285714,11,14,0,2
royal,0.925,0.8125,0.8414285714285714,11,14,0,2
pond,0.925,0.8125,0.8414285714285714,11,14,0,2
hidden,0.925,0.8125,0.8414285714285714,11,14,0,2
whereas,0.925,0.8125,0.8414285714285714,11,14,0,2
decorative,0.925,0.8125,0.8414285714285714,11,14,0,2
palm,0.925,0.8125,0.8414285714285714,11,14,0,2
built,0.925,0.8125,0.8414285714285714,11,14,0,2
foot,0.925,0.8125,0.8414285714285714,11,14,0,2
cottage,0.925,0.8125,0.8414285714285714,11,14,0,2
hung,0.925,0.8125,0.8414285714285714,11,14,0,2
laid,0.925,0.8125,0.8414285714285714,11,14,0,2
upper,0.925,0.8125,0.8414285714285714,11,14,0,2
recovered,0.925,0.8125,0.8414285714285714,11,14,0,2
anne,0.925,0.8125,0.8414285714285714,11,14,0,2
bench,0.925,0.8125,0.8414285714285714,11,14,0,2
cedar,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
yellow,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
pale,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
boards,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
old,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
size,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
diameter,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
pine,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
neck,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
story,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
colors,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
applied,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
thick,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
use,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
attached,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
developed,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
golden,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
door,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
represents,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
removing,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
native,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
principal,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
horizontal,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
foundation,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
improvements,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
becomes,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
resting,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
tall,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
actually,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
indicating,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
sword,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
collected,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
section,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
semi,0.9166666666666666,0.75,0.7916666666666666,10,14,0,2
