context,p,r,f1,n_pos,total_pos,n_neg,total_neg
century,1.0,1.0,1.0,6,6,0,2
milk,1.0,1.0,1.0,6,6,0,2
pieces,1.0,1.0,1.0,6,6,0,2
or,1.0,1.0,1.0,6,6,0,2
used,1.0,1.0,1.0,6,6,0,2
iron,1.0,1.0,1.0,6,6,0,2
sculpture,1.0,1.0,1.0,6,6,0,2
thick,1.0,1.0,1.0,6,6,0,2
decorated,1.0,1.0,1.0,6,6,0,2
paintings,1.0,1.0,1.0,6,6,0,2
inside,1.0,1.0,1.0,6,6,0,2
layer,1.0,1.0,1.0,6,6,0,2
small,1.0,1.0,1.0,6,6,0,2
above,1.0,1.0,1.0,6,6,0,2
industry,1.0,1.0,1.0,6,6,0,2
contains,1.0,1.0,1.0,6,6,0,2
quality,1.0,1.0,1.0,6,6,0,2
like,1.0,1.0,1.0,6,6,0,2
displayed,1.0,1.0,1.0,6,6,0,2
containing,1.0,1.0,1.0,6,6,0,2
types,1.0,1.0,1.0,6,6,0,2
style,1.0,1.0,1.0,6,6,0,2
silver,1.0,1.0,1.0,6,6,0,2
designs,1.0,1.0,1.0,6,6,0,2
roman,1.0,1.0,1.0,6,6,0,2
today,1.0,1.0,1.0,6,6,0,2
added,1.0,1.0,1.0,6,6,0,2
include,1.0,1.0,1.0,6,6,0,2
shape,1.0,1.0,1.0,6,6,0,2
techniques,1.0,1.0,1.0,6,6,0,2
balls,1.0,1.0,1.0,6,6,0,2
smaller,1.0,1.0,1.0,6,6,0,2
consists,1.0,1.0,1.0,6,6,0,2
largest,1.0,1.0,1.0,6,6,0,2
type,1.0,1.0,1.0,6,6,0,2
similar,1.0,1.0,1.0,6,6,0,2
centre,1.0,1.0,1.0,6,6,0,2
uses,1.0,1.0,1.0,6,6,0,2
pipe,1.0,1.0,1.0,6,6,0,2
produce,1.0,1.0,1.0,6,6,0,2
forms,1.0,1.0,1.0,6,6,0,2
adding,1.0,1.0,1.0,6,6,0,2
oil,1.0,1.0,1.0,6,6,0,2
preserved,1.0,1.0,1.0,6,6,0,2
plant,1.0,1.0,1.0,6,6,0,2
rolled,1.0,1.0,1.0,6,6,0,2
cream,1.0,1.0,1.0,6,6,0,2
creating,1.0,1.0,1.0,6,6,0,2
larger,1.0,1.0,1.0,6,6,0,2
grown,1.0,1.0,1.0,6,6,0,2
18th,1.0,1.0,1.0,6,6,0,2
ash,1.0,1.0,1.0,6,6,0,2
underneath,1.0,1.0,1.0,6,6,0,2
society,1.0,1.0,1.0,6,6,0,2
simple,1.0,1.0,1.0,6,6,0,2
lined,1.0,1.0,1.0,6,6,0,2
elsewhere,1.0,1.0,1.0,6,6,0,2
surrounding,1.0,1.0,1.0,6,6,0,2
born,1.0,1.0,1.0,6,6,0,2
consisting,1.0,1.0,1.0,6,6,0,2
commonly,1.0,1.0,1.0,6,6,0,2
referred,1.0,1.0,1.0,6,6,0,2
parts,1.0,1.0,1.0,6,6,0,2
base,1.0,1.0,1.0,6,6,0,2
typical,1.0,1.0,1.0,6,6,0,2
invention,1.0,1.0,1.0,6,6,0,2
section,1.0,1.0,1.0,6,6,0,2
widely,1.0,1.0,1.0,6,6,0,2
