context,p,r,f1,n_pos,total_pos,n_neg,total_neg
blood,1.0,1.0,1.0,7,7,0,1
rear,1.0,1.0,1.0,7,7,0,1
seat,1.0,1.0,1.0,7,7,0,1
filled,1.0,1.0,1.0,7,7,0,1
in,1.0,1.0,1.0,7,7,0,1
plastic,1.0,1.0,1.0,7,7,0,1
container,1.0,1.0,1.0,7,7,0,1
pot,1.0,1.0,1.0,7,7,0,1
milk,1.0,1.0,1.0,7,7,0,1
top,1.0,1.0,1.0,7,7,0,1
inside,1.0,1.0,1.0,7,7,0,1
four,1.0,1.0,1.0,7,7,0,1
an,1.0,1.0,1.0,7,7,0,1
as,1.0,1.0,1.0,7,7,0,1
attached,1.0,1.0,1.0,7,7,0,1
one,1.0,1.0,1.0,7,7,0,1
when,1.0,1.0,1.0,7,7,0,1
standard,1.0,1.0,1.0,7,7,0,1
size,1.0,1.0,1.0,7,7,0,1
balls,1.0,1.0,1.0,7,7,0,1
example,1.0,1.0,1.0,7,7,0,1
lid,1.0,1.0,1.0,7,7,0,1
depth,1.0,1.0,1.0,7,7,0,1
another,1.0,1.0,1.0,7,7,0,1
tin,1.0,1.0,1.0,7,7,0,1
get,1.0,1.0,1.0,7,7,0,1
amount,1.0,1.0,1.0,7,7,0,1
stored,1.0,1.0,1.0,7,7,0,1
installed,1.0,1.0,1.0,7,7,0,1
non,1.0,1.0,1.0,7,7,0,1
dropping,1.0,1.0,1.0,7,7,0,1
band,1.0,1.0,1.0,7,7,0,1
there,1.0,1.0,1.0,7,7,0,1
re,1.0,1.0,1.0,7,7,0,1
placed,1.0,1.0,1.0,7,7,0,1
rather,1.0,1.0,1.0,7,7,0,1
food,1.0,1.0,1.0,7,7,0,1
system,1.0,1.0,1.0,7,7,0,1
spin,1.0,1.0,1.0,7,7,0,1
person,1.0,1.0,1.0,7,7,0,1
sponge,1.0,1.0,1.0,7,7,0,1
contained,1.0,1.0,1.0,7,7,0,1
are,1.0,1.0,1.0,7,7,0,1
comfort,1.0,1.0,1.0,7,7,0,1
usually,1.0,1.0,1.0,7,7,0,1
oil,1.0,1.0,1.0,7,7,0,1
exactly,1.0,1.0,1.0,7,7,0,1
pulls,1.0,1.0,1.0,7,7,0,1
must,1.0,1.0,1.0,7,7,0,1
drum,1.0,1.0,1.0,7,7,0,1
compartment,1.0,1.0,1.0,7,7,0,1
allows,1.0,1.0,1.0,7,7,0,1
gives,1.0,1.0,1.0,7,7,0,1
bed,1.0,1.0,1.0,7,7,0,1
but,1.0,1.0,1.0,7,7,0,1
added,1.0,1.0,1.0,7,7,0,1
collecting,1.0,1.0,1.0,7,7,0,1
book,1.0,1.0,1.0,7,7,0,1
contains,1.0,1.0,1.0,7,7,0,1
opening,1.0,1.0,1.0,7,7,0,1
set,1.0,1.0,1.0,7,7,0,1
window,1.0,1.0,1.0,7,7,0,1
single,1.0,1.0,1.0,7,7,0,1
been,1.0,1.0,1.0,7,7,0,1
have,1.0,1.0,1.0,7,7,0,1
liquid,1.0,1.0,1.0,7,7,0,1
keeps,1.0,1.0,1.0,7,7,0,1
itself,1.0,1.0,1.0,7,7,0,1
while,1.0,1.0,1.0,7,7,0,1
sides,1.0,1.0,1.0,7,7,0,1
element,1.0,1.0,1.0,7,7,0,1
much,1.0,1.0,1.0,7,7,0,1
raising,1.0,1.0,1.0,7,7,0,1
film,1.0,1.0,1.0,7,7,0,1
create,1.0,1.0,1.0,7,7,0,1
located,1.0,1.0,1.0,7,7,0,1
carbon,1.0,1.0,1.0,7,7,0,1
