context,p,r,f1,n_pos,total_pos,n_neg,total_neg
take,1.0,1.0,1.0,6,6,0,3
highest,1.0,1.0,1.0,6,6,0,3
abandoned,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
day,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
world,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
because,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
virginia,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
go,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
name,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
de,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
home,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
sports,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
machines,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
idea,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
subject,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
fifty,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
chase,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
impression,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
our,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
ball,0.9166666666666666,0.8888888888888888,0.8917748917748918,5,6,0,3
road,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
yard,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
bridge,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
island,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
south,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
distance,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
union,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
regulation,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
region,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
canada,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
boston,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
serves,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
park,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
currently,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
there,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
companies,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
county,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
former,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
established,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
enthusiasts,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
chicago,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
largest,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
several,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
nearby,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
victoria,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
wales,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
creek,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
ownership,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
journey,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
many,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
community,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
container,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
philadelphia,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
united,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
california,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
edinburgh,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
extensive,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
australian,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
land,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
bay,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
following,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
2009,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
indian,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
ever,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
list,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
work,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
12,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
became,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
1960s,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
term,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
tube,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
brand,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
nation,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
traveled,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
50,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
decades,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
bird,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
ultimately,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
advent,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
gun,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
american,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
general,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
buffalo,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
club,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
came,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
tin,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
profit,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
campaign,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
compatible,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
receiver,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
mountain,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
dutch,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
birds,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
sits,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
22,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
step,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
1950s,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
boxes,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
israel,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
house,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
1928,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
27,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
pan,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
net,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
oak,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
franklin,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
1964,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
followed,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
1930,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
annual,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
president,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
bush,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
dominant,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
particular,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
eliminated,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
exhibition,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
1937,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
dining,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
peter,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
mr,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
formation,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
restaurant,0.8666666666666667,0.7777777777777778,0.7833333333333334,4,6,0,3
