context,p,r,f1,n_pos,total_pos,n_neg,total_neg
features,1.0,1.0,1.0,8,8,0,2
out,1.0,1.0,1.0,8,8,0,2
reception,1.0,1.0,1.0,8,8,0,2
details,1.0,1.0,1.0,8,8,0,2
mother,1.0,1.0,1.0,8,8,0,2
photo,1.0,1.0,1.0,8,8,0,2
photograph,1.0,1.0,1.0,8,8,0,2
dealer,1.0,1.0,1.0,8,8,0,2
pictures,1.0,1.0,1.0,8,8,0,2
fake,1.0,1.0,1.0,8,8,0,2
multiple,1.0,1.0,1.0,8,8,0,2
remove,1.0,1.0,1.0,8,8,0,2
matter,1.0,1.0,1.0,8,8,0,2
keeps,1.0,1.0,1.0,8,8,0,2
revealing,1.0,1.0,1.0,8,8,0,2
thanks,1.0,1.0,1.0,8,8,0,2
posters,1.0,1.0,1.0,8,8,0,2
telephone,1.0,1.0,1.0,8,8,0,2
lobby,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
alice,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
quality,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
door,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
hand,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
dates,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
man,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
showing,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
cost,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
manufacturing,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
boy,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
displays,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
products,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
images,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
puzzle,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
effect,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
finds,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
according,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
apparently,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
purchase,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
easy,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
worker,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
collected,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
machine,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
reads,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
million,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
liverpool,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
retain,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
earlier,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
custom,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
hidden,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
sheets,0.9333333333333333,0.9,0.9066666666666666,7,8,0,2
