context,p,r,f1,n_pos,total_pos,n_neg,total_neg
cos,1.0,1.0,1.0,1,1,0,10
corn,1.0,1.0,1.0,1,1,0,10
cob,1.0,1.0,1.0,1,1,0,10
greenwich,1.0,1.0,1.0,1,1,0,10
gypsy,1.0,1.0,1.0,1,1,0,10
speicher,1.0,1.0,1.0,1,1,0,10
norman,1.0,1.0,1.0,1,1,0,10
boliviana,1.0,1.0,1.0,1,1,0,10
pony,1.0,1.0,1.0,1,1,0,10
adobe,1.0,1.0,1.0,1,1,0,10
welsh,1.0,1.0,1.0,1,1,0,10
obrera,1.0,1.0,1.0,1,1,0,10
thatch,1.0,1.0,1.0,1,1,0,10
bolivian,1.0,1.0,1.0,1,1,0,10
mianus,1.0,1.0,1.0,1,1,0,10
kernels,1.0,1.0,1.0,1,1,0,10
thatched,1.0,1.0,1.0,1,1,0,10
connecticut,1.0,1.0,1.0,1,1,0,10
cottages,1.0,1.0,1.0,1,1,0,10
maize,1.0,1.0,1.0,1,1,0,10
glenville,1.0,1.0,1.0,1,1,0,10
embankment,1.0,1.0,1.0,1,1,0,10
rammed,1.0,1.0,1.0,1,1,0,10
melchor,1.0,1.0,1.0,1,1,0,10
castro,1.0,1.0,1.0,1,1,0,10
cottage,1.0,1.0,1.0,1,1,0,10
walls,1.0,1.0,1.0,1,1,0,10
wall,1.0,1.0,1.0,1,1,0,10
section,1.0,1.0,1.0,1,1,0,10
colony,1.0,1.0,1.0,1,1,0,10
pipe,1.0,1.0,1.0,1,1,0,10
irish,1.0,1.0,1.0,1,1,0,10
coloured,1.0,1.0,1.0,1,1,0,10
quintana,1.0,1.0,1.0,1,1,0,10
built,1.0,1.0,1.0,1,1,0,10
clay,1.0,1.0,1.0,1,1,0,10
gut,1.0,1.0,1.0,1,1,0,10
art,1.0,1.0,1.0,1,1,0,10
known,1.0,1.0,1.0,1,1,0,10
potatoes,1.0,1.0,1.0,1,1,0,10
horses,1.0,1.0,1.0,1,1,0,10
workers,1.0,1.0,1.0,1,1,0,10
gallery,1.0,1.0,1.0,1,1,0,10
norwalk,1.0,1.0,1.0,1,1,0,10
bahamas,1.0,1.0,1.0,1,1,0,10
olympic,1.0,1.0,1.0,1,1,0,10
chalk,1.0,1.0,1.0,1,1,0,10
houses,1.0,1.0,1.0,1,1,0,10
timber,1.0,1.0,1.0,1,1,0,10
locally,1.0,1.0,1.0,1,1,0,10
base,1.0,1.0,1.0,1,1,0,10
tractor,1.0,1.0,1.0,1,1,0,10
breeders,1.0,1.0,1.0,1,1,0,10
shelled,1.0,1.0,1.0,1,1,0,10
devon,1.0,1.0,1.0,1,1,0,10
earth,1.0,1.0,1.0,1,1,0,10
college,1.0,1.0,1.0,1,1,0,10
mixture,1.0,1.0,1.0,1,1,0,10
wizard,1.0,1.0,1.0,1,1,0,10
brazilian,1.0,1.0,1.0,1,1,0,10
thoroughbred,1.0,1.0,1.0,1,1,0,10
coinage,1.0,1.0,1.0,1,1,0,10
building,1.0,1.0,1.0,1,1,0,10
ear,1.0,1.0,1.0,1,1,0,10
used,1.0,1.0,1.0,1,1,0,10
crafts,1.0,1.0,1.0,1,1,0,10
strike,1.0,1.0,1.0,1,1,0,10
structures,1.0,1.0,1.0,1,1,0,10
close,1.0,1.0,1.0,1,1,0,10
nut,1.0,1.0,1.0,1,1,0,10
railroad,1.0,1.0,1.0,1,1,0,10
weir,1.0,1.0,1.0,1,1,0,10
cavalry,1.0,1.0,1.0,1,1,0,10
popcorn,1.0,1.0,1.0,1,1,0,10
oven,1.0,1.0,1.0,1,1,0,10
build,1.0,1.0,1.0,1,1,0,10
cut,1.0,1.0,1.0,1,1,0,10
constructed,1.0,1.0,1.0,1,1,0,10
ruins,1.0,1.0,1.0,1,1,0,10
modern,1.0,1.0,1.0,1,1,0,10
summer,1.0,1.0,1.0,1,1,0,10
labor,1.0,1.0,1.0,1,1,0,10
inspection,1.0,1.0,1.0,1,1,0,10
ears,1.0,1.0,1.0,1,1,0,10
metro,1.0,1.0,1.0,1,1,0,10
onions,1.0,1.0,1.0,1,1,0,10
focuses,1.0,1.0,1.0,1,1,0,10
fires,1.0,1.0,1.0,1,1,0,10
using,1.0,1.0,1.0,1,1,0,10
1904,1.0,1.0,1.0,1,1,0,10
cave,1.0,1.0,1.0,1,1,0,10
anglo,1.0,1.0,1.0,1,1,0,10
week,1.0,1.0,1.0,1,1,0,10
confront,1.0,1.0,1.0,1,1,0,10
18th,1.0,1.0,1.0,1,1,0,10
mashed,1.0,1.0,1.0,1,1,0,10
techniques,1.0,1.0,1.0,1,1,0,10
haven,1.0,1.0,1.0,1,1,0,10
drum,1.0,1.0,1.0,1,1,0,10
international,1.0,1.0,1.0,1,1,0,10
added,1.0,1.0,1.0,1,1,0,10
chief,1.0,1.0,1.0,1,1,0,10
chip,1.0,1.0,1.0,1,1,0,10
saddle,1.0,1.0,1.0,1,1,0,10
silk,1.0,1.0,1.0,1,1,0,10
operating,1.0,1.0,1.0,1,1,0,10
society,1.0,1.0,1.0,1,1,0,10
brick,1.0,1.0,1.0,1,1,0,10
type,1.0,1.0,1.0,1,1,0,10
cook,1.0,1.0,1.0,1,1,0,10
sites,1.0,1.0,1.0,1,1,0,10
moved,1.0,1.0,1.0,1,1,0,10
jarvis,1.0,1.0,1.0,1,1,0,10
cosmic,1.0,1.0,1.0,1,1,0,10
912,1.0,1.0,1.0,1,1,0,10
sculptor,1.0,1.0,1.0,1,1,0,10
tenure,1.0,1.0,1.0,1,1,0,10
enlisted,1.0,1.0,1.0,1,1,0,10
crib,1.0,1.0,1.0,1,1,0,10
researching,1.0,1.0,1.0,1,1,0,10
tinker,1.0,1.0,1.0,1,1,0,10
cab,1.0,1.0,1.0,1,1,0,10
material,1.0,1.0,1.0,1,1,0,10
charge,1.0,1.0,1.0,1,1,0,10
clive,1.0,1.0,1.0,1,1,0,10
resume,1.0,1.0,1.0,1,1,0,10
considers,1.0,1.0,1.0,1,1,0,10
classic,1.0,1.0,1.0,1,1,0,10
headquartered,1.0,1.0,1.0,1,1,0,10
balance,1.0,1.0,1.0,1,1,0,10
intended,1.0,1.0,1.0,1,1,0,10
degree,1.0,1.0,1.0,1,1,0,10
unusually,1.0,1.0,1.0,1,1,0,10
1857,1.0,1.0,1.0,1,1,0,10
stripped,1.0,1.0,1.0,1,1,0,10
occupy,1.0,1.0,1.0,1,1,0,10
confederation,1.0,1.0,1.0,1,1,0,10
farmhouse,1.0,1.0,1.0,1,1,0,10
loaf,1.0,1.0,1.0,1,1,0,10
downtown,1.0,1.0,1.0,1,1,0,10
commanding,1.0,1.0,1.0,1,1,0,10
hare,1.0,1.0,1.0,1,1,0,10
seeks,1.0,1.0,1.0,1,1,0,10
domain,1.0,1.0,1.0,1,1,0,10
ancestor,1.0,1.0,1.0,1,1,0,10
plant,1.0,1.0,1.0,1,1,0,10
surrounding,1.0,1.0,1.0,1,1,0,10
dragon,1.0,1.0,1.0,1,1,0,10
grain,1.0,1.0,1.0,1,1,0,10
al,1.0,1.0,1.0,1,1,0,10
homeland,1.0,1.0,1.0,1,1,0,10
cobb,1.0,1.0,1.0,1,1,0,10
railway,1.0,1.0,1.0,1,1,0,10
straight,1.0,1.0,1.0,1,1,0,10
always,1.0,1.0,1.0,1,1,0,10
fire,1.0,1.0,1.0,1,1,0,10
1884,1.0,1.0,1.0,1,1,0,10
23,1.0,1.0,1.0,1,1,0,10
multi,1.0,1.0,1.0,1,1,0,10
delivery,1.0,1.0,1.0,1,1,0,10
kept,1.0,1.0,1.0,1,1,0,10
shoulder,1.0,1.0,1.0,1,1,0,10
smart,1.0,1.0,1.0,1,1,0,10
assembly,1.0,1.0,1.0,1,1,0,10
construction,1.0,1.0,1.0,1,1,0,10
facility,1.0,1.0,1.0,1,1,0,10
rendered,1.0,1.0,1.0,1,1,0,10
pole,1.0,1.0,1.0,1,1,0,10
technique,1.0,1.0,1.0,1,1,0,10
junction,1.0,1.0,1.0,1,1,0,10
additional,1.0,1.0,1.0,1,1,0,10
saving,1.0,1.0,1.0,1,1,0,10
soil,1.0,1.0,1.0,1,1,0,10
either,1.0,1.0,1.0,1,1,0,10
mine,1.0,1.0,1.0,1,1,0,10
promotes,1.0,1.0,1.0,1,1,0,10
packed,1.0,1.0,1.0,1,1,0,10
shoes,1.0,1.0,1.0,1,1,0,10
specimen,1.0,1.0,1.0,1,1,0,10
committee,1.0,1.0,1.0,1,1,0,10
serving,1.0,1.0,1.0,1,1,0,10
compared,1.0,1.0,1.0,1,1,0,10
concluded,1.0,1.0,1.0,1,1,0,10
political,1.0,1.0,1.0,1,1,0,10
students,1.0,1.0,1.0,1,1,0,10
refined,1.0,1.0,1.0,1,1,0,10
technology,1.0,1.0,1.0,1,1,0,10
1893,1.0,1.0,1.0,1,1,0,10
mechanical,1.0,1.0,1.0,1,1,0,10
