context,p,r,f1,n_pos,total_pos,n_neg,total_neg
rockstar,1.0,1.0,1.0,1,1,0,1
webb,1.0,1.0,1.0,1,1,0,1
murphy,1.0,1.0,1.0,1,1,0,1
spud,1.0,1.0,1.0,1,1,0,1
chandler,1.0,1.0,1.0,1,1,0,1
potato,1.0,1.0,1.0,1,1,0,1
bud,1.0,1.0,1.0,1,1,0,1
ec3,1.0,1.0,1.0,1,1,0,1
tyrus,1.0,1.0,1.0,1,1,0,1
goodman,1.0,1.0,1.0,1,1,0,1
tna,1.0,1.0,1.0,1,1,0,1
impact,1.0,1.0,1.0,1,1,0,1
gun,1.0,1.0,1.0,1,1,0,1
tag,1.0,1.0,1.0,1,1,0,1
sick,1.0,1.0,1.0,1,1,0,1
guns,1.0,1.0,1.0,1,1,0,1
combustion,1.0,1.0,1.0,1,1,0,1
trainspotting,1.0,1.0,1.0,1,1,0,1
nelly,1.0,1.0,1.0,1,1,0,1
borash,1.0,1.0,1.0,1,1,0,1
rowsell,1.0,1.0,1.0,1,1,0,1
pneumatic,1.0,1.0,1.0,1,1,0,1
match,1.0,1.0,1.0,1,1,0,1
renton,1.0,1.0,1.0,1,1,0,1
carter,1.0,1.0,1.0,1,1,0,1
viciously,1.0,1.0,1.0,1,1,0,1
fwa,1.0,1.0,1.0,1,1,0,1
cherri,1.0,1.0,1.0,1,1,0,1
nicknamed,1.0,1.0,1.0,1,1,0,1
madness,1.0,1.0,1.0,1,1,0,1
smiley,1.0,1.0,1.0,1,1,0,1
defeated,1.0,1.0,1.0,1,1,0,1
rhino,1.0,1.0,1.0,1,1,0,1
cooder,1.0,1.0,1.0,1,1,0,1
feud,1.0,1.0,1.0,1,1,0,1
catcher,1.0,1.0,1.0,1,1,0,1
begbie,1.0,1.0,1.0,1,1,0,1
projectile,1.0,1.0,1.0,1,1,0,1
sweetgrass,1.0,1.0,1.0,1,1,0,1
peeling,1.0,1.0,1.0,1,1,0,1
sivan,1.0,1.0,1.0,1,1,0,1
robbie,1.0,1.0,1.0,1,1,0,1
ring,1.0,1.0,1.0,1,1,0,1
luv,1.0,1.0,1.0,1,1,0,1
face,1.0,1.0,1.0,1,1,0,1
cleese,1.0,1.0,1.0,1,1,0,1
attacking,1.0,1.0,1.0,1,1,0,1
aries,1.0,1.0,1.0,1,1,0,1
hardy,1.0,1.0,1.0,1,1,0,1
teammate,1.0,1.0,1.0,1,1,0,1
they,1.0,1.0,1.0,1,1,0,1
promotion,1.0,1.0,1.0,1,1,0,1
norm,1.0,1.0,1.0,1,1,0,1
wrestling,1.0,1.0,1.0,1,1,0,1
ethan,1.0,1.0,1.0,1,1,0,1
sequel,1.0,1.0,1.0,1,1,0,1
three,1.0,1.0,1.0,1,1,0,1
dixie,1.0,1.0,1.0,1,1,0,1
eubanks,1.0,1.0,1.0,1,1,0,1
devi,1.0,1.0,1.0,1,1,0,1
spaulding,1.0,1.0,1.0,1,1,0,1
lunatics,1.0,1.0,1.0,1,1,0,1
melin,1.0,1.0,1.0,1,1,0,1
shed,1.0,1.0,1.0,1,1,0,1
mr,1.0,1.0,1.0,1,1,0,1
mcconnell,1.0,1.0,1.0,1,1,0,1
sutter,1.0,1.0,1.0,1,1,0,1
flyweight,1.0,1.0,1.0,1,1,0,1
cash,1.0,1.0,1.0,1,1,0,1
harder,1.0,1.0,1.0,1,1,0,1
call,1.0,1.0,1.0,1,1,0,1
garland,1.0,1.0,1.0,1,1,0,1
nickname,1.0,1.0,1.0,1,1,0,1
bark,1.0,1.0,1.0,1,1,0,1
tommy,1.0,1.0,1.0,1,1,0,1
skinny,1.0,1.0,1.0,1,1,0,1
title,1.0,1.0,1.0,1,1,0,1
wrench,1.0,1.0,1.0,1,1,0,1
chapman,1.0,1.0,1.0,1,1,0,1
uk,1.0,1.0,1.0,1,1,0,1
way,1.0,1.0,1.0,1,1,0,1
jimmy,1.0,1.0,1.0,1,1,0,1
dragon,1.0,1.0,1.0,1,1,0,1
jordan,1.0,1.0,1.0,1,1,0,1
returned,1.0,1.0,1.0,1,1,0,1
decay,1.0,1.0,1.0,1,1,0,1
danny,1.0,1.0,1.0,1,1,0,1
travis,1.0,1.0,1.0,1,1,0,1
defeating,1.0,1.0,1.0,1,1,0,1
ice,1.0,1.0,1.0,1,1,0,1
idaho,1.0,1.0,1.0,1,1,0,1
angry,1.0,1.0,1.0,1,1,0,1
june,1.0,1.0,1.0,1,1,0,1
baseball,1.0,1.0,1.0,1,1,0,1
gimmick,1.0,1.0,1.0,1,1,0,1
outdoor,1.0,1.0,1.0,1,1,0,1
sinclair,1.0,1.0,1.0,1,1,0,1
owen,1.0,1.0,1.0,1,1,0,1
while,1.0,1.0,1.0,1,1,0,1
anthony,1.0,1.0,1.0,1,1,0,1
lost,1.0,1.0,1.0,1,1,0,1
or,1.0,1.0,1.0,1,1,0,1
len,1.0,1.0,1.0,1,1,0,1
grammar,1.0,1.0,1.0,1,1,0,1
end,1.0,1.0,1.0,1,1,0,1
ben,1.0,1.0,1.0,1,1,0,1
alison,1.0,1.0,1.0,1,1,0,1
legality,1.0,1.0,1.0,1,1,0,1
championship,1.0,1.0,1.0,1,1,0,1
episode,1.0,1.0,1.0,1,1,0,1
rescues,1.0,1.0,1.0,1,1,0,1
collaboration,1.0,1.0,1.0,1,1,0,1
abbreviated,1.0,1.0,1.0,1,1,0,1
kurt,1.0,1.0,1.0,1,1,0,1
teamed,1.0,1.0,1.0,1,1,0,1
arthur,1.0,1.0,1.0,1,1,0,1
losing,1.0,1.0,1.0,1,1,0,1
attacked,1.0,1.0,1.0,1,1,0,1
wheels,1.0,1.0,1.0,1,1,0,1
narrated,1.0,1.0,1.0,1,1,0,1
folk,1.0,1.0,1.0,1,1,0,1
102,1.0,1.0,1.0,1,1,0,1
fly,1.0,1.0,1.0,1,1,0,1
australian,1.0,1.0,1.0,1,1,0,1
fight,1.0,1.0,1.0,1,1,0,1
scarecrow,1.0,1.0,1.0,1,1,0,1
phil,1.0,1.0,1.0,1,1,0,1
heavyweight,1.0,1.0,1.0,1,1,0,1
due,1.0,1.0,1.0,1,1,0,1
fink,1.0,1.0,1.0,1,1,0,1
willow,1.0,1.0,1.0,1,1,0,1
dad,1.0,1.0,1.0,1,1,0,1
marty,1.0,1.0,1.0,1,1,0,1
frustrated,1.0,1.0,1.0,1,1,0,1
leads,1.0,1.0,1.0,1,1,0,1
several,1.0,1.0,1.0,1,1,0,1
quarterfinals,1.0,1.0,1.0,1,1,0,1
drive,1.0,1.0,1.0,1,1,0,1
connors,1.0,1.0,1.0,1,1,0,1
papers,1.0,1.0,1.0,1,1,0,1
modest,1.0,1.0,1.0,1,1,0,1
jonny,1.0,1.0,1.0,1,1,0,1
herb,1.0,1.0,1.0,1,1,0,1
magnus,1.0,1.0,1.0,1,1,0,1
heroin,1.0,1.0,1.0,1,1,0,1
billionaire,1.0,1.0,1.0,1,1,0,1
swears,1.0,1.0,1.0,1,1,0,1
teaming,1.0,1.0,1.0,1,1,0,1
air,1.0,1.0,1.0,1,1,0,1
hitting,1.0,1.0,1.0,1,1,0,1
months,1.0,1.0,1.0,1,1,0,1
lunch,1.0,1.0,1.0,1,1,0,1
talk,1.0,1.0,1.0,1,1,0,1
affectionately,1.0,1.0,1.0,1,1,0,1
