context,p,r,f1,n_pos,total_pos,n_neg,total_neg
fish,0.8591674765144153,0.7482993197278912,0.7552775805212733,63,100,0,47
atlantic,0.8401373511661622,0.7210884353741497,0.7282002699739589,60,100,1,47
pacific,0.8436113575865128,0.6938775510204082,0.6989926163085332,55,100,0,47
water,0.8055459471924363,0.6802721088435374,0.6876006027847896,56,100,3,47
coast,0.8031533419256893,0.673469387755102,0.6804899174859818,55,100,3,47
shallow,0.8220055633589467,0.6598639455782312,0.6636460366207269,51,100,1,47
abundant,0.7960796967008147,0.6530612244897959,0.6588582984830044,52,100,3,47
lake,0.8201363878884887,0.6530612244897959,0.6562103932018785,50,100,1,47
salmon,0.8336109954185755,0.6530612244897959,0.654699167331825,49,100,0,47
herring,0.8320621177764036,0.6462585034013606,0.6471097880099836,48,100,0,47
discovered,0.7698054660460675,0.6394557823129252,0.6466636494199707,52,100,5,47
catch,0.7914260043640098,0.6394557823129252,0.6441687786225602,50,100,3,47
reaches,0.7914260043640098,0.6394557823129252,0.6441687786225602,50,100,3,47
specimen,0.7914260043640098,0.6394557823129252,0.6441687786225602,50,100,3,47
fishing,0.8034672202214219,0.6394557823129252,0.6427284478372463,49,100,2,47
populations,0.7479083587457972,0.6326530612244898,0.6415625951873287,53,100,7,47
freshwater,0.8305442176870749,0.6394557823129252,0.6394557823129251,47,100,0,47
waters,0.8013885966757838,0.6326530612244898,0.6352040816326531,48,100,2,47
grow,0.7726624252940042,0.6190476190476191,0.623283561015214,48,100,4,47
swim,0.7972582972582973,0.6190476190476191,0.6199643870876748,46,100,2,47
trout,0.8261673601479427,0.6190476190476191,0.6160846560846561,44,100,0,47
rainbow,0.8261673601479427,0.6190476190476191,0.6160846560846561,44,100,0,47
catching,0.7952019105514547,0.6122448979591837,0.6122448979591837,45,100,2,47
boats,0.7952019105514547,0.6122448979591837,0.6122448979591837,45,100,2,47
predator,0.7456416258259576,0.6054421768707483,0.6113349235798216,48,100,6,47
mouth,0.7562147126056901,0.6054421768707483,0.6098294024800431,47,100,5,47
shown,0.7327041488532171,0.5986394557823129,0.6053458747156324,48,100,7,47
striped,0.7931480814452342,0.6054421768707483,0.6044561475089851,44,100,2,47
eel,0.8076024761184263,0.6054421768707483,0.6023733938019652,43,100,1,47
marine,0.8076024761184263,0.6054421768707483,0.6023733938019652,43,100,1,47
caught,0.7650284603637374,0.5986394557823129,0.6005343308348565,45,100,4,47
juvenile,0.7775307569836446,0.5986394557823129,0.5986394557823129,44,100,3,47
beach,0.7910942154639634,0.5986394557823129,0.5965959630785895,43,100,2,47
likely,0.7506837786661057,0.5918367346938775,0.594671201814059,45,100,5,47
attract,0.8058699329463448,0.5986394557823129,0.5944014988480456,42,100,1,47
ocean,0.762454476740191,0.5918367346938775,0.5928189861653659,44,100,4,47
ice,0.7264792709536645,0.5850340136054422,0.5904584055844561,46,100,7,47
reach,0.7367905495531546,0.5850340136054422,0.5888006663787175,45,100,6,47
boat,0.7890375920889098,0.5918367346938775,0.5886621315192744,42,100,2,47
adult,0.7044554085370411,0.5782312925170068,0.5859895797783996,47,100,9,47
only,0.6624229429107479,0.5714285714285714,0.5841135608577468,51,100,14,47
crab,0.8207133320617966,0.5918367346938775,0.5838855022528492,40,100,0,47
flesh,0.7728424703214619,0.5850340136054422,0.5829212499626094,42,100,3,47
birth,0.7728424703214619,0.5850340136054422,0.5829212499626094,42,100,3,47
river,0.7337821726628796,0.5782312925170068,0.5811602418745276,44,100,6,47
america,0.7337821726628796,0.5782312925170068,0.5811602418745276,44,100,6,47
fishery,0.7869753446995973,0.5850340136054422,0.5806523971140811,41,100,2,47
largest,0.7010163749294184,0.5714285714285714,0.5785896628319463,46,100,9,47
aquatic,0.8024299457472819,0.5850340136054422,0.5782246704828504,40,100,1,47
native,0.7572397878652106,0.5782312925170068,0.5771772611302943,42,100,4,47
museum,0.7572397878652106,0.5782312925170068,0.5771772611302943,42,100,4,47
female,0.7102425876010782,0.5714285714285714,0.57703081232493,45,100,8,47
recognized,0.7102425876010782,0.5714285714285714,0.57703081232493,45,100,8,47
body,0.7201213818860879,0.5714285714285714,0.5753187210140853,44,100,7,47
deep,0.7849044379656623,0.5782312925170068,0.5725644594383341,40,100,2,47
warm,0.7849044379656623,0.5782312925170068,0.5725644594383341,40,100,2,47
approximately,0.6975349279496745,0.564625850340136,0.5711281915363549,45,100,9,47
streams,0.800718418208405,0.5782312925170068,0.5700150189946108,39,100,1,47
cold,0.7068715745407474,0.564625850340136,0.5694669268745304,44,100,8,47
consumed,0.7545907251789605,0.5714285714285714,0.5692465368466294,41,100,4,47
studies,0.7545907251789605,0.5714285714285714,0.5692465368466294,41,100,4,47
times,0.6617001356394635,0.5578231292517006,0.5690979889831055,48,100,13,47
story,0.7168805666596536,0.564625850340136,0.5676492819349962,43,100,7,47
choice,0.7168805666596536,0.564625850340136,0.5676492819349962,43,100,7,47
mate,0.7680807564528495,0.5714285714285714,0.5669032953801166,40,100,3,47
ranging,0.7276506562220848,0.564625850340136,0.5656735852430569,42,100,6,47
larger,0.6851724879675192,0.5578231292517006,0.5652115568901035,45,100,10,47
these,0.6851724879675192,0.5578231292517006,0.5652115568901035,45,100,10,47
historical,0.7828216422325949,0.5714285714285714,0.5643959711544192,39,100,2,47
attempts,0.7392856410751988,0.564625850340136,0.563537817940949,41,100,5,47
due,0.6578309484713426,0.5510204081632653,0.5619098385622905,47,100,13,47
levels,0.7519078240298768,0.564625850340136,0.5612396069538927,40,100,4,47
presumably,0.7519078240298768,0.564625850340136,0.5612396069538927,40,100,4,47
california,0.7135915590726086,0.5578231292517006,0.55991070346213,42,100,7,47
numbers,0.6731329894595202,0.5510204081632653,0.5592792300866836,45,100,11,47
early,0.6731329894595202,0.5510204081632653,0.5592792300866836,45,100,11,47
catfish,0.8168831168831169,0.5714285714285714,0.5588756865896668,37,100,0,47
fry,0.7656624554583739,0.564625850340136,0.5587762161944095,39,100,3,47
entire,0.6814993619909134,0.5510204081632653,0.5577259475218659,44,100,10,47
found,0.6814993619909134,0.5510204081632653,0.5577259475218659,44,100,10,47
until,0.6814993619909134,0.5510204081632653,0.5577259475218659,44,100,10,47
nine,0.780723504355013,0.564625850340136,0.5561445357363723,38,100,2,47
located,0.6904238618524333,0.5510204081632653,0.5560127683393594,43,100,9,47
specifically,0.6904238618524333,0.5510204081632653,0.5560127683393594,43,100,9,47
same,0.6468303676789053,0.54421768707483,0.5558394655672011,47,100,14,47
remain,0.7363389800364589,0.5578231292517006,0.5555718237306495,40,100,5,47
bottom,0.7363389800364589,0.5578231292517006,0.5555718237306495,40,100,5,47
species,0.6999789606564275,0.5510204081632653,0.5541383219954649,42,100,8,47
non,0.6999789606564275,0.5510204081632653,0.5541383219954649,42,100,8,47
cod,0.7973012478772291,0.564625850340136,0.5533410688690191,37,100,1,47
reservoir,0.7973012478772291,0.564625850340136,0.5533410688690191,37,100,1,47
whale,0.7973012478772291,0.564625850340136,0.5533410688690191,37,100,1,47
port,0.7973012478772291,0.564625850340136,0.5533410688690191,37,100,1,47
much,0.661395552372996,0.54421768707483,0.5533295190780761,45,100,12,47
behavior,0.7491861682061017,0.5578231292517006,0.5531541936461519,39,100,4,47
project,0.7102487459630316,0.5510204081632653,0.5521008847819023,41,100,7,47
see,0.7102487459630316,0.5510204081632653,0.5521008847819023,41,100,7,47
which,0.6175685464059041,0.5374149659863946,0.5521002051614295,50,100,18,47
period,0.6693286010056196,0.54421768707483,0.5518334509482605,44,100,11,47
although,0.6693286010056196,0.54421768707483,0.5518334509482605,44,100,11,47
next,0.6693286010056196,0.54421768707483,0.5518334509482605,44,100,11,47
ray,0.7632133387179079,0.5578231292517006,0.5505672718259881,38,100,3,47
valuable,0.7632133387179079,0.5578231292517006,0.5505672718259881,38,100,3,47
hook,0.7632133387179079,0.5578231292517006,0.5505672718259881,38,100,3,47
forms,0.6777692208959055,0.54421768707483,0.5501756258058779,43,100,10,47
abundance,0.7213314942851872,0.5510204081632653,0.5498983747516037,40,100,6,47
known,0.6360582942854561,0.5374149659863946,0.5497453751422006,47,100,15,47
typical,0.686783046551954,0.54421768707483,0.5483548302848208,42,100,9,47
pond,0.7786063143206,0.5578231292517006,0.5478077051196436,37,100,2,47
lakes,0.7333429400003603,0.5510204081632653,0.5475283446712018,39,100,5,47
survive,0.7333429400003603,0.5510204081632653,0.5475283446712018,39,100,5,47
always,0.696445925308899,0.54421768707483,0.546369494337888,41,100,8,47
identified,0.696445925308899,0.54421768707483,0.546369494337888,41,100,8,47
nearly,0.6574717799207596,0.5374149659863946,0.5459240552408254,44,100,12,47
