context,p,r,f1,n_pos,total_pos,n_neg,total_neg
pork,1.0,1.0,1.0,1,1,0,1
chicken,1.0,1.0,1.0,1,1,0,1
cattle,1.0,1.0,1.0,1,1,0,1
beef,1.0,1.0,1.0,1,1,0,1
roast,1.0,1.0,1.0,1,1,0,1
lamb,1.0,1.0,1.0,1,1,0,1
meat,1.0,1.0,1.0,1,1,0,1
corned,1.0,1.0,1.0,1,1,0,1
dairy,1.0,1.0,1.0,1,1,0,1
mutton,1.0,1.0,1.0,1,1,0,1
veal,1.0,1.0,1.0,1,1,0,1
omaha,1.0,1.0,1.0,1,1,0,1
soup,1.0,1.0,1.0,1,1,0,1
stew,1.0,1.0,1.0,1,1,0,1
steak,1.0,1.0,1.0,1,1,0,1
jerky,1.0,1.0,1.0,1,1,0,1
breed,1.0,1.0,1.0,1,1,0,1
cooked,1.0,1.0,1.0,1,1,0,1
vegetables,1.0,1.0,1.0,1,1,0,1
minced,1.0,1.0,1.0,1,1,0,1
poultry,1.0,1.0,1.0,1,1,0,1
sandwich,1.0,1.0,1.0,1,1,0,1
sheep,1.0,1.0,1.0,1,1,0,1
meats,1.0,1.0,1.0,1,1,0,1
goat,1.0,1.0,1.0,1,1,0,1
broth,1.0,1.0,1.0,1,1,0,1
milk,1.0,1.0,1.0,1,1,0,1
dish,1.0,1.0,1.0,1,1,0,1
cheese,1.0,1.0,1.0,1,1,0,1
fried,1.0,1.0,1.0,1,1,0,1
dishes,1.0,1.0,1.0,1,1,0,1
fat,1.0,1.0,1.0,1,1,0,1
ground,1.0,1.0,1.0,1,1,0,1
boiled,1.0,1.0,1.0,1,1,0,1
patties,1.0,1.0,1.0,1,1,0,1
angus,1.0,1.0,1.0,1,1,0,1
patty,1.0,1.0,1.0,1,1,0,1
sauce,1.0,1.0,1.0,1,1,0,1
sliced,1.0,1.0,1.0,1,1,0,1
imports,1.0,1.0,1.0,1,1,0,1
exports,1.0,1.0,1.0,1,1,0,1
ingredients,1.0,1.0,1.0,1,1,0,1
or,1.0,1.0,1.0,1,1,0,1
sausage,1.0,1.0,1.0,1,1,0,1
grass,1.0,1.0,1.0,1,1,0,1
brisket,1.0,1.0,1.0,1,1,0,1
potatoes,1.0,1.0,1.0,1,1,0,1
wool,1.0,1.0,1.0,1,1,0,1
fed,1.0,1.0,1.0,1,1,0,1
ham,1.0,1.0,1.0,1,1,0,1
rice,1.0,1.0,1.0,1,1,0,1
liver,1.0,1.0,1.0,1,1,0,1
ribs,1.0,1.0,1.0,1,1,0,1
dried,1.0,1.0,1.0,1,1,0,1
cows,1.0,1.0,1.0,1,1,0,1
grilled,1.0,1.0,1.0,1,1,0,1
breeds,1.0,1.0,1.0,1,1,0,1
onions,1.0,1.0,1.0,1,1,0,1
steaks,1.0,1.0,1.0,1,1,0,1
production,1.0,1.0,1.0,1,1,0,1
shrimp,1.0,1.0,1.0,1,1,0,1
livestock,1.0,1.0,1.0,1,1,0,1
eating,1.0,1.0,1.0,1,1,0,1
kobe,1.0,1.0,1.0,1,1,0,1
noodle,1.0,1.0,1.0,1,1,0,1
tallow,1.0,1.0,1.0,1,1,0,1
sandwiches,1.0,1.0,1.0,1,1,0,1
marinated,1.0,1.0,1.0,1,1,0,1
corn,1.0,1.0,1.0,1,1,0,1
