context,p,r,f1,n_pos,total_pos,n_neg,total_neg
soup,1.0,1.0,1.0,4,4,0,4
chicken,1.0,1.0,1.0,4,4,0,4
kitchen,1.0,1.0,1.0,4,4,0,4
vegetable,1.0,1.0,1.0,4,4,0,4
dish,1.0,1.0,1.0,4,4,0,4
dishes,1.0,1.0,1.0,4,4,0,4
beef,1.0,1.0,1.0,4,4,0,4
sour,1.0,1.0,1.0,4,4,0,4
bean,1.0,1.0,1.0,4,4,0,4
eaten,1.0,1.0,1.0,4,4,0,4
vegetables,1.0,1.0,1.0,4,4,0,4
cooked,1.0,1.0,1.0,4,4,0,4
tomato,1.0,1.0,1.0,4,4,0,4
meal,1.0,1.0,1.0,4,4,0,4
meat,1.0,1.0,1.0,4,4,0,4
cuisine,1.0,1.0,1.0,4,4,0,4
onion,1.0,1.0,1.0,4,4,0,4
pork,1.0,1.0,1.0,4,4,0,4
boiled,1.0,1.0,1.0,4,4,0,4
rice,1.0,1.0,1.0,4,4,0,4
cabbage,1.0,1.0,1.0,4,4,0,4
ingredient,1.0,1.0,1.0,4,4,0,4
ingredients,1.0,1.0,1.0,4,4,0,4
potato,1.0,1.0,1.0,4,4,0,4
fried,1.0,1.0,1.0,4,4,0,4
fish,1.0,1.0,1.0,4,4,0,4
hot,1.0,1.0,1.0,4,4,0,4
thick,1.0,1.0,1.0,4,4,0,4
sauce,1.0,1.0,1.0,4,4,0,4
boiling,1.0,1.0,1.0,4,4,0,4
made,1.0,1.0,1.0,4,4,0,4
beans,1.0,1.0,1.0,4,4,0,4
garlic,1.0,1.0,1.0,4,4,0,4
prepared,1.0,1.0,1.0,4,4,0,4
cold,1.0,1.0,1.0,4,4,0,4
pepper,1.0,1.0,1.0,4,4,0,4
nuts,1.0,1.0,1.0,4,4,0,4
cheese,1.0,1.0,1.0,4,4,0,4
served,1.0,1.0,1.0,4,4,0,4
cooking,1.0,1.0,1.0,4,4,0,4
curry,1.0,1.0,1.0,4,4,0,4
foods,1.0,1.0,1.0,4,4,0,4
consumed,1.0,1.0,1.0,4,4,0,4
recipe,1.0,1.0,1.0,4,4,0,4
or,1.0,1.0,1.0,4,4,0,4
sweet,1.0,1.0,1.0,4,4,0,4
and,1.0,1.0,1.0,4,4,0,4
flavor,1.0,1.0,1.0,4,4,0,4
flour,1.0,1.0,1.0,4,4,0,4
egg,1.0,1.0,1.0,4,4,0,4
cream,1.0,1.0,1.0,4,4,0,4
recipes,1.0,1.0,1.0,4,4,0,4
traditional,1.0,1.0,1.0,4,4,0,4
company,1.0,1.0,1.0,4,4,0,4
corn,1.0,1.0,1.0,4,4,0,4
shrimp,1.0,1.0,1.0,4,4,0,4
potatoes,1.0,1.0,1.0,4,4,0,4
soy,1.0,1.0,1.0,4,4,0,4
taste,1.0,1.0,1.0,4,4,0,4
dried,1.0,1.0,1.0,4,4,0,4
milk,1.0,1.0,1.0,4,4,0,4
breakfast,1.0,1.0,1.0,4,4,0,4
stone,1.0,1.0,1.0,4,4,0,4
prepare,1.0,1.0,1.0,4,4,0,4
barley,1.0,1.0,1.0,4,4,0,4
thin,1.0,1.0,1.0,4,4,0,4
carrot,1.0,1.0,1.0,4,4,0,4
goat,1.0,1.0,1.0,4,4,0,4
usually,1.0,1.0,1.0,4,4,0,4
cucumber,1.0,1.0,1.0,4,4,0,4
fruit,1.0,1.0,1.0,4,4,0,4
coconut,1.0,1.0,1.0,4,4,0,4
literally,1.0,1.0,1.0,4,4,0,4
blood,1.0,1.0,1.0,4,4,0,4
flavored,1.0,1.0,1.0,4,4,0,4
fresh,1.0,1.0,1.0,4,4,0,4
added,1.0,1.0,1.0,4,4,0,4
as,1.0,1.0,1.0,4,4,0,4
warm,1.0,1.0,1.0,4,4,0,4
varieties,1.0,1.0,1.0,4,4,0,4
herbs,1.0,1.0,1.0,4,4,0,4
spices,1.0,1.0,1.0,4,4,0,4
roasted,1.0,1.0,1.0,4,4,0,4
based,1.0,1.0,1.0,4,4,0,4
restaurant,1.0,1.0,1.0,4,4,0,4
rich,1.0,1.0,1.0,4,4,0,4
seasoned,1.0,1.0,1.0,4,4,0,4
can,1.0,1.0,1.0,4,4,0,4
juice,1.0,1.0,1.0,4,4,0,4
pickled,1.0,1.0,1.0,4,4,0,4
chopped,1.0,1.0,1.0,4,4,0,4
baked,1.0,1.0,1.0,4,4,0,4
paste,1.0,1.0,1.0,4,4,0,4
sometimes,1.0,1.0,1.0,4,4,0,4
traditionally,1.0,1.0,1.0,4,4,0,4
powder,1.0,1.0,1.0,4,4,0,4
lime,1.0,1.0,1.0,4,4,0,4
onions,1.0,1.0,1.0,4,4,0,4
tea,1.0,1.0,1.0,4,4,0,4
butter,1.0,1.0,1.0,4,4,0,4
called,1.0,1.0,1.0,4,4,0,4
coffee,1.0,1.0,1.0,4,4,0,4
dry,1.0,1.0,1.0,4,4,0,4
at,1.0,1.0,1.0,4,4,0,4
used,1.0,1.0,1.0,4,4,0,4
preparation,1.0,1.0,1.0,4,4,0,4
variations,1.0,1.0,1.0,4,4,0,4
bone,1.0,1.0,1.0,4,4,0,4
chili,1.0,1.0,1.0,4,4,0,4
make,1.0,1.0,1.0,4,4,0,4
such,1.0,1.0,1.0,4,4,0,4
drink,1.0,1.0,1.0,4,4,0,4
children,1.0,1.0,1.0,4,4,0,4
originating,1.0,1.0,1.0,4,4,0,4
salt,1.0,1.0,1.0,4,4,0,4
often,1.0,1.0,1.0,4,4,0,4
girl,1.0,1.0,1.0,4,4,0,4
mixture,1.0,1.0,1.0,4,4,0,4
korean,1.0,1.0,1.0,4,4,0,4
drop,1.0,1.0,1.0,4,4,0,4
poured,1.0,1.0,1.0,4,4,0,4
some,1.0,1.0,1.0,4,4,0,4
include,1.0,1.0,1.0,4,4,0,4
are,1.0,1.0,1.0,4,4,0,4
other,1.0,1.0,1.0,4,4,0,4
mustard,1.0,1.0,1.0,4,4,0,4
raw,1.0,1.0,1.0,4,4,0,4
mix,1.0,1.0,1.0,4,4,0,4
specialty,1.0,1.0,1.0,4,4,0,4
