context,p,r,f1,n_pos,total_pos,n_neg,total_neg
meat,1.0,1.0,1.0,2,2,0,2
rolls,1.0,1.0,1.0,2,2,0,2
cheese,1.0,1.0,1.0,2,2,0,2
cumberland,1.0,1.0,1.0,2,2,0,2
sandwich,1.0,1.0,1.0,2,2,0,2
eaten,1.0,1.0,1.0,2,2,0,2
made,1.0,1.0,1.0,2,2,0,2
factory,1.0,1.0,1.0,2,2,0,2
hot,1.0,1.0,1.0,2,2,0,2
maker,1.0,1.0,1.0,2,2,0,2
shaped,1.0,1.0,1.0,2,2,0,2
slices,1.0,1.0,1.0,2,2,0,2
food,1.0,1.0,1.0,2,2,0,2
links,1.0,1.0,1.0,2,2,0,2
pizza,1.0,1.0,1.0,2,2,0,2
pastry,1.0,1.0,1.0,2,2,0,2
making,1.0,1.0,1.0,2,2,0,2
literally,1.0,1.0,1.0,2,2,0,2
served,1.0,1.0,1.0,2,2,0,2
dough,1.0,1.0,1.0,2,2,0,2
traditionally,1.0,1.0,1.0,2,2,0,2
ribs,1.0,1.0,1.0,2,2,0,2
style,1.0,1.0,1.0,2,2,0,2
goat,1.0,1.0,1.0,2,2,0,2
butcher,1.0,1.0,1.0,2,2,0,2
doc,1.0,1.0,1.0,2,2,0,2
machine,1.0,1.0,1.0,2,2,0,2
shop,1.0,1.0,1.0,2,2,0,2
similar,1.0,1.0,1.0,2,2,0,2
portuguese,1.0,1.0,1.0,2,2,0,2
chips,1.0,1.0,1.0,2,2,0,2
commonly,1.0,1.0,1.0,2,2,0,2
selling,1.0,1.0,1.0,2,2,0,2
often,1.0,1.0,1.0,2,2,0,2
factories,1.0,1.0,1.0,2,2,0,2
vietnamese,1.0,1.0,1.0,2,2,0,2
duck,1.0,1.0,1.0,2,2,0,2
meaning,1.0,1.0,1.0,2,2,0,2
pigs,1.0,1.0,1.0,2,2,0,2
natural,1.0,1.0,1.0,2,2,0,2
slice,1.0,1.0,1.0,2,2,0,2
variation,1.0,1.0,1.0,2,2,0,2
raw,1.0,1.0,1.0,2,2,0,2
grocery,1.0,1.0,1.0,2,2,0,2
dean,1.0,1.0,1.0,2,2,0,2
common,1.0,1.0,1.0,2,2,0,2
some,1.0,1.0,1.0,2,2,0,2
cabbage,1.0,1.0,1.0,2,2,0,2
great,1.0,1.0,1.0,2,2,0,2
means,1.0,1.0,1.0,2,2,0,2
manufacturer,1.0,1.0,1.0,2,2,0,2
form,1.0,1.0,1.0,2,2,0,2
link,1.0,1.0,1.0,2,2,0,2
bits,1.0,1.0,1.0,2,2,0,2
parks,1.0,1.0,1.0,2,2,0,2
european,1.0,1.0,1.0,2,2,0,2
large,1.0,1.0,1.0,2,2,0,2
word,1.0,1.0,1.0,2,2,0,2
pieces,1.0,1.0,1.0,2,2,0,2
