context,p,r,f1,n_pos,total_pos,n_neg,total_neg
knife,1.0,1.0,1.0,2,2,0,2
bowie,1.0,1.0,1.0,2,2,0,2
kitchen,1.0,1.0,1.0,2,2,0,2
blade,1.0,1.0,1.0,2,2,0,2
fork,1.0,1.0,1.0,2,2,0,2
pocket,1.0,1.0,1.0,2,2,0,2
dull,1.0,1.0,1.0,2,2,0,2
folding,1.0,1.0,1.0,2,2,0,2
stabbed,1.0,1.0,1.0,2,2,0,2
throat,1.0,1.0,1.0,2,2,0,2
palette,1.0,1.0,1.0,2,2,0,2
stabs,1.0,1.0,1.0,2,2,0,2
butcher,1.0,1.0,1.0,2,2,0,2
knives,1.0,1.0,1.0,2,2,0,2
cut,1.0,1.0,1.0,2,2,0,2
fighting,1.0,1.0,1.0,2,2,0,2
with,1.0,1.0,1.0,2,2,0,2
the,1.0,1.0,1.0,2,2,0,2
utility,1.0,1.0,1.0,2,2,0,2
stab,1.0,1.0,1.0,2,2,0,2
stabbing,1.0,1.0,1.0,2,2,0,2
gamma,1.0,1.0,1.0,2,2,0,2
sharp,1.0,1.0,1.0,2,2,0,2
edge,1.0,1.0,1.0,2,2,0,2
hand,1.0,1.0,1.0,2,2,0,2
carving,1.0,1.0,1.0,2,2,0,2
hunting,1.0,1.0,1.0,2,2,0,2
wounds,1.0,1.0,1.0,2,2,0,2
switchblade,1.0,1.0,1.0,2,2,0,2
and,1.0,1.0,1.0,2,2,0,2
handle,1.0,1.0,1.0,2,2,0,2
cuts,1.0,1.0,1.0,2,2,0,2
wound,1.0,1.0,1.0,2,2,0,2
cutting,1.0,1.0,1.0,2,2,0,2
grabs,1.0,1.0,1.0,2,2,0,2
fight,1.0,1.0,1.0,2,2,0,2
trench,1.0,1.0,1.0,2,2,0,2
inch,1.0,1.0,1.0,2,2,0,2
weapon,1.0,1.0,1.0,2,2,0,2
threatens,1.0,1.0,1.0,2,2,0,2
kill,1.0,1.0,1.0,2,2,0,2
kills,1.0,1.0,1.0,2,2,0,2
to,1.0,1.0,1.0,2,2,0,2
combat,1.0,1.0,1.0,2,2,0,2
sheath,1.0,1.0,1.0,2,2,0,2
him,1.0,1.0,1.0,2,2,0,2
blades,1.0,1.0,1.0,2,2,0,2
steak,1.0,1.0,1.0,2,2,0,2
his,1.0,1.0,1.0,2,2,0,2
flint,1.0,1.0,1.0,2,2,0,2
sword,1.0,1.0,1.0,2,2,0,2
neck,1.0,1.0,1.0,2,2,0,2
chest,1.0,1.0,1.0,2,2,0,2
bayonet,1.0,1.0,1.0,2,2,0,2
slashed,1.0,1.0,1.0,2,2,0,2
pulled,1.0,1.0,1.0,2,2,0,2
holding,1.0,1.0,1.0,2,2,0,2
stick,1.0,1.0,1.0,2,2,0,2
pen,1.0,1.0,1.0,2,2,0,2
stomach,1.0,1.0,1.0,2,2,0,2
gravity,1.0,1.0,1.0,2,2,0,2
purpose,1.0,1.0,1.0,2,2,0,2
blood,1.0,1.0,1.0,2,2,0,2
spoon,1.0,1.0,1.0,2,2,0,2
she,1.0,1.0,1.0,2,2,0,2
of,1.0,1.0,1.0,2,2,0,2
used,1.0,1.0,1.0,2,2,0,2
razor,1.0,1.0,1.0,2,2,0,2
dagger,1.0,1.0,1.0,2,2,0,2
one,1.0,1.0,1.0,2,2,0,2
tool,1.0,1.0,1.0,2,2,0,2
is,1.0,1.0,1.0,2,2,0,2
as,1.0,1.0,1.0,2,2,0,2
handles,1.0,1.0,1.0,2,2,0,2
out,1.0,1.0,1.0,2,2,0,2
makers,1.0,1.0,1.0,2,2,0,2
cutlery,1.0,1.0,1.0,2,2,0,2
butterfly,1.0,1.0,1.0,2,2,0,2
stiletto,1.0,1.0,1.0,2,2,0,2
or,1.0,1.0,1.0,2,2,0,2
sharpened,1.0,1.0,1.0,2,2,0,2
flick,1.0,1.0,1.0,2,2,0,2
sharpening,1.0,1.0,1.0,2,2,0,2
bolo,1.0,1.0,1.0,2,2,0,2
uses,1.0,1.0,1.0,2,2,0,2
ritual,1.0,1.0,1.0,2,2,0,2
pulling,1.0,1.0,1.0,2,2,0,2
that,1.0,1.0,1.0,2,2,0,2
but,1.0,1.0,1.0,2,2,0,2
edges,1.0,1.0,1.0,2,2,0,2
sacrificial,1.0,1.0,1.0,2,2,0,2
it,1.0,1.0,1.0,2,2,0,2
back,1.0,1.0,1.0,2,2,0,2
maker,1.0,1.0,1.0,2,2,0,2
ballistic,1.0,1.0,1.0,2,2,0,2
fights,1.0,1.0,1.0,2,2,0,2
draws,1.0,1.0,1.0,2,2,0,2
into,1.0,1.0,1.0,2,2,0,2
slash,1.0,1.0,1.0,2,2,0,2
finds,1.0,1.0,1.0,2,2,0,2
picks,1.0,1.0,1.0,2,2,0,2
serrated,1.0,1.0,1.0,2,2,0,2
custom,1.0,1.0,1.0,2,2,0,2
concealed,1.0,1.0,1.0,2,2,0,2
curved,1.0,1.0,1.0,2,2,0,2
edged,1.0,1.0,1.0,2,2,0,2
takes,1.0,1.0,1.0,2,2,0,2
found,1.0,1.0,1.0,2,2,0,2
slashing,1.0,1.0,1.0,2,2,0,2
sticking,1.0,1.0,1.0,2,2,0,2
which,1.0,1.0,1.0,2,2,0,2
self,1.0,1.0,1.0,2,2,0,2
bread,1.0,1.0,1.0,2,2,0,2
blunt,1.0,1.0,1.0,2,2,0,2
rope,1.0,1.0,1.0,2,2,0,2
large,1.0,1.0,1.0,2,2,0,2
hidden,1.0,1.0,1.0,2,2,0,2
collectors,1.0,1.0,1.0,2,2,0,2
inflicted,1.0,1.0,1.0,2,2,0,2
finger,1.0,1.0,1.0,2,2,0,2
using,1.0,1.0,1.0,2,2,0,2
tries,1.0,1.0,1.0,2,2,0,2
drops,1.0,1.0,1.0,2,2,0,2
surgical,1.0,1.0,1.0,2,2,0,2
arm,1.0,1.0,1.0,2,2,0,2
designed,1.0,1.0,1.0,2,2,0,2
possession,1.0,1.0,1.0,2,2,0,2
holds,1.0,1.0,1.0,2,2,0,2
brush,1.0,1.0,1.0,2,2,0,2
stuck,1.0,1.0,1.0,2,2,0,2
puts,1.0,1.0,1.0,2,2,0,2
piece,1.0,1.0,1.0,2,2,0,2
on,1.0,1.0,1.0,2,2,0,2
hands,1.0,1.0,1.0,2,2,0,2
up,1.0,1.0,1.0,2,2,0,2
psychic,1.0,1.0,1.0,2,2,0,2
m3,1.0,1.0,1.0,2,2,0,2
sliding,1.0,1.0,1.0,2,2,0,2
sharpen,1.0,1.0,1.0,2,2,0,2
then,1.0,1.0,1.0,2,2,0,2
small,1.0,1.0,1.0,2,2,0,2
double,1.0,1.0,1.0,2,2,0,2
obsidian,1.0,1.0,1.0,2,2,0,2
herself,1.0,1.0,1.0,2,2,0,2
scissors,1.0,1.0,1.0,2,2,0,2
this,1.0,1.0,1.0,2,2,0,2
while,1.0,1.0,1.0,2,2,0,2
made,1.0,1.0,1.0,2,2,0,2
slit,1.0,1.0,1.0,2,2,0,2
grab,1.0,1.0,1.0,2,2,0,2
cane,1.0,1.0,1.0,2,2,0,2
leather,1.0,1.0,1.0,2,2,0,2
emerson,1.0,1.0,1.0,2,2,0,2
duo,1.0,1.0,1.0,2,2,0,2
weapons,1.0,1.0,1.0,2,2,0,2
can,1.0,1.0,1.0,2,2,0,2
for,1.0,1.0,1.0,2,2,0,2
own,1.0,1.0,1.0,2,2,0,2
thrust,1.0,1.0,1.0,2,2,0,2
remove,1.0,1.0,1.0,2,2,0,2
cheese,1.0,1.0,1.0,2,2,0,2
from,1.0,1.0,1.0,2,2,0,2
accidentally,1.0,1.0,1.0,2,2,0,2
off,1.0,1.0,1.0,2,2,0,2
killing,1.0,1.0,1.0,2,2,0,2
like,1.0,1.0,1.0,2,2,0,2
two,1.0,1.0,1.0,2,2,0,2
steel,1.0,1.0,1.0,2,2,0,2
buck,1.0,1.0,1.0,2,2,0,2
hostage,1.0,1.0,1.0,2,2,0,2
machete,1.0,1.0,1.0,2,2,0,2
factory,1.0,1.0,1.0,2,2,0,2
be,1.0,1.0,1.0,2,2,0,2
down,1.0,1.0,1.0,2,2,0,2
never,1.0,1.0,1.0,2,2,0,2
heart,1.0,1.0,1.0,2,2,0,2
you,1.0,1.0,1.0,2,2,0,2
shaped,1.0,1.0,1.0,2,2,0,2
also,1.0,1.0,1.0,2,2,0,2
has,1.0,1.0,1.0,2,2,0,2
slashes,1.0,1.0,1.0,2,2,0,2
cleaver,1.0,1.0,1.0,2,2,0,2
boot,1.0,1.0,1.0,2,2,0,2
plastic,1.0,1.0,1.0,2,2,0,2
electric,1.0,1.0,1.0,2,2,0,2
kukri,1.0,1.0,1.0,2,2,0,2
goes,1.0,1.0,1.0,2,2,0,2
manages,1.0,1.0,1.0,2,2,0,2
repeatedly,1.0,1.0,1.0,2,2,0,2
carry,1.0,1.0,1.0,2,2,0,2
spring,1.0,1.0,1.0,2,2,0,2
lock,1.0,1.0,1.0,2,2,0,2
fingers,1.0,1.0,1.0,2,2,0,2
manufacturers,1.0,1.0,1.0,2,2,0,2
belt,1.0,1.0,1.0,2,2,0,2
them,1.0,1.0,1.0,2,2,0,2
when,1.0,1.0,1.0,2,2,0,2
point,1.0,1.0,1.0,2,2,0,2
ceremonial,1.0,1.0,1.0,2,2,0,2
himself,1.0,1.0,1.0,2,2,0,2
close,1.0,1.0,1.0,2,2,0,2
so,1.0,1.0,1.0,2,2,0,2
sticks,1.0,1.0,1.0,2,2,0,2
open,1.0,1.0,1.0,2,2,0,2
designs,1.0,1.0,1.0,2,2,0,2
prop,1.0,1.0,1.0,2,2,0,2
same,1.0,1.0,1.0,2,2,0,2
wrist,1.0,1.0,1.0,2,2,0,2
abdomen,1.0,1.0,1.0,2,2,0,2
scar,1.0,1.0,1.0,2,2,0,2
pushes,1.0,1.0,1.0,2,2,0,2
slice,1.0,1.0,1.0,2,2,0,2
have,1.0,1.0,1.0,2,2,0,2
table,1.0,1.0,1.0,2,2,0,2
leg,1.0,1.0,1.0,2,2,0,2
sometimes,1.0,1.0,1.0,2,2,0,2
even,1.0,1.0,1.0,2,2,0,2
pattern,1.0,1.0,1.0,2,2,0,2
thin,1.0,1.0,1.0,2,2,0,2
eye,1.0,1.0,1.0,2,2,0,2
mask,1.0,1.0,1.0,2,2,0,2
drew,1.0,1.0,1.0,2,2,0,2
pull,1.0,1.0,1.0,2,2,0,2
manufacturer,1.0,1.0,1.0,2,2,0,2
scene,1.0,1.0,1.0,2,2,0,2
bottle,1.0,1.0,1.0,2,2,0,2
making,1.0,1.0,1.0,2,2,0,2
single,1.0,1.0,1.0,2,2,0,2
no,1.0,1.0,1.0,2,2,0,2
not,1.0,1.0,1.0,2,2,0,2
sheaths,1.0,1.0,1.0,2,2,0,2
tant,1.0,1.0,1.0,2,2,0,2
switches,1.0,1.0,1.0,2,2,0,2
sharpener,1.0,1.0,1.0,2,2,0,2
eat,1.0,1.0,1.0,2,2,0,2
slicing,1.0,1.0,1.0,2,2,0,2
type,1.0,1.0,1.0,2,2,0,2
however,1.0,1.0,1.0,2,2,0,2
traditional,1.0,1.0,1.0,2,2,0,2
plunging,1.0,1.0,1.0,2,2,0,2
duel,1.0,1.0,1.0,2,2,0,2
thrusting,1.0,1.0,1.0,2,2,0,2
automatic,1.0,1.0,1.0,2,2,0,2
raped,1.0,1.0,1.0,2,2,0,2
silver,1.0,1.0,1.0,2,2,0,2
design,1.0,1.0,1.0,2,2,0,2
father,1.0,1.0,1.0,2,2,0,2
removes,1.0,1.0,1.0,2,2,0,2
could,1.0,1.0,1.0,2,2,0,2
