context,evidence_type,categories
wine,i,relation object
november,i,cold
rock,i,cold
atlantic,i,cold
valley,i,cold
mountain,i,cold
bodies,i,cold
fall,i,cold
surfaces,i,communication
waters,i,communication
commonly,u,relation
traditional,u,relation
juice,i,relation
sell,u,relation
brand,u,relation
mixes,u,relation
egg,u,relation communication
adding,u,relation measure
daily,u,relation cold
partnership,u,relation
entertainment,u,relation
plays,u,relation
beautiful,u,relation
referred,u,relation
such,u,relation
growing,u,relation
bottle,i,object measure
although,u,cold
1983,u,cold
being,u,cold
1980s,u,cold measure
free,u,cold
while,u,cold
consisting,u,cold
1988,u,cold
early,u,cold
further,u,cold
handful,u,cold
side,u,cold
double,u,cold
only,u,cold
both,u,cold
recorded,u,cold
containing,u,communication cold
first,u,cold
four,u,cold
2010,u,cold
us,u,cold measure
previously,u,cold
quality,u,cold
number,u,cold
initially,u,cold
20,u,cold
1989,u,cold
mid,u,cold
distribution,u,cold
follow,u,cold
1991,u,cold
1984,u,cold
78,u,cold
latter,u,cold
presented,u,cold
hour,u,cold
highly,u,cold
scale,u,cold
composed,u,cold
thousands,u,cold
entire,u,cold
mexico,u,cold
california,u,cold
road,u,cold
period,u,cold
exist,u,cold
producer,u,cold
80s,u,cold
difficult,u,cold
superior,u,cold
sole,u,cold
32,u,cold
meant,u,cold
advantage,u,cold
replacing,u,cold
filmed,u,cold
widely,u,cold
el,u,cold
predominantly,u,cold
depicting,u,cold
ranging,u,cold
area,u,cold
going,u,cold
lake,i,cold
classified,u,cold
cd,u,cold
500,u,cold
sides,u,cold
cloth,u,cold measure
it,u,cold
seven,u,cold
originally,u,cold
featuring,u,cold
via,u,cold
2015,u,cold
april,u,cold
later,u,cold
backed,u,cold
100,u,cold
same,u,cold
december,u,cold
date,u,cold
sound,u,cold
sub,u,cold
factory,u,cold
best,u,cold
then,u,cold
second,u,cold
europe,u,cold
13,u,cold
january,i,cold
september,u,cold
twelve,u,cold
collective,u,cold
2003,u,cold
14,u,cold
february,i,cold
medium,u,cold
selection,u,cold
ten,u,cold
since,u,cold
united,u,cold
underground,u,cold
broken,u,cold
24,u,cold
heavy,u,cold
last,u,cold
1998,u,cold
1972,u,cold
80,u,cold
17,u,cold
rough,u,cold
netherlands,u,cold
usa,u,cold
either,u,cold
22,u,cold
following,u,cold
end,u,cold
eponymous,u,cold
countries,u,cold
today,u,cold
sets,u,cold
expanded,u,cold
27,u,cold
various,u,cold
space,i,cold
belgium,u,cold
800,u,cold
volume,u,cold
1974,u,cold
channel,u,cold
week,u,communication cold
pack,u,cold
total,u,cold
contain,u,cold
23,u,cold
month,u,cold
chicago,u,cold
tv,u,cold
numerous,u,cold
outlets,u,cold
ireland,u,cold
reaching,u,cold
varying,u,cold
hollow,u,communication cold measure
plants,u,cold
paintings,u,cold measure
shortened,u,cold
dates,u,cold
la,u,cold
marked,u,cold
fully,u,cold
96,u,cold
sunday,u,cold
otherwise,u,cold
district,u,cold
mobile,u,cold
34,u,cold
36,u,cold
horn,u,cold
denver,u,cold
everywhere,u,cold
explore,u,cold
highway,u,cold
bridge,u,cold
rest,u,cold
corner,u,cold
offer,u,cold
layer,u,cold
las,u,cold
older,u,cold
massacre,u,cold
350,u,cold
roughly,u,cold
heavily,u,cold
majority,u,cold
founded,u,cold
autumn,i,cold
fictional,u,cold
examples,u,cold
useful,u,cold
limits,u,cold
utilized,u,cold
service,u,cold
slight,u,cold
profit,u,cold
purpose,u,cold
44,u,cold
71,u,cold
opened,u,cold
sixteen,u,cold
located,i,cold
locations,i,cold
complex,u,cold
scotland,u,cold
adjacent,u,cold
pull,u,cold
oklahoma,u,cold
contributes,u,cold
tours,u,cold
percent,u,cold
layers,u,cold
planned,u,cold
closure,u,cold
parks,u,cold
presumably,u,cold
rocky,u,cold
37,u,cold
94,u,cold
89,u,cold
technically,u,cold
memphis,u,cold
england,u,cold
span,u,cold
platform,u,cold
bit,u,communication cold
concern,u,cold
scared,u,cold
negro,u,cold
wilderness,u,cold
comprises,u,cold
terminal,u,cold
to,u,cold
do,u,cold
where,u,cold
food,i,cold
during,u,cold
serve,u,cold
east,u,cold
particularly,u,cold
reach,u,cold
camp,u,cold
significant,u,cold
canada,u,cold
leaving,u,cold
taking,u,cold
begin,u,cold
leading,u,cold
traveling,u,cold
regarded,u,cold
range,u,cold
center,u,cold
course,u,cold
perhaps,u,cold
haven,u,cold
zone,u,cold
completely,u,cold
involving,u,cold
washington,u,cold
isolated,u,cold
warm,r,cold
empty,u,cold
occurs,u,cold
originated,u,cold measure
miles,u,cold
arctic,n,cold
metres,u,cold
winter,i,cold
guided,u,cold
launch,u,cold
blocked,u,cold
crossed,u,cold
exceeded,u,cold
abundant,u,cold
tremendous,u,cold
grass,u,cold
completion,u,cold
repair,u,cold
appear,u,measure
holes,u,communication measure
magic,u,measure
telling,u,measure
colors,u,measure
throws,u,measure
suspended,u,measure
different,u,measure
throwing,u,measure
sharp,u,communication measure
variant,u,measure
witch,u,measure
resembling,u,measure
focus,u,measure
saying,u,measure
sees,u,measure
asked,u,measure
lighter,u,measure
variations,u,measure
seems,u,measure
wish,u,measure
seemingly,u,measure
responsible,u,measure
kills,u,measure
colored,u,measure
drinking,u,measure
industry,u,measure
images,u,measure
colour,u,measure
camera,u,measure
firm,u,measure
carefully,u,measure
joe,u,measure
indicate,u,measure
members,u,measure
functional,u,measure
introduced,u,measure
scenes,u,measure
cane,u,measure
assembled,u,measure
styles,u,measure
task,u,measure
anywhere,u,measure
clearly,u,measure
root,u,measure
victims,u,measure
commented,u,measure
realize,u,measure
meets,u,measure
audience,u,measure
aside,u,measure
talking,u,measure
calls,u,measure
hold,u,measure
skull,u,communication
horns,u,communication
distinctive,u,communication
grows,u,communication
jet,u,communication
driven,u,communication
appearance,u,communication
paint,u,communication
driving,u,communication
upward,u,communication
breed,u,communication
resemble,u,communication
played,u,communication
deep,u,communication
shark,u,communication
electric,u,communication
forms,u,communication
mixing,u,communication
fork,u,communication
thickness,u,communication
unlike,u,communication
alter,u,communication
oh,u,communication
fever,u,communication
submerged,u,communication
eggs,u,communication
refer,u,communication
flower,u,communication
occasional,u,communication
disc,u,communication
length,u,communication
relief,u,communication
tied,u,communication
cow,u,communication
rolls,u,communication
fed,u,communication
heavier,u,communication
adult,u,communication
rat,u,communication
temples,u,communication
junction,u,communication
upstream,u,communication
chip,u,communication
cold,p,communication
covers,r,cold
wearing,r,cold
annual,u,relation cold
name,u,relation
sweet,u,relation
soft,u,all relation communication
include,u,relation
taste,u,relation
green,u,relation cold
based,u,relation
notably,u,relation
locally,u,relation
production,u,relation
besides,u,relation
comes,u,object measure
few,u,cold
large,u,cold
christmas,u,cold
on,u,cold
10,u,cold
available,u,cold
300,u,cold
features,u,communication cold
are,u,cold
covered,u,cold
six,u,cold
day,u,cold
200,u,cold
including,u,cold
five,u,cold
covering,u,cold
there,u,cold
may,u,cold
kingdom,u,cold
many,u,cold
some,u,cold
around,u,cold
biggest,u,cold
company,u,cold
recent,u,cold measure
mostly,u,cold
50,u,cold
less,u,cold
generally,u,cold
remained,u,cold
reference,u,cold
fake,u,cold
per,u,cold
york,u,cold
changes,u,cold
parts,u,cold
75,u,cold
70,u,cold
lined,u,cold
growth,u,cold
river,u,cold
falling,u,cold
drop,u,cold
limited,u,cold
single,u,cold
tracks,u,cold
was,u,cold
in,u,cold
set,u,cold
45,u,cold
were,u,cold
live,u,cold
collection,u,cold
all,u,cold
onto,u,cold
250,u,cold
1982,u,cold
sold,u,cold
its,u,cold
16,u,cold
25,u,cold
interior,u,cold
400,u,cold
15,u,cold
33,u,cold
1980,u,cold
collected,u,cold
making,u,cold
late,u,cold
18,u,cold
dutch,u,cold
received,u,cold
typically,u,cold
pieces,u,communication cold measure
wheel,u,cold
40,u,cold
found,u,cold
edge,u,cold
largest,u,cold
formed,u,cold
director,u,cold
san,u,cold
600,u,cold
95,u,cold
runs,u,cold
square,u,cold
favorite,u,cold
plant,u,cold
coast,u,cold
dozen,u,cold
sections,u,communication cold
view,u,cold
lots,u,cold
expected,u,cold
elsewhere,u,cold
53,u,cold
estimated,u,cold
buried,u,cold
about,u,cold
from,u,cold
most,u,cold
town,u,cold
across,u,cold
primary,u,cold
outside,u,cold
usually,u,cold
popular,u,cold
almost,u,cold
little,u,cold
turn,u,cold
days,u,cold
lower,u,cold
stay,u,cold
word,u,cold
created,u,cold
sea,u,cold
station,u,cold
largely,u,cold
stands,u,cold
climb,u,cold
broke,u,cold
spring,u,cold
climbing,u,communication cold
bend,u,cold
dropping,u,cold
trail,u,cold
drops,u,all cold
book,u,measure
white,u,measure
yellow,u,measure
bright,u,measure
logo,u,measure
showing,u,measure
painting,u,measure
style,u,measure
red,u,communication measure
similar,u,measure
image,u,measure
dark,u,measure
pink,u,measure
key,u,measure
cuts,u,measure
purple,u,measure
appears,u,measure
picture,u,measure
test,u,measure
stick,u,measure
noted,u,measure
supposed,u,measure
fish,u,communication measure
basically,u,measure
pair,u,measure
looked,u,measure
