context,evidence_type,categories
commonly, ,relation
traditional, ,relation
annual, ,relation cold
name, ,relation
juice, ,relation
sell, ,relation
brand, ,relation
sweet, ,relation
soft, ,all relation communication
include, ,relation
mixes, ,relation
taste, ,relation
egg, ,relation communication
green, ,relation cold
adding, ,relation measure
based, ,relation
wine, ,relation object
daily, ,relation cold
notably, ,relation
partnership, ,relation
locally, ,relation
entertainment, ,relation
production, ,relation
plays, ,relation
beautiful, ,relation
referred, ,relation
such, ,relation
growing, ,relation
besides, ,relation
comes, ,object measure
bottle, ,object measure
although, ,cold
1983, ,cold
being, ,cold
1980s, ,cold measure
free, ,cold
while, ,cold
consisting, ,cold
few, ,cold
large, ,cold
christmas, ,cold
1988, ,cold
early, ,cold
further, ,cold
handful, ,cold
side, ,cold
double, ,cold
on, ,cold
10, ,cold
available, ,cold
only, ,cold
300, ,cold
both, ,cold
recorded, ,cold
containing, ,communication cold
first, ,cold
four, ,cold
2010, ,cold
us, ,cold measure
features, ,communication cold
previously, ,cold
are, ,cold
quality, ,cold
covered, ,cold
six, ,cold
day, ,cold
number, ,cold
initially, ,cold
200, ,cold
20, ,cold
including, ,cold
five, ,cold
covering, ,cold
there, ,cold
1989, ,cold
mid, ,cold
distribution, ,cold
follow, ,cold
may, ,cold
kingdom, ,cold
many, ,cold
1991, ,cold
1984, ,cold
some, ,cold
78, ,cold
latter, ,cold
around, ,cold
biggest, ,cold
company, ,cold
presented, ,cold
hour, ,cold
highly, ,cold
recent, ,cold measure
mostly, ,cold
scale, ,cold
composed, ,cold
50, ,cold
less, ,cold
thousands, ,cold
generally, ,cold
remained, ,cold
entire, ,cold
mexico, ,cold
california, ,cold
reference, ,cold
fake, ,cold
per, ,cold
york, ,cold
road, ,cold
period, ,cold
changes, ,cold
exist, ,cold
parts, ,cold
producer, ,cold
80s, ,cold
difficult, ,cold
superior, ,cold
sole, ,cold
32, ,cold
meant, ,cold
advantage, ,cold
replacing, ,cold
75, ,cold
70, ,cold
filmed, ,cold
widely, ,cold
el, ,cold
predominantly, ,cold
lined, ,cold
depicting, ,cold
ranging, ,cold
area, ,cold
going, ,cold
lake, ,cold
growth, ,cold
river, ,cold
falling, ,cold
classified, ,cold
drop, ,cold
cd, ,cold
limited, ,cold
single, ,cold
tracks, ,cold
500, ,cold
was, ,cold
in, ,cold
sides, ,cold
cloth, ,cold measure
set, ,cold
it, ,cold
seven, ,cold
45, ,cold
originally, ,cold
featuring, ,cold
were, ,cold
live, ,cold
via, ,cold
2015, ,cold
collection, ,cold
all, ,cold
april, ,cold
onto, ,cold
november, ,cold
later, ,cold
backed, ,cold
250, ,cold
100, ,cold
same, ,cold
december, ,cold
1982, ,cold
date, ,cold
sound, ,cold
sold, ,cold
sub, ,cold
factory, ,cold
best, ,cold
its, ,cold
then, ,cold
second, ,cold
16, ,cold
europe, ,cold
25, ,cold
covers, ,cold
13, ,cold
rock, ,cold
interior, ,cold
january, ,cold
september, ,cold
twelve, ,cold
collective, ,cold
2003, ,cold
14, ,cold
february, ,cold
400, ,cold
medium, ,cold
selection, ,cold
ten, ,cold
since, ,cold
15, ,cold
united, ,cold
33, ,cold
1980, ,cold
collected, ,cold
making, ,cold
underground, ,cold
broken, ,cold
24, ,cold
heavy, ,cold
last, ,cold
1998, ,cold
1972, ,cold
80, ,cold
17, ,cold
rough, ,cold
netherlands, ,cold
usa, ,cold
either, ,cold
22, ,cold
following, ,cold
end, ,cold
late, ,cold
18, ,cold
dutch, ,cold
received, ,cold
typically, ,cold
eponymous, ,cold
countries, ,cold
today, ,cold
pieces, ,communication cold measure
sets, ,cold
expanded, ,cold
27, ,cold
wheel, ,cold
various, ,cold
40, ,cold
space, ,cold
found, ,cold
belgium, ,cold
800, ,cold
volume, ,cold
atlantic, ,cold
edge, ,cold
1974, ,cold
channel, ,cold
week, ,communication cold
pack, ,cold
total, ,cold
contain, ,cold
23, ,cold
month, ,cold
largest, ,cold
chicago, ,cold
tv, ,cold
numerous, ,cold
outlets, ,cold
ireland, ,cold
reaching, ,cold
formed, ,cold
varying, ,cold
hollow, ,communication cold measure
plants, ,cold
paintings, ,cold measure
shortened, ,cold
director, ,cold
dates, ,cold
la, ,cold
marked, ,cold
fully, ,cold
san, ,cold
wearing, ,cold
600, ,cold
96, ,cold
95, ,cold
sunday, ,cold
runs, ,cold
otherwise, ,cold
district, ,cold
