context,evidence_type,categories
return,NA,relation
hole,NA,relation
fed,NA,relation
solid,NA,relation
700,NA,relation
entire,u,relation
tiny,NA,relation
charcoal,NA,relation
burning,n,relation
iron,NA,relation
stove,NA,relation
pieces,u,relation
large,NA,relation
pit,NA,relation
use,NA,relation measure
fired,NA,relation
technique,NA,relation
remains,NA,relation
needed,NA,relation
were,NA,relation
ground,NA,hot relation
replace,NA,relation
inside,NA,relation
invented,NA,relation
replaced,NA,relation
human,NA,relation
uses,NA,relation
total,NA,relation
revealed,NA,relation
fine,NA,relation
form,NA,relation
diamond,NA,relation
collection,u,relation
shape,NA,relation
connected,NA,relation
sources,NA,relation
remaining,NA,relation
petrol,NA,relation
collecting,NA,relation
surrounded,NA,relation
finally,NA,relation
highly,NA,relation
point,NA,relation
william,NA,relation
27,NA,relation
ever,NA,relation
namely,NA,relation
vacuum,NA,relation
cross,NA,relation
himself,NA,relation
resembling,NA,relation
will,NA,relation
sent,NA,relation
break,NA,relation
heated,NA,object
lit,r,all object
ceramic,NA,object
containing,NA,measure
beer,NA,measure
water,i,hot measure
filled,u,measure
kitchen,r,measure
tea,i,measure
glass,NA,measure
liquid,i,measure
non,NA,measure
vessel,NA,measure
items,NA,measure
itself,NA,measure
rice,i,measure
cooking,NA,measure
this,NA,measure
based,NA,measure
locally,NA,measure
hot,p,all hot
pot,NA,all food
cook,NA,all food
provide,NA,hot
meat,NA,hot
building,NA,hot
heat,p,hot
smoke,NA,hot
burnt,r,hot
carry,NA,hot
ashes,NA,hot
wooden,NA,hot
traditional,NA,hot
readily,NA,hot
beneath,NA,hot
amount,NA,hot
generated,NA,hot
baked,NA,food
