context,evidence_type,categories
features, ,relation
out, ,relation
reception, ,relation
details, ,relation
mother, ,relation
photo, ,relation
photograph, ,relation
dealer, ,relation
pictures, ,relation
fake, ,relation
multiple, ,relation
remove, ,relation
matter, ,relation
keeps, ,relation
revealing, ,relation
thanks, ,relation
posters, ,relation
telephone, ,relation
lobby, ,relation
alice, ,relation
quality, ,relation
door, ,relation
hand, ,relation
dates, ,relation
man, ,relation
showing, ,relation
cost, ,relation
manufacturing, ,relation
boy, ,relation
displays, ,relation food
products, ,relation
images, ,relation
puzzle, ,relation
effect, ,relation
finds, ,relation
according, ,relation
apparently, ,relation
purchase, ,relation
easy, ,relation
worker, ,relation
collected, ,relation
machine, ,relation
reads, ,relation
million, ,relation
liverpool, ,relation
retain, ,relation
earlier, ,relation
custom, ,relation
hidden, ,relation
sheets, ,relation
scenes, ,relation
frank, ,relation
arrival, ,relation
item, ,relation
keep, ,relation food
150, ,relation
money, ,relation
everything, ,relation
buy, ,relation
powered, ,relation
roll, ,relation
800, ,relation
papers, ,relation
martin, ,relation
funeral, ,relation
mistakenly, ,relation
attempts, ,relation
opportunity, ,relation
employee, ,relation
businessman, ,relation
temporarily, ,relation
microsoft, ,relation
presenting, ,relation
website, ,relation
his, ,relation
message, ,relation
any, ,relation
write, ,relation
press, ,relation
saying, ,relation
says, ,relation
special, ,relation
photographs, ,relation
visit, ,relation
fifty, ,relation
purpose, ,relation
find, ,relation
spent, ,relation
shortly, ,relation
told, ,relation
broadcast, ,relation
your, ,relation
sees, ,relation
job, ,relation
looking, ,relation
phone, ,relation
reveals, ,relation
provide, ,relation
unable, ,relation
viewers, ,relation
tells, ,relation
puts, ,relation
concluded, ,relation
favourite, ,relation
sam, ,relation
falls, ,relation
contains, ,relation
size, ,relation
column, ,relation
used, ,relation
copy, ,relation
room, ,relation food
windows, ,relation
table, ,relation
copies, ,relation
tables, ,relation
window, ,relation food
sized, ,relation
single, ,relation
rare, ,relation
material, ,relation
cutting, ,relation
removed, ,relation
types, ,relation
added, ,relation
look, ,relation
display, ,relation
created, ,relation
feature, ,relation
names, ,relation
worked, ,relation
said, ,relation
featuring, ,relation
screen, ,relation
displayed, ,relation
expensive, ,relation
kitchen, ,relation
john, ,relation
stories, ,relation
unusual, ,relation
organ, ,relation
