context,evidence_type,categories
from,NA,relation
bed,i,relation food communication
are,u,relation no-cat
man,NA,relation
dressed,u,relation
leather,u,relation
removed,u,relation food warm
recommended,u,relation food
himself,NA,relation
cross,NA,relation
clothing,i,all relation communication
skin,i,relation
meaning,u,relation
well,u,relation object
upper,u,relation
little,u,relation no-cat
fine,u,relation no-cat
cover,r,relation
thin,NA,all relation communication no-cat
pieces,u,relation
along,u,relation warm
men,NA,relation
high,u,relation no-cat
material,u,relation
while,u,relation
pair,u,relation communication
metal,u,relation
thick,u,relation measure communication
suit,u,relation
enough,u,relation
entirely,NA,relation
tend,NA,relation
consists,NA,relation
hence,NA,relation no-cat
lead,NA,relation
extremely,NA,relation
further,u,relation
largely,u,relation
inside,u,relation communication
reduced,NA,relation warm
normally,u,relation food warm no-cat
separate,u,relation warm no-cat
animal,NA,relation
covers,r,relation communication no-cat
strip,u,relation warm
suggests,NA,relation
collected,u,relation
simple,u,relation food
feet,i,relation communication
bound,NA,relation
rather,NA,relation food
previously,u,relation
floor,u,all object no-cat
long,NA,object
white,u,communication warm
bag,u,communication no-cat
pulling,NA,communication
blue,u,communication
covering,r,communication warm
covered,r,communication no-cat
filled,u,communication
worn,NA,communication
attached,u,communication
wearing,u,communication
nose,u,communication
front,u,communication warm
orange,u,communication no-cat
hanging,u,communication
containing,u,communication food warm no-cat
shot,u,communication
giant,NA,communication
beneath,u,communication
cloth,u,communication no-cat
inches,u,communication
carries,NA,communication
tiny,u,communication
knocked,NA,communication
rubber,u,communication no-cat
resembles,NA,communication
rear,u,communication
grey,u,communication warm no-cat
former,u,communication
accidentally,NA,communication
underneath,u,communication
1993,NA,communication
captain,NA,communication
cap,u,communication
six,u,communication
cape,i,communication
featured,u,communication
monkey,NA,communication
jack,NA,communication
bay,u,communication no-cat
wrapped,u,communication
pink,u,communication no-cat
red,u,communication warm
mask,u,communication
hole,u,communication no-cat
stretched,u,communication
dances,NA,communication
ball,u,communication
wear,NA,communication
hat,i,communication
your,u,communication
bar,u,communication warm
pulled,u,communication
johnson,NA,communication
black,u,communication no-cat
beaten,NA,communication
concealed,NA,communication
hands,NA,communication
arm,NA,communication
edge,NA,communication
coloured,NA,communication no-cat
facial,NA,communication
spite,NA,communication
spotted,u,communication
hide,NA,communication
fighting,NA,communication
pulls,NA,communication
situated,NA,communication
creek,NA,communication no-cat
silver,NA,communication warm
plastic,u,communication no-cat
guns,NA,communication
consisting,u,communication
gray,NA,communication
jersey,i,communication warm no-cat
badge,NA,communication
neck,NA,communication
tokyo,u,communication
mouth,i,communication
appeared,u,communication
australian,NA,communication warm no-cat
killed,NA,communication
masks,NA,communication
canadian,NA,communication
