context,evidence_type,categories
from, ,relation
bed, ,relation food communication
are, ,relation no-cat
man, ,relation
dressed, ,relation
leather, ,relation
removed, ,relation food warm
recommended, ,relation food
himself, ,relation
cross, ,relation
clothing, ,all relation communication
skin, ,relation
meaning, ,relation
well, ,relation object
upper, ,relation
little, ,relation no-cat
fine, ,relation no-cat
cover, ,relation
thin, ,all relation communication no-cat
pieces, ,relation
along, ,relation warm
men, ,relation
high, ,relation no-cat
material, ,relation
while, ,relation
pair, ,relation communication
metal, ,relation
thick, ,relation measure communication
suit, ,relation
enough, ,relation
entirely, ,relation
tend, ,relation
consists, ,relation
hence, ,relation no-cat
lead, ,relation
extremely, ,relation
further, ,relation
largely, ,relation
inside, ,relation communication
reduced, ,relation warm
normally, ,relation food warm no-cat
separate, ,relation warm no-cat
animal, ,relation
covers, ,relation communication no-cat
strip, ,relation warm
suggests, ,relation
collected, ,relation
simple, ,relation food
feet, ,relation communication
bound, ,relation
rather, ,relation food
previously, ,relation
floor, ,all object no-cat
long, ,object
white, ,communication warm
bag, ,communication no-cat
pulling, ,communication
blue, ,communication
covering, ,communication warm
covered, ,communication no-cat
filled, ,communication
worn, ,communication
attached, ,communication
wearing, ,communication
nose, ,communication
front, ,communication warm
orange, ,communication no-cat
hanging, ,communication
containing, ,communication food warm no-cat
shot, ,communication
giant, ,communication
beneath, ,communication
cloth, ,communication no-cat
inches, ,communication
carries, ,communication
tiny, ,communication
knocked, ,communication
rubber, ,communication no-cat
resembles, ,communication
rear, ,communication
grey, ,communication warm no-cat
former, ,communication
accidentally, ,communication
underneath, ,communication
1993, ,communication
captain, ,communication
cap, ,communication
six, ,communication
cape, ,communication
featured, ,communication
monkey, ,communication
jack, ,communication
bay, ,communication no-cat
wrapped, ,communication
pink, ,communication no-cat
red, ,communication warm
mask, ,communication
hole, ,communication no-cat
stretched, ,communication
dances, ,communication
ball, ,communication
wear, ,communication
hat, ,communication
your, ,communication
bar, ,communication warm
pulled, ,communication
johnson, ,communication
black, ,communication no-cat
beaten, ,communication
concealed, ,communication
hands, ,communication
arm, ,communication
edge, ,communication
coloured, ,communication no-cat
facial, ,communication
spite, ,communication
spotted, ,communication
hide, ,communication
fighting, ,communication
pulls, ,communication
situated, ,communication
creek, ,communication no-cat
silver, ,communication warm
plastic, ,communication no-cat
guns, ,communication
consisting, ,communication
gray, ,communication
jersey, ,communication warm no-cat
badge, ,communication
neck, ,communication
tokyo, ,communication
mouth, ,communication
appeared, ,communication
australian, ,communication warm no-cat
killed, ,communication
masks, ,communication
canadian, ,communication
breast, ,communication
operated, ,communication
winning, ,communication
yellow, ,communication warm no-cat
2014, ,communication warm no-cat
tears, ,communication
yard, ,communication no-cat
23, ,communication warm
28, ,communication warm
hair, ,communication
dark, ,communication
golden, ,communication
painted, ,communication warm
loses, ,communication
depicted, ,communication
reminiscent, ,communication no-cat
helmet, ,communication
december, ,communication warm
accompanied, ,communication
hood, ,communication
queen, ,communication
18, ,communication warm no-cat
cone, ,communication
appearance, ,communication
enters, ,communication
distinctive, ,communication
awards, ,communication
lighter, ,communication
kitchen, ,communication no-cat
winner, ,communication
afterwards, ,communication
chair, ,communication
bottle, ,communication no-cat
hill, ,communication warm no-cat
suspended, ,communication
continued, ,measure
were, ,measure
served, ,measure no-cat
led, ,measure
conceived, ,measure
responsible, ,measure no-cat
vertical, ,measure
18th, ,measure no-cat
ii, ,measure
joined, ,measure no-cat
dutch, ,measure warm no-cat
florida, ,measure
warmer, ,measure
burnt, ,measure
initially, ,measure
leads, ,measure
12, ,warm no-cat
issued, ,warm
000, ,warm no-cat
available, ,warm
500, ,warm
box, ,warm
cafe, ,warm
set, ,warm
originally, ,warm
included, ,warm
via, ,warm
seven, ,warm
45, ,warm
three, ,warm
contained, ,warm
standard, ,warm
2007, ,warm no-cat
2012, ,warm
made, ,warm
april, ,warm no-cat
2011, ,warm no-cat
includes, ,food warm
2016, ,warm no-cat
november, ,warm no-cat
run, ,warm no-cat
part, ,warm
contains, ,warm
virgin, ,warm
october, ,warm no-cat
factory, ,warm no-cat
sold, ,warm no-cat
1996, ,warm
30, ,warm no-cat
250, ,warm no-cat
100, ,warm
number, ,warm
march, ,warm
1982, ,warm
16, ,warm no-cat
200, ,warm no-cat
america, ,warm no-cat
extended, ,warm
europe, ,warm
include, ,warm
including, ,warm
germany, ,warm
cutting, ,warm
2005, ,warm no-cat
september, ,warm
june, ,warm
february, ,warm
mini, ,warm
14, ,warm no-cat
2000, ,warm no-cat
2002, ,warm
used, ,warm
11, ,warm
august, ,warm
15, ,warm
united, ,warm
underground, ,warm
additional, ,warm
1992, ,warm no-cat
kingdom, ,warm
replaced, ,warm
distribution, ,warm no-cat
columbia, ,warm no-cat
1998, ,warm no-cat
announced, ,warm
21, ,warm no-cat
1981, ,warm
