,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.00118267944829216,0.0,0.0,0.0,0.0,0.0,0.0,0.0010503867244001863,0.0010878995462546884,0.0,0.0,0.0,0.0008959387912527755,0.0010554421427412413,0.0,0.0003514897768627367
parrotfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.002323490496467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022183221321201985,0.002872305919336497,0.0,0.0,0.0,0.002159391553700344,0.0,0.000638234006774936
insect,0.0045839694900019845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004429300406891512,0.0,0.0,0.0,0.0,0.0043008794307075535,0.0,0.0008876099551734034
frog,0.0010520639293494184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009506129496751914,0.0,0.0,0.0,0.0,0.0009224166876730396,0.0,0.0001950062377798433
bird,0.002239989080909181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020667347969405116,0.002607697137128212,0.0017117312120424062,0.0,0.0016016267523701778,0.001994871836254772,0.0024596203495640657,0.000978818077680622
parakeet,0.002952815166170448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026521674406659044,0.0,0.0,0.0,0.0,0.002882180798340927,0.0,0.0005658108936784853
shark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.008915254437753076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00886906464335293,0.01289345626221281,0.0,0.0,0.0,0.008794459190718395,0.0,0.0026314823022691473
parrot,0.003068735745385185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002630104548363855,0.0036245506452904763,0.0,0.0,0.0,0.0026783541984365523,0.0,0.0008001163424984047
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0005397222466910122,0.0,0.0,0.0,0.0,0.0,0.00044034948947289145,0.0,0.0005304268196665912,0.0,0.0,0.0,0.0,0.0005326610310142177,0.0,0.00013621063912298086
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,4.273360432905632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9854802619250768e-05,0.0,0.0,0.0,0.0,2.88094558974238e-05,0.0,6.759857523048726e-06
