,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
coyote,0.00535313288547651,0.0,0.0,0.007533392016643119,0.0,0.0057277592730668805,0.0,0.0,0.0,0.0,0.004310510761228199,0.0,0.0,0.0,0.0,0.0,0.004400572536875336,0.0,0.0015180759707383357
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.00890642735688337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007161352127547742,0.0,0.0,0.0,0.0,0.0,0.00785791865300002,0.0,0.0013292054520795073
snake,0.0029624610163453977,0.002938291182661492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022702360912733054,0.0,0.0,0.0,0.0,0.0,0.002398425445869596,0.0,0.0005871896520083217
alligator,0.007027555624265951,0.007748085497210262,0.0,0.0,0.0,0.0,0.0,0.0,0.0053440168752535095,0.0,0.0054944927228628366,0.0,0.0,0.0,0.0,0.0,0.005667129099163277,0.0,0.0017378488788197686
killer,0.007813796343864216,0.0,0.0,0.0,0.0,0.008991962223592812,0.0,0.0,0.0,0.0,0.008371013029685667,0.0,0.0,0.0,0.0,0.0,0.008570007238987596,0.0,0.001874821046451683
hack,0.008967755003896979,0.0,0.008874905923050461,0.0,0.0,0.008396817088575424,0.0,0.0,0.0,0.0,0.008189421072834052,0.0,0.0,0.00991264380202737,0.0,0.0,0.008209323648132406,0.0,0.00291949258547315
hippopotamus,0.004376384164128971,0.0,0.0,0.0,0.0,0.004205985177600105,0.0,0.0,0.0,0.0,0.0027802464781088924,0.0,0.0,0.0,0.0,0.0,0.002978452743108838,0.0,0.0007967260312748227
tiger,0.009374396335388422,0.0,0.0,0.0,0.0,0.00910685748844313,0.0,0.0,0.0,0.0,0.0079915577034553,0.0,0.0,0.0,0.0,0.0,0.008093700390484961,0.0,0.001920361773209545
torpedo,0.022681853213634248,0.0,0.0,0.04356723347272239,0.0,0.0,0.0,0.0,0.02492542562039572,0.03303009341229019,0.02430283679848397,0.0,0.028897992090849072,0.0,0.027803947210278387,0.0,0.025976194880162187,0.0,0.012843643149934228
beetle,0.00035869580355170913,0.0,0.00037124489254457916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002602098941220692,0.0,0.0,0.0,0.0,0.0,0.00025573036481749513,0.0,6.921560861310294e-05
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat,0.0014297980008579822,0.0,0.0,0.0,0.0,0.001547487703743805,0.0,0.0,0.0,0.0,0.0013388938845886056,0.0,0.0,0.0,0.0,0.0,0.0013682329342927745,0.0,0.00031580069574906484
jack,0.004741723206814501,0.0,0.0056081158912250914,0.0,0.0,0.005155974851072068,0.005370132026119844,0.006174576703037104,0.005333936462771128,0.006258449158868529,0.00492450877318532,0.0,0.0,0.0,0.005974995470696583,0.0,0.005089081327378696,0.0,0.003035082992842715
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.002827264092301847,0.0037684701919161534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002371036338492918,0.0,0.0,0.0,0.0,0.0,0.0023513111304992933,0.0,0.0006287823196227895
rabbit,0.0009759259324997387,0.0,0.0,0.0,0.0,0.0010360898495337004,0.0,0.0,0.000954141153625699,0.0,0.0009861026769097908,0.0,0.0,0.0,0.0009408717898350393,0.0,0.0010156636795225216,0.0,0.0003282663934403606
adze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolo,0.0,0.0,0.004959705673008849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004937911858713103,0.0,0.0,0.0,0.0,0.0,0.005256215844265714,0.0057379972076783935,0.0011606572546481145
hammer,0.0,0.0,0.006041403161791176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006178909278256914,0.0,0.0,0.0,0.0,0.0,0.006248355570444582,0.0,0.0010260371116940373
gang,0.0,0.0,0.018349848713911265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018106618885054642,0.0,0.0,0.0,0.0,0.0,0.018538491712111874,0.0,0.003055275517282099
knife,0.0,0.0,0.03388398112628342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03293248350359359,0.02885127173717538,0.0,0.0,0.0,0.0,0.033515605289326365,0.03596123991749157,0.00917469897632613
