,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
coyote,0.004826248172011875,0.0,0.0,0.007533392016643119,0.0,0.0057277592730668805,0.0,0.0,0.0,0.0,0.004310510761228199,0.0,0.0,0.0,0.0,0.0,0.004489138632121083,0.0,0.001493724936392842
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.011241731064384758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010025892978566838,0.0,0.0,0.0,0.0,0.0,0.01122249440424238,0.0,0.0018050065803996652
snake,0.012591288349462715,0.013851944146832749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010702541573145583,0.0,0.0,0.0,0.0,0.0,0.011534425180167184,0.0,0.002704455513867124
alligator,0.010559775060987866,0.01291347582868377,0.0,0.0,0.0,0.0,0.0,0.0,0.009808754023443679,0.0,0.009157487871438061,0.0,0.0,0.0,0.0,0.0,0.009635309935653542,0.0,0.002893044595567051
killer,0.013053451079371314,0.0,0.0,0.0,0.0,0.01666157706136315,0.0,0.0,0.0,0.0,0.015510994731476383,0.0,0.0,0.0,0.0,0.0,0.016199315148319817,0.0,0.0034125187789183706
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.019251132726671314,0.0,0.0,0.0,0.0,0.020743397612564902,0.0,0.0,0.0,0.0,0.0182029925467593,0.0,0.0,0.0,0.0,0.0,0.018806687521355562,0.0,0.0042780116892972815
torpedo,0.0013389475494702764,0.0,0.0,0.0028526164773806325,0.0,0.0,0.0,0.0,0.0017973111131432727,0.0021626846877094773,0.0015912571713293077,0.0,0.00189213043451988,0.0,0.0018204965435301324,0.0,0.0017350530997248081,0.0,0.0008439165042670992
beetle,0.00018885058630567608,0.0,0.00017920668038800422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011172503499999088,0.0,0.0,0.0,0.0,0.0,0.00010916495340872413,0.0,3.271929195013307e-05
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat,0.003387499509031881,0.0,0.0,0.0,0.0,0.004136348705132615,0.0,0.0,0.0,0.0,0.0025869340971732065,0.0,0.0,0.0,0.0,0.0,0.0026282912505883405,0.0,0.0007077263089958914
jack,0.007929998022136316,0.0,0.008599150020907963,0.0,0.0,0.009728212575776487,0.007581362860404484,0.008717049463111207,0.007530263241559239,0.008835457636049688,0.006716367436531726,0.0,0.0,0.0,0.008435287723336352,0.0,0.006900573170500195,0.0,0.00449854011946187
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0010318350807493493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006692981093274113,0.0,0.0,0.0,0.0,0.0,0.0006825333185479616,0.0,0.0001324259171458179
