,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
toy,0.006444402064623774,0.006813472977863547,0.0,0.0,0.006628845864226138,0.0,0.0,0.0,0.006611862445877456,0.0,0.0,0.0,0.002208215279382576
seal,0.004641027611475081,0.0038256239626220313,0.0,0.0,0.0037564739082980667,0.003914234452884972,0.0048873179496378835,0.0,0.0037098544765877656,0.0,0.0,0.0,0.002061211030125483
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.010916688365845246,0.008128525401915306,0.0,0.0,0.008053495479421741,0.0,0.0,0.0,0.007862229643171032,0.0,0.0,0.0,0.0029134115741961107
basset,0.003838521695821388,0.0025733009619240137,0.0,0.0,0.002517831550935872,0.0,0.0,0.0,0.002494430208991545,0.0,0.0,0.0,0.0009520070348060682
ass,0.004048010038909664,0.0033179504831682667,0.0,0.0,0.0033961242818491945,0.0,0.0,0.0,0.003349827543446501,0.0,0.0,0.0,0.0011759926956144689
monkey,0.005162822174745658,0.0042706686741167425,0.0,0.0,0.004034225863640044,0.0,0.0,0.0,0.004006121726462156,0.0,0.0,0.0,0.00145615320324705
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hog,0.010348357845719464,0.00982902012240654,0.0,0.0,0.009486326038657473,0.0,0.0,0.0,0.00928279167248272,0.0,0.0,0.0,0.0032455413066055164
roebuck,0.0013822490669050508,0.0009255396592450563,0.0,0.0,0.0009184466657807216,0.0,0.0,0.0,0.0008938561263359753,0.0,0.0,0.0,0.00034334095985556697
whistler,0.0033745649609351574,0.002363794015014478,0.0,0.0024803853392967356,0.002333807005138379,0.0,0.0,0.0,0.0022992446821524484,0.0,0.0,0.0,0.0010709830002114333
mouse,0.0003008867159422337,0.00020931655480910046,0.0,0.0,0.00021118894157221487,0.0,0.0,0.0,0.00020582078345361305,0.0,0.0,0.0,7.726774964809684e-05
silverback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.001123306965091242,0.0008526448861896544,0.0,0.0,0.0009223662828029878,0.0,0.0,0.0009262963288571581,0.0009042757093418711,0.0,0.0,0.0,0.0003940741810235761
buffalo,0.0036723646162428888,0.002749262020868304,0.0,0.0,0.002765989529727145,0.0,0.0,0.0,0.002707507398764463,0.002238720348552641,0.0,0.0,0.0011778203261796202
