,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
wren,0.008444736663071524,0.0,0.0,0.0,0.0,0.0,0.010152095274538664,0.0074338688858184765,0.0,0.0,0.0,0.010158504386923253,0.0030157671008626597
flycatcher,0.009302721518568046,0.0,0.0,0.0,0.0,0.0,0.009960994836394184,0.010288486530103898,0.0,0.0,0.0,0.009976207236030876,0.003294034176758084
stork,0.03161834997752132,0.0,0.0,0.0,0.0,0.0,0.03530583008151477,0.030265873954876878,0.0,0.0,0.0,0.03534512623907653,0.011044598354415791
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caracara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.0191111818575947,0.0,0.0,0.0,0.0,0.0,0.02209994181315976,0.01821265459037932,0.0,0.0,0.0,0.022115908214637776,0.006794973872980964
vulture,0.014854770544405795,0.0,0.0,0.0,0.0,0.0,0.016797871283751147,0.013293379654520411,0.0,0.0,0.0,0.01724568595523905,0.005182642286493034
avocet,0.0378280046464569,0.0,0.0,0.0,0.0,0.0,0.04018637665540297,0.031600934209631115,0.0,0.0,0.0,0.04021725215014497,0.012486047305136328
babbler,0.007717980847178799,0.0,0.0,0.0,0.0,0.0,0.009322201316720067,0.008113664915431832,0.0,0.0,0.0,0.009335730560330744,0.002874131469971787
kite,0.0051032226753005856,0.0,0.0,0.0,0.0,0.0,0.005950212106855569,0.0047850318361801715,0.005814691516911142,0.0,0.0,0.0059542192366738205,0.002300614780993441
nightingale,0.001152307445461638,0.0,0.0,0.0,0.0,0.0,0.001414661694672172,0.0012091060602228796,0.0,0.0,0.0,0.0014342089939924556,0.00043419034952909543
tit,0.006394460820819468,0.0,0.0,0.0,0.0,0.0,0.007170234182123405,0.005685863177758711,0.0,0.0,0.0,0.007179391122032475,0.002202495775227838
gallinule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
towhee,0.39871795670067833,0.0,0.0,0.0,0.0,0.0,0.5055368740859443,0.27746820523890936,0.0,0.0,0.0,0.5054714839181551,0.14059954332864058
yellowhammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
titmouse,0.019913828592019518,0.0,0.0,0.0,0.0,0.0,0.029120536092979304,0.015741529247873014,0.0,0.0,0.0,0.029154767713305663,0.007827555137181459
merganser,0.00790101486061801,0.0,0.0,0.0,0.0,0.0,0.009419747075974063,0.007198144237848128,0.0,0.0,0.0,0.009423206283702556,0.0028285093715118962
hawk,0.006975809576436656,0.0,0.0,0.0,0.0,0.0,0.008252151984789829,0.00566438941352677,0.0,0.0,0.0,0.0082566097628981,0.002429080061470946
chinook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flicker,0.01793983740783327,0.0,0.0,0.0,0.0,0.0,0.024038581121451914,0.014241395290538235,0.0,0.0,0.0,0.02404870698178116,0.006689043400133716
marabou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pigeon,0.006987057345789253,0.0,0.0,0.0,0.0,0.0,0.008469628964720657,0.006759899074617437,0.0,0.0,0.0,0.008474705830105414,0.0025576076012693966
ouzel,0.0720137523639506,0.0,0.0,0.0,0.0,0.0,0.06636395304087882,0.03985154529205114,0.0,0.0,0.0,0.06693237856318981,0.02043013577167253
toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seagull,0.002593547273598691,0.0,0.0,0.0,0.0,0.0,0.002997229033871662,0.002724346401667391,0.0,0.0,0.0,0.0030071782766067506,0.0009435250821453746
albatross,0.012759072435747351,0.0,0.0,0.0,0.0,0.0,0.017346674890254803,0.012623606632444318,0.0,0.0,0.0,0.01735668860583718,0.005007170213690304
grosbeak,0.019701977475193373,0.0,0.0,0.0,0.0,0.0,0.04019055051361522,0.01840494199220151,0.0,0.0,0.0,0.04035118128315131,0.009887387605346784
fowl,0.0037983795613266216,0.0,0.0,0.0,0.0,0.0,0.004304480369863682,0.003020918197927077,0.0,0.0,0.003730378623984977,0.0043087154739584925,0.0015969060189217372
goldcrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0008758154582026085,0.0,0.0,0.0,0.0,0.0,0.0009804545131926108,0.0007967035811870152,0.0,0.0,0.0,0.0009815126055481458,0.00030287384651086504
skylark,0.013874334339574006,0.0,0.0,0.0,0.0,0.0,0.01754961137837116,0.012083772390701724,0.0,0.0,0.0,0.017568449358202388,0.0050896806222374405
owl,0.01595370396124757,0.0,0.0,0.0,0.0,0.0,0.01687947351876619,0.014840151590885956,0.0,0.0,0.0,0.01689290385241282,0.005380519410276045
moorcock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.01756900238764002,0.0,0.0,0.0,0.0,0.0,0.020741035876344294,0.01901960024194263,0.0,0.0,0.0,0.02076295359811175,0.0065077160086698905
nuthatch,0.003619374503334037,0.0,0.0,0.0,0.0,0.0,0.0039057090658971443,0.0037162560317498105,0.0,0.0,0.0,0.003911048046724652,0.001262698970642137
butterfly,0.0003167607021026529,0.0,0.0,0.0,0.0,0.0,0.000336634121019007,0.0,0.0,0.0,0.0,0.0003372531031458099,8.255399385562248e-05
loon,0.007870509794345212,0.0,0.0,0.0,0.0,0.0,0.009135553339683211,0.006606090964840389,0.0,0.0,0.0,0.00915701597111358,0.002730764172498533
snowbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.003111892131540371,0.0,0.0,0.003605721948483752,0.0,0.0,0.003642213752032595,0.0029870251770586637,0.0,0.0,0.003296742052487988,0.0036530463545445006,0.0016913867846789891
