,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.0027621803195510947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001979327681901897,0.0,0.0,0.0019101639750159114,0.00044344479843126016
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.01129061806558709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009098940215104961,0.0,0.0,0.008962659031932958,0.001956814487508334
crab,0.0009323275236392618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007506212846964623,0.0,0.0006199497747242625,0.0007409267991433039,0.000202921692146886
caterpillar,0.0024701604138122543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021715401973631835,0.0,0.0,0.002257615567169283,0.00045995441188964803
frog,0.0006166616847902931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044739749035793046,0.0,0.0,0.000436992003078201,0.00010007007854842831
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0001718917622992099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013909948418161055,0.0,0.0,0.0001426067275164958,3.0239864933154412e-05
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0019865081168138534,0.0,0.0,0.0,0.0,0.00174415760057437,0.0,0.0,0.0,0.0,0.0,0.001465462209032054,0.0,0.0,0.0014339982874267128,0.000442008414256466
world,0.00010842509693110644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.889822189778731e-05,0.0,0.0,9.084289439632658e-05,1.9211080881681353e-05
jade,0.0009669276582821983,0.0,0.0,0.0,0.001018193926553304,0.0,0.0,0.0,0.0,0.0,0.0,0.0007326557244695923,0.0,0.0,0.0007867235527961795,0.00023363339080675162
