,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.004808165999720331,0.0,0.0,0.0,0.0,0.005551677705117795,0.0,0.0,0.0,0.0,0.0,0.004420608437932255,0.0,0.0,0.004380932310527687,0.0012774256302198713
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0011831310118423448,0.0,0.0,0.0,0.0,0.00123652240377788,0.0,0.0,0.0,0.0,0.0,0.001131126229352858,0.0,0.0,0.0011492009280980534,0.0003133320382047424
kingfisher,0.01878910277130264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236607027002505,0.018472249714289356,0.0,0.0,0.01900375008412115,0.005328387017997577
insect,0.0008933516876066069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009237032686978929,0.0,0.0,0.0009343510689230661,0.00018342706834850438
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caterpillar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.004830442373072029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00449645661292683,0.0,0.0,0.004510055601745924,0.0009224636391829855
tortoise,0.0019026268547483944,0.0,0.0,0.0,0.0,0.0019429213952287714,0.0,0.0,0.0,0.0,0.0,0.0017827321405127234,0.0,0.0,0.0018880628224551344,0.0005010895475296682
parakeet,0.016389598168496923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206141280064641,0.01582373991870986,0.0,0.0,0.015728052810506626,0.004570367926945167
cricket,0.00014960720002041522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015533162070830087,0.0,0.0,0.00016353319098441014,3.123146744754175e-05
toad,0.0011153243551419846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001028693802633312,0.0,0.0,0.0010519449515083445,0.00021306420728557605
turtle,0.008068532555578638,0.0,0.0,0.0,0.0,0.008139402136013729,0.0,0.0,0.0,0.0,0.0,0.007636876343023694,0.0,0.0,0.007673991446037516,0.0021012534987102384
world,0.002359213575280145,0.0,0.0,0.0,0.0023145285833532344,0.0,0.0,0.0,0.0,0.0,0.0,0.002481803754829277,0.0,0.0,0.0026043351280837456,0.0006506587361030934
jade,0.0025247167922932186,0.0,0.0,0.0,0.0027895502745659785,0.0,0.0,0.0,0.0,0.0,0.0,0.0024544577236783487,0.0,0.0,0.002706507930976874,0.0006983488481009613
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0006988070529526541,0.0,0.0,0.0,0.0008995349003912974,0.0,0.0,0.0009223397930994495,0.0,0.0,0.0,0.0009409880294325571,0.0,0.0,0.00098720404835428,0.0002965915882820159
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jaguar,0.001959532381451818,0.0,0.0,0.0,0.0027775474796041186,0.0,0.0,0.0,0.0,0.0,0.0,0.002396147716266269,0.0,0.0,0.00247799258133875,0.000640748010577397
housefly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squirrel,0.00519822775600081,0.0,0.0,0.0,0.005611057029428084,0.0,0.0,0.006092048924418587,0.0,0.0,0.0,0.006144049960130852,0.0,0.0,0.006319060485772605,0.001957629610383396
raven,0.002216645990085238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002450412164899064,0.002589718167428515,0.0,0.0,0.002680785047727759,0.0006625040913427051
human,0.000538079566772317,0.0,0.0,0.0,0.0007699451684671876,0.0,0.0,0.0,0.0,0.0,0.0,0.0007295780743820497,0.0,0.0,0.000765949260839171,0.0001869034713640484
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrimp,0.0022311055665441815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028323231178138527,0.0,0.00359307035866075,0.0029419462377479146,0.0007732296853844466
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0006805976692108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007907246991519339,0.0008722396509039215,0.0,0.0,0.0008951767666308675,0.00021591591905984134
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raccoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0014065116088449068,0.0,0.0,0.0,0.001669633255946676,0.0,0.0,0.0015925570291699482,0.0,0.0,0.0,0.0015888743114284658,0.0,0.0,0.0016388371905339478,0.000526427559728263
spider,0.0015488111698515699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018285252164297662,0.0024460133943694797,0.0,0.0018895633494550442,0.000514194208673724
whale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0013468086475897922,0.0,0.0,0.0,0.0014554689597502193,0.0013193182531126078,0.0,0.0,0.0,0.0,0.0,0.0017296072299304614,0.0,0.001905956934500697,0.0017772695008315034,0.0006356286350476854
