,no-cat,hot,all,communication,relation,object,food,plant,measure,mean
dish,0.03296131935767062,0.0,0.02783998253150257,0.0,0.0,0.025625508033071592,0.0328566001805271,0.0,0.029071531866892153,0.01648388244107378
coffee,0.0022732218509293202,0.0,0.00213788898957441,0.0,0.00286105589283536,0.0019344414052882644,0.002448751196979306,0.0020523865675647923,0.0,0.0015230828781301615
vegetable,0.00821118344880843,0.0,0.006639127116368224,0.0,0.0,0.006478236777533741,0.006632331598360811,0.00839747731864876,0.0,0.004039817362191107
firewood,0.0,0.023307461477539617,0.01795599315263787,0.0,0.0,0.0,0.0,0.0,0.0,0.0045848282922419424
flame,0.0,0.004067386167822591,0.0026641552959100873,0.0,0.0,0.0,0.0,0.0,0.0,0.0007479490515258531
spiciness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0008474927282230262,0.0006507750270337744,0.0,0.0,0.0,0.0,0.0,0.0,0.0001664741950285334
coal,0.0,0.00026370450596729716,0.00018953417936969454,0.0,0.0,0.0,0.0,0.0,0.0,5.035985392633241e-05
fume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campfire,0.0,0.061764368598009683,0.05274191379890302,0.0,0.0,0.0,0.0,0.0,0.0,0.012722920266323635
vinyl,0.0,0.00026562008596956143,0.00022936170402537812,0.0,0.0,0.0,0.0,0.0,0.0,5.499797666610439e-05
people,0.0,0.001410696324990442,0.001177898492307845,0.0,0.0,0.0,0.0,0.0,0.0,0.0002876216463664763
anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
happiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.0,0.0016586307229833565,0.0012522720385901753,0.0,0.0,0.0,0.0,0.0,0.0,0.00032343364017483684
glass,0.0,0.0,0.0002774963826534908,0.0,0.0,0.0002886437477514971,0.0,0.0,0.0002837694022907109,9.443439252174431e-05
atole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charcoal,0.0,0.0,0.0024125605239277183,0.0,0.002849970770976132,0.002190355004652824,0.0,0.0,0.0,0.0008280984777285194
sandwich,0.0,0.0,0.02588313094307671,0.0,0.0,0.0,0.02873124017426582,0.0,0.0,0.006068263457482504
grill,0.0,0.0,0.026804956398556422,0.0,0.0,0.02447748056805768,0.0,0.0,0.0,0.005698048551846011
kitchen,0.0,0.0,0.04078112523424986,0.0,0.0,0.03891712646517582,0.0,0.0,0.0,0.008855361299936186
pizza,0.0,0.0,0.00668298366449219,0.0,0.0,0.0,0.006698404968480032,0.0,0.0,0.0014868209592191358
igniter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
