,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001704012295146462,0.0,0.0016258199475433057,0.0016903803889434016,0.00035858661654522637
chicken,0.007890725475117431,0.0,0.0,0.0,0.0,0.006230613110716968,0.0,0.0,0.0,0.0,0.007894934544856685,0.0,0.008601354056783856,0.00800965013692939,0.002759091237457452
cob,0.0,0.006882237533628419,0.0,0.0,0.006276430145835161,0.006276430145835161,0.0,0.0,0.0,0.0,0.0059607447941426445,0.0,0.0,0.005830427647070985,0.002230447876179455
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0003580722953547068,0.00023851656834193493,0.0,0.0,0.00033833826877776517,0.00028777503933755566,0.0,0.00036388015176668637,0.0,0.0,0.0002473670522613838,0.0,0.00025337250386730137,0.0002534690700505525,0.0001671993535541348
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.0,0.030330007910564703,0.0,0.02716440449234896,0.0,0.0,0.0,0.0,0.0,0.0,0.02787561234675003,0.0,0.02858007266296468,0.02801151118418165,0.010140114899772146
elderberry,0.0,0.014860869901314251,0.0,0.011211795136934951,0.0,0.0,0.0,0.0,0.0,0.0,0.013755548616242402,0.0,0.0144632224297794,0.029184766118118693,0.005962585871599264
strawberry,0.0,0.027264654933342944,0.0,0.021723821777271068,0.0,0.0,0.0,0.0,0.0,0.0,0.026660556373308886,0.0,0.028590780535980277,0.027793425761996404,0.009430945670135683
lemon,0.0,0.007473288825358039,0.0,0.006610780625360192,0.0,0.0,0.0,0.0,0.0,0.0,0.007115323888073954,0.0,0.0073566165636083005,0.007155511368964013,0.0025508229479546075
