,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fox,0.00097956737264048,0.0,0.0,0.0,0.0010125564844541603,0.0,0.0,0.0007798392589836177,0.0,0.0009452571430454046,0.0,0.0,0.0,0.0,0.0009479143087512293,0.00031100897119165947
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.00716517353745323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006864977761743977,0.0,0.007889406162011845,0.0,0.0,0.006896222627079137,0.0019210520058858792
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant,0.0015212685972054029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001484253434505883,0.0,0.0,0.0,0.0,0.0014866939910741167,0.00029948106818569346
robin,0.0008885246537184184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007889228025551423,0.0,0.0009246919711616278,0.0,0.0,0.0007906433671595381,0.00022618551963964845
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.002954007612810591,0.0,0.0,0.0,0.0,0.0031182162918969567,0.0,0.0,0.0,0.0022953739630212724,0.0,0.0,0.0,0.002150042300923789,0.002274903550294652,0.0008528362479298175
cat,0.0006572246911598363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005384428209366458,0.0,0.0,0.0005208466622279536,0.0,0.0005398339544869454,0.0001504232085874254
slug,0.0008403319398434044,0.0,0.0,0.0,0.0,0.0,0.0005958731624706287,0.0005810356398272186,0.0,0.00048464471073013344,0.0009479502694948803,0.0,0.0,0.0006050281089478486,0.0004877585661538409,0.0003028414931645303
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0006130633742916261,0.0,0.0,0.0,0.0006133366923045954,0.0,0.0,0.0,0.0,0.00046140905360389815,0.0,0.0,0.0,0.0,0.000460451746332894,0.0001432173911022009
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0016657661373788624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011478862323498192,0.0,0.001490138520952034,0.0,0.0,0.0011193053108232735,0.00036153974676693255
crow,0.0016286591898963655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011534069095154454,0.0,0.001314924041714075,0.0,0.0,0.0011763029054022755,0.0003515528697685441
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
