,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fox,0.0008799777399269438,0.0,0.0,0.0,0.0007706155314822644,0.0,0.0,0.0005819997175230395,0.0,0.0006904027641744646,0.0,0.0,0.0,0.0,0.000682989529876022,0.00024039901886551562
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0035002030932935087,0.0,0.0,0.0,0.0,0.0026655045201027113,0.0,0.0,0.0,0.0026444368583380447,0.0,0.0,0.0,0.0,0.0026162695736515274,0.0007617609363590528
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0010148655390512227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008728983036394978,0.0,0.0,0.0,0.0008405051336782418,0.0008551553209954056,0.0002388949531576245
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0023849127702504297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002065094121909442,0.0,0.0,0.0,0.0019931898466435806,0.0020429400344778546,0.0005657424515520871
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.003286123455799181,0.0,0.0,0.0,0.0034059589792916137,0.0026801344297127565,0.0,0.0,0.0,0.0027746168051657966,0.0,0.0,0.002256406686455831,0.0,0.002766565077218832,0.0011446536955762672
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.009195950614374391,0.0,0.0,0.0,0.009200050384568932,0.0,0.0,0.0,0.0,0.007132976414977533,0.0,0.0,0.0,0.0,0.007079230811035328,0.0021738805483304123
chicken,0.001290296917591445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011495899910791522,0.0,0.0014710300909322115,0.0,0.0013929165162534461,0.0011788729767387048,0.000432180432839664
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
