,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fox,0.00028602454202897754,0.0,0.0,0.0,0.0002971138571363196,0.0,0.0,0.00029099985876151975,0.0,0.0002619745749320948,0.0,0.0,0.0,0.0,0.0002650235212554141,9.340909027428838e-05
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0006597358952562056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006624456735144746,0.0,0.0,0.0,0.0006723757150752951,0.0006636595862066756,0.00017721445800351006
rooster,0.001569122913478548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014269526902941177,0.0,0.0014033443655942894,0.0,0.0,0.0014460652089935589,0.00038969901189070085
lobster,0.0031007310841593386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003134414766886899,0.0,0.0,0.0,0.0031889690966024095,0.0031709251048065664,0.0008396693368303476
ant,0.002220981251375539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00205677717146594,0.0,0.0,0.0,0.0,0.0020782937492672205,0.00042373681147391326
robin,0.0002594409167347192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021864708177475554,0.0,0.00021930865111889676,0.0,0.0,0.00022105277585471013,6.12299616988721e-05
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.00431605020854005,0.0,0.0,0.0,0.005449534366866582,0.0037032167394981967,0.0,0.0,0.0,0.003834087603559288,0.0,0.0,0.003610250698329329,0.0,0.003924578390367646,0.001655847867144073
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.002003014271468704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013700067398613601,0.0,0.0,0.0,0.0,0.0013845766063984358,0.00031717317451523334
tiger,0.0035227842129855642,0.0,0.0,0.0,0.004293356846132168,0.0,0.0,0.0,0.0,0.0028748593737881268,0.0,0.0,0.0,0.0,0.0029290378803325493,0.0009080025542158939
chicken,0.0017653102366017824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016547437911689968,0.0,0.001448023447914043,0.0,0.0019951277433654644,0.0017419989832316803,0.0005736802801521311
lark,0.0013674034126603795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010217186028436854,0.0,0.001490138520952034,0.0,0.0,0.0010171649538179867,0.00032642836601827236
crow,0.003119533326729972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002395475800133901,0.0,0.0030681560973328417,0.0,0.0,0.0024942430964869184,0.0007384938880455756
magpie,0.00435309813059086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004279670464825931,0.0,0.0041195016937152435,0.0,0.0,0.0044460970295385,0.0011465578212447023
gorilla,0.0009873109643724312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007473682457887482,0.0,0.0,0.0,0.0,0.0007548824991918046,0.00016597078062353224
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.004385219759202361,0.0,0.0,0.0,0.0054009602776926005,0.0036054614341961893,0.0,0.0,0.0,0.003710779193586297,0.0,0.0,0.0,0.0034319360302308196,0.0037528551104178396,0.0016191474536884072
jade,0.007101273252274116,0.0,0.0,0.0,0.010121541334911704,0.0,0.0,0.0,0.0,0.006208203744962726,0.0,0.0,0.0,0.0,0.006392266601892802,0.001988218995602757
strawberry,0.0,0.004285317962484183,0.0043848063307860285,0.0,0.0,0.0,0.0,0.0,0.0,0.003976809154165634,0.0,0.0,0.0,0.004371069563739771,0.004135843389321662,0.0014102564266998186
fruit,0.0,0.013830761995806209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013481894008924819,0.0,0.0,0.0,0.0,0.013720438298296354,0.002735539620201825
berry,0.0,0.002567671328791644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028452201387657327,0.0,0.0,0.0,0.0028807644608361527,0.002983373063417877,0.000751801932787427
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.0031278023694311166,0.0032222522814622746,0.0,0.0,0.0,0.0,0.0,0.0,0.0031833976620933777,0.0,0.0,0.0,0.0030993227491873925,0.003215335754143205,0.0010565407210878243
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.0,0.004420863726032373,0.0046577138086410005,0.0,0.0,0.0,0.0,0.0048034221970951994,0.0,0.00408427623474639,0.0,0.0,0.0,0.004321508097783845,0.004095462499598935,0.0017588831042598496
lentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.0,0.0019148414069663916,0.001995065685388227,0.0,0.0,0.0,0.0,0.0,0.0,0.0016642171119590965,0.0,0.0,0.0,0.0018669400112576334,0.001670663498486306,0.0006074485142705102
grape,0.0,0.0025101899095193946,0.0026902708911528267,0.0,0.0,0.0,0.0,0.0,0.0,0.0023651288578100936,0.002825109912561975,0.0,0.0,0.0026078073929548767,0.0023693233211229763,0.0010245220190081429
raspberry,0.0,0.0031707097521527366,0.0033554539833630485,0.0,0.0,0.004545111225862687,0.0,0.0,0.0,0.0033635879017857202,0.0,0.0,0.0,0.003446670686301843,0.003430775175203209,0.0014208205816446165
apricot,0.0,0.020911735863332247,0.021029548598332944,0.0,0.0,0.0,0.0,0.0,0.0,0.018577797313815307,0.0,0.0,0.0,0.019731167848563026,0.018332807594336517,0.006572203814558669
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.005832934708429081,0.005673555931938534,0.0,0.0,0.0,0.0,0.0,0.0,0.004733164885038073,0.0,0.0,0.0,0.005493221584204439,0.0048810782327834475,0.001774263689492905
banana,0.0,0.005251197900873676,0.004995664027759593,0.0,0.0,0.0,0.0,0.0,0.0,0.004086863859558921,0.0,0.0,0.0,0.004499815381380177,0.0041635383685500365,0.001533138635874827
raisin,0.0,0.00402874795787587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004295157366956664,0.0,0.0,0.0,0.00375486338447345,0.004402360577988398,0.001098741952486292
peanut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avocado,0.0,0.006624495791253416,0.006222644109139126,0.0,0.0,0.0,0.0,0.0,0.0,0.005587395866687067,0.0,0.0,0.0,0.005953295628620793,0.005751673943326682,0.002009300355935139
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.003187872065526229,0.0031661196824730015,0.0,0.0,0.0,0.0,0.0,0.0,0.002586267877125816,0.0,0.0,0.0,0.0029525028512154944,0.0026615518718398627,0.0009702876232120269
coffee,0.0,0.0011491162363255656,0.0011102069761348716,0.0,0.0,0.0,0.0,0.0010243090047501154,0.0,0.000984383573111658,0.0,0.0,0.0,0.001062705459974735,0.0010161072499212313,0.0004231219000145451
grapefruit,0.0,0.004952850689344198,0.004744126948228418,0.0,0.0,0.0,0.0,0.0,0.0,0.003673386478905015,0.0,0.0,0.0,0.00460666907823897,0.003773819795399317,0.001450056866007728
hazelnut,0.0,0.01285011580436405,0.011829229335773149,0.0,0.0,0.0,0.0,0.0,0.0,0.011835527254017382,0.0,0.0,0.0,0.0,0.012178975495495483,0.0032462565259766705
lime,0.0,0.00416933172980283,0.004171458075887693,0.0,0.0,0.0,0.0,0.004358882197447741,0.0,0.004000759044678098,0.0,0.0,0.0,0.003906907741835577,0.004131607147352701,0.001649263062466976
cabbage,0.0,0.0,0.0016598224104890642,0.002354387257753889,0.0,0.0,0.0016289146951049705,0.0,0.0,0.0014435971948217412,0.0,0.0,0.0,0.0015777082417625715,0.0014787562453010402,0.0006762124030155518
beetroot,0.0,0.0,0.03379865283664309,0.048163482690000536,0.0,0.0,0.0,0.0,0.0,0.03123239780735216,0.0,0.0,0.0,0.03198603738215166,0.03187618084870947,0.011803783437657128
peony,0.0,0.0,0.0057350196931160195,0.0,0.0,0.0,0.0,0.0,0.0,0.0064559918229921635,0.0,0.0,0.0,0.0,0.00649563700115066,0.001245776567817256
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vine,0.0,0.0,0.0020596774323041658,0.0,0.0,0.0,0.0,0.0,0.0,0.0016087555282657477,0.0,0.0,0.0,0.0,0.0015808389602392004,0.0003499514613872743
rhubarb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepper,0.0,0.0,0.0029406036838816245,0.003892154281087754,0.0,0.0,0.0,0.0,0.0,0.0026992390264081573,0.0,0.0,0.0,0.002810030811818598,0.0026780717390075762,0.0010013399694802473
flower,0.0,0.0,0.010977634300202644,0.0,0.0,0.0,0.01288755149600741,0.0,0.0,0.010239138382804163,0.0,0.0,0.0,0.0,0.010238954794971358,0.002956218598265705
carnation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ginger,0.0,0.0,0.0025832662079993485,0.0,0.0,0.0,0.0,0.0,0.0,0.0024395287576049985,0.0,0.0,0.0,0.0025985854600173476,0.002478748244250362,0.0006733419113248038
beet,0.0,0.0,0.006582283128393764,0.006984647857501341,0.0,0.0,0.0,0.0,0.0,0.005315261493735291,0.0,0.0,0.0,0.00590470108668686,0.005269764255454882,0.0020037771881181426
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0012678107844680386,0.001694988959104145,0.0,0.0,0.0,0.0,0.0,0.0010262072104647876,0.0,0.0,0.0,0.0012148444357022725,0.0010267394652398805,0.0004153727236652749
vegetable,0.0,0.0,0.0040115006948351515,0.005048797023974332,0.0,0.0,0.0,0.0,0.0,0.0034507824429162583,0.0,0.0,0.0,0.003787137323878707,0.0034625788095972794,0.0013173864196801151
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pigweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cilantro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0,0.0,0.0021996518567599637,0.0,0.0,0.0,0.0,0.0,0.0,0.0015751769590330658,0.0,0.0,0.0,0.002149289236579778,0.001664481666561107,0.0005059066479289276
cinnamon,0.0,0.0,0.020683067143852228,0.0,0.0,0.0,0.0,0.0,0.0,0.015651304588822093,0.0,0.0,0.0,0.019975407836354302,0.017027589256464377,0.0048891579216995325
artichoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cereal,0.0,0.0,0.0011817961292254686,0.0,0.0,0.0,0.0,0.0,0.0,0.0009952329434771239,0.0,0.0,0.0,0.0011275510161176555,0.001010566073307315,0.0002876764108085042
vanilla,0.0,0.0,0.0026286517095900548,0.0,0.0,0.0,0.0,0.0,0.0,0.002170800286237953,0.0,0.0,0.0,0.0025567481881208407,0.002265310298365177,0.0006414340321542685
wheat,0.0,0.0,0.0018736043651684858,0.0,0.0,0.0,0.0,0.0,0.0,0.0014188318355645687,0.0,0.0,0.0,0.00173259058559915,0.0014589452807449144,0.00043226480447180793
potato,0.0,0.0,0.0016622778672065392,0.0018946566955824016,0.0,0.0,0.0,0.0,0.0,0.001459828532695544,0.0,0.0,0.0,0.0017291444179080545,0.0015358146257546405,0.0005521148092764787
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0,0.0,0.001862252992881816,0.0,0.0,0.0,0.001439281431623861,0.0,0.0,0.0022413929015695955,0.0,0.001457462290346794,0.0004666926410948044
wand,0.0,0.0,0.0,0.0,0.0,0.00305709422365219,0.0,0.0,0.0,0.0024985332888723725,0.0,0.0,0.0,0.0,0.0026465520899082336,0.0005468119734955197
tongue,0.0,0.0,0.0,0.0,0.0,0.001302130423880943,0.0,0.0,0.0,0.0010887489526684034,0.0,0.0,0.0,0.0010660994677846687,0.0011022896327282498,0.00030395123180415097
glass,0.0,0.0,0.0,0.0,0.0,0.0,0.029530575997772323,0.0,0.0,0.019625506854659885,0.0,0.0,0.0,0.0,0.020072072964661743,0.004615210387806264
pot,0.0,0.0,0.0,0.0,0.0,0.0,0.005696272849559031,0.005321555256110804,0.0,0.004232420950488039,0.0,0.0,0.0,0.0,0.0042848956371678475,0.0013023429795550481
barn,0.0,0.0,0.0,0.0,0.0,0.0,0.0005372688343199853,0.0,0.0,0.0004042942373564641,0.0,0.0,0.0,0.0,0.0004071060471915915,8.991127459120272e-05
hair,0.0,0.0,0.0,0.0,0.0,0.0,0.029549060371959913,0.0,0.0,0.022501556856916783,0.0,0.0,0.0,0.0,0.02266638253037982,0.004981133317283767
night,0.0,0.0,0.0,0.0,0.0,0.0,0.0016105225643956746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017422162764775045,0.00022351592272487863
juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005358689218250015,0.0,0.0,0.0,0.0,0.0,0.005771012720204284,0.005072222907851668,0.0010801283230870646
spice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035661357462301083,0.0,0.0,0.0,0.0,0.0,0.0035092732080531444,0.003661931888546899,0.0007158227228553435
bloodstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006887371236449761,0.0,0.0006317790823958675,0.0,0.0,0.0,0.0006122941657034036,0.0006340249977404966,0.00017112235796564956
couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002257770437402598,0.0,0.001969982526650775,0.0,0.0,0.0,0.0,0.0020402213299476014,0.0004178649529333983
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026500884625670365,0.0,0.022169595886844556,0.0,0.0,0.0,0.0,0.02240411177460209,0.004738306152474467
wine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854425247348932,0.0,0.0,0.0,0.0,0.0,0.008063488333292864,0.00756478009634706,0.0016115013935419497
ink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03312369137962779,0.0,0.0,0.0,0.0,0.0,0.0,0.028661256953521817,0.004118996555543307
ruby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007120614575264739,0.0,0.006050910600798282,0.0,0.0,0.0,0.0,0.006149196367599218,0.001288048102910816
vinegar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018999726704021246,0.0,0.0,0.0,0.0,0.0,0.002009234870947157,0.0017580577476491287,0.0003778176859332274
chocolate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011666068192587193,0.0,0.0,0.0,0.0,0.0,0.012891180618488362,0.011974715660591054,0.0024354642981111074
water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002890829485251695,0.0,0.002750759918483481,0.0,0.0,0.0,0.0027105060473941152,0.0028160489931827854,0.0007445429629541385
milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001128864002302395,0.0,0.0,0.0,0.0,0.0,0.0012678242617971502,0.0011945575924068642,0.00023941639043376063
anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
