,animal,fruit,bird,all,relation,round,object,food,plant,measure,mean
world,0.0,0.0,0.0,0.0005567110586305778,0.0,0.0,0.0005654700006775295,0.0,0.0,0.0,0.00011221810593081073
pen,0.0015508248006828008,0.0,0.0015508248006828008,0.0016051529299505641,0.0,0.0,0.0016641091865614672,0.0,0.0,0.0,0.0006370911717877633
chicken,0.00034831777363859156,0.0,0.00033503588441285997,0.0004295413638657052,0.0,0.0,0.0003936109846813141,0.0005012785265161754,0.0,0.0,0.0002007784533114646
lemon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit,0.0,0.0021491794726761384,0.0,0.0021335816933996353,0.0,0.0,0.002085926844783024,0.0,0.0,0.0,0.0006368688010858798
berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gourd,0.0,0.003479642018090951,0.0,0.003559413222163805,0.0,0.0,0.00336468494330669,0.0,0.003414859042259253,0.0,0.0013818599225820698
pecan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.00032479297880937683,0.0,0.0003260169780114367,0.0,0.0,0.0003273892774630214,0.000352350450372747,0.0003501989634787861,0.0,0.00016807486481353677
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.0,0.0015216558943604592,0.0,0.0014214063034100174,0.0016872619649754123,0.0,0.0014582485334146654,0.001433091643474635,0.001533926906002467,0.0,0.0009055591245637656
orange,0.0,0.001742995360878646,0.0,0.0018035691233738121,0.0022713945507545855,0.0,0.0017969625584951122,0.0019198330200262293,0.0018120788153705414,0.0,0.0011346833428898927
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.0,0.002334338132825874,0.0,0.0022991683847356946,0.0,0.0,0.002181738712570568,0.0026539103980976757,0.0022503439114733934,0.0,0.0011719499539703205
coconut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nutlet,0.0,0.11145257558659728,0.0,0.1264863357059278,0.0,0.0,0.1183763138839684,0.0,0.0,0.0,0.03563152251764935
sapodilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0033502639725549073,0.0,0.0028058309270659987,0.0,0.0,0.0028355602303311283,0.0,0.0,0.002765195183148391,0.0011756850313100425
bean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.0026233760808387022,0.0,0.002149156788906556,0.0,0.0,0.0021858639211331417,0.0,0.0024760818537852437,0.0,0.0009434478644663643
bucket,0.0,0.0,0.0,0.0013059371284000823,0.0,0.0,0.0013474420651221897,0.0,0.0,0.0014005712761831432,0.0004053950469705415
egg,0.0,0.0,0.0,0.0008568540081279037,0.0,0.0,0.0008206735352911092,0.0009859662377421845,0.0,0.0,0.0002663493781161198
disk,0.0,0.0,0.0,0.014139802419187114,0.0,0.0,0.014624959660623056,0.0,0.0,0.0,0.002876476207981017
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0,0.001505218106268943,0.0,0.0,0.0013773474194306308,0.0017043037180775671,0.0013104986662009798,0.0013992756381613915,0.0007296643548139513
marble,0.0,0.0,0.0,0.010058587540837766,0.013665674558358884,0.0,0.010386814387246344,0.0,0.0,0.0,0.0034111076486442993
banjo,0.0,0.0,0.0,0.0007590075195983962,0.0,0.0,0.0007885147086280889,0.0,0.0,0.0,0.0001547522228226485
pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastry,0.0,0.0,0.0,0.0023083668040560865,0.0,0.0,0.0,0.0025620469780050234,0.0,0.0,0.000487041378206111
button,0.0,0.0,0.0,0.003798837726510799,0.0,0.0,0.0038861777208870902,0.0,0.0,0.0,0.000768501544739789
pie,0.0,0.0,0.0,0.002461501957622921,0.0,0.0,0.0,0.0027778834328432366,0.0,0.0,0.0005239385390466158
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,0.0,0.0,0.0,0.0008180448419223182,0.0,0.0,0.0008523090456161054,0.0,0.0008370957532604782,0.0008015954052775344,0.0003309045046076436
tray,0.0,0.0,0.0,0.03407856005673374,0.0,0.0,0.035011642197826404,0.0,0.0,0.0,0.006909020225456014
pasta,0.0,0.0,0.0,0.004560875107552588,0.0,0.0,0.0,0.005775382395221653,0.0,0.0,0.001033625750277424
pumpkin,0.0,0.0,0.0,0.0021186921298376464,0.0,0.0,0.002092514335137039,0.002221695020841372,0.0020240751031579203,0.0,0.0008456976588973979
barrel,0.0,0.0,0.0,0.006164985594044203,0.0,0.0,0.006340978730390645,0.0,0.0,0.006534725988003759,0.0019040690312438608
chocolate,0.0,0.0,0.0,0.0009928158110410299,0.0011405710435201941,0.0,0.0,0.001133904834529544,0.0,0.0,0.0003267291689090768
table,0.0,0.0,0.0,0.004103651472391039,0.0,0.0,0.004217980086837847,0.004222163592945288,0.0,0.0,0.0012543795152174175
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0,0.0,0.0,0.0019692480196218786,0.0,0.0,0.0017202739112472927,0.0023712601782917937,0.0017363131442272406,0.0,0.0007797095253388205
pancake,0.0,0.0,0.0,0.004202683077622819,0.0,0.0,0.0,0.004752225842513734,0.0,0.0,0.0008954908920136553
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marzipan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omelette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basketball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheeseburger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
globe,0.0,0.0,0.0,0.0005442001777779021,0.0,0.0,0.0005804136231035642,0.0,0.0,0.0,0.00011246138008814662
doughnut,0.0,0.0,0.0,0.005364521008471661,0.0,0.0,0.0,0.006226769298596547,0.0,0.0,0.0011591290307068208
cookie,0.0,0.0,0.0,0.0013714800441480374,0.0,0.0,0.0012326982098865703,0.0015753355436507641,0.0,0.0,0.0004179513797685372
candle,0.0,0.0,0.0,0.001408558952179333,0.0,0.0,0.001412906133248863,0.0,0.0,0.0014417478231171584,0.0004263212908545354
dough,0.0,0.0,0.0,0.004689394839375704,0.0,0.0,0.0,0.00548929493951595,0.0,0.0035489365647062513,0.0013727626343597904
bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dessert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.00823533004824569,0.0,0.0,0.008615221352436968,0.0,0.0,0.0,0.001685055140068266
pudding,0.0,0.0,0.0,0.0018273545584612028,0.0,0.0,0.0,0.002102497841810595,0.0,0.0,0.00039298524002717976
patty,0.0,0.0,0.0,0.0008961135325258907,0.0,0.0,0.0,0.0010620292343251866,0.0,0.0,0.00019581427668510773
shape,0.0,0.0,0.0,0.15620474270153933,0.0,0.0,0.16036992596779895,0.0,0.0,0.0,0.031657466866933826
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegetable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frisbee,0.0,0.0,0.0,0.0015277844306947645,0.0,0.002143087885791478,0.0,0.0,0.0,0.0,0.00036708723164862426
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can,0.0,0.0,0.0,0.003747589729920512,0.0,0.0,0.003767750634635872,0.0,0.0,0.003636131716631918,0.0011151472081188303
circle,0.0,0.0,0.0,0.018969995153070338,0.024553015324847348,0.0,0.019200789153928522,0.0,0.0,0.0,0.006272379963184621
onion,0.0,0.0,0.0,0.0011310974116257055,0.0,0.0,0.0009857049982887884,0.0013701121604966073,0.0009766836539238058,0.0,0.0004463598224334907
sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,0.0,0.0,0.0,0.0004833581151053129,0.0,0.0,0.0004154535957708138,0.0006201937413564824,0.0,0.0,0.0001519005452232609
sphere,0.0,0.0,0.0,0.006954051829629921,0.0,0.0,0.007062779643941928,0.0,0.0,0.0,0.001401683147357185
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.0,0.0,0.0,0.009824824085948437,0.0,0.0,0.0,0.011875177054592744,0.0,0.0,0.0021700001140541178
cds,0.0,0.0,0.0,0.002961413244647651,0.0,0.0038606774410745418,0.0,0.0,0.0,0.0,0.0006822090685722193
disc,0.0,0.0,0.0,0.0067162946914119505,0.0,0.0,0.006934987271308789,0.0,0.0,0.0,0.0013651281962720739
bowl,0.0,0.0,0.0,0.0023304242639342163,0.0,0.0,0.0024370023698075103,0.0,0.0,0.002382765795726061,0.0007150192429467787
matzah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.0,0.0,0.0,0.006750155233222639,0.0,0.0,0.006327192793086819,0.007592279344781308,0.0,0.0,0.0020669627371090763
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spoon,0.0,0.0,0.0,0.007579708407370197,0.0,0.0,0.0074428515975099845,0.0,0.0,0.007785523448651797,0.0022808083453531975
mozzarella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0,0.0,0.0,0.0006502405548837766,0.0,0.0,0.0005731931421625913,0.000785060363656,0.0005428681908963642,0.0,0.0002551362251598732
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
