,animal,fruit,vegetable,plant,tool,mammal,no-cat,measure,relation,object,bird,communication,food,all,mean
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,8.834200416426468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.575084263855821e-05,0.0,0.0,8.517442950078111e-05,8.735770838469431e-05,2.4758927477735593e-05
sorrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.004755226315048709,0.0022726797774443724,0.0,0.0,0.004918922047705601,0.004755226315048709,0.0030192597370433867,0.0034622457348879084,0.002820430775309834,0.002270902588605792,0.0,0.0,0.002266128311738786,0.002302101118336124,0.0023459373372263733
crab,0.06700139766374648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03603693408516935,0.0,0.0,0.03562573758839156,0.03667788723096385,0.012524425469162232
lobster,0.00222279882989185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115682794002726,0.0,0.0,0.0011417086580559426,0.0011881911946966547,0.00040782333019083624
chicken,0.004408210633101816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028333813295282188,0.004408210633101816,0.0,0.003007071442869763,0.0030315423694224097,0.0012634583148588587
oyster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.023236029538892058,0.0,0.021519792849254867,0.0,0.0,0.0,0.0,0.0,0.023195653705418907,0.0,0.0,0.0,0.02274037857947686,0.0064779896195030495
pea,0.0,0.0004952281467643558,0.0005765666690138912,0.00048707655468238105,0.0,0.0,0.0,0.0,0.0,0.00048438690317826737,0.0,0.0,0.000497659304728792,0.00047464908801734065,0.00021539761902750199
strawberry,0.0,0.032453261064455334,0.0,0.03439121130233516,0.0,0.0,0.0,0.0,0.0,0.035142251646000496,0.0,0.0,0.03620038086657671,0.03423102295658474,0.01231558055971089
breadfruit,0.0,0.006976046632592275,0.0,0.007197421500235192,0.0,0.0,0.0,0.0,0.0,0.009701120599877391,0.0,0.0,0.008970589278031115,0.00994347605094902,0.0030563324329774995
plum,0.0,0.07276161111824272,0.0,0.07607567672732043,0.0,0.0,0.0,0.0,0.0,0.07701270072708556,0.0,0.0,0.07799695984836481,0.0753604068053215,0.027086239659023927
banana,0.0,0.03646494416233316,0.0,0.038055802208420544,0.0,0.0,0.0,0.0,0.0,0.03826936636382982,0.0,0.0,0.0392733546742421,0.037804304375020914,0.013561983698846184
fruit,0.0,0.024907928318551036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025781022101168432,0.0,0.0,0.0,0.02537316601065824,0.005433008316455551
tamarind,0.0,0.009692941392653262,0.0,0.010467655643661916,0.0,0.0,0.0,0.0,0.0,0.010837692070667516,0.0,0.0,0.011241138839419037,0.010694975954375725,0.0037810288500555326
berry,0.0,0.004815575271306262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004862696923067397,0.0,0.0,0.004877896801091814,0.0048975281163865505,0.001389549793703716
currant,0.0,0.013639171846038257,0.0,0.014371205261719679,0.0,0.0,0.0,0.0,0.0,0.013518563525231158,0.0,0.0,0.013950613133208506,0.013227101930653833,0.0049076182640608165
raisin,0.0,0.010334865861667021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01035813271919438,0.0,0.0,0.010648362357987013,0.010305536078694123,0.002974778358395896
dewberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.0,0.001984252397483234,0.0,0.0,0.0,0.0,0.0,0.002396143822418988,0.0,0.002025936043638271,0.0,0.0,0.002067850298777455,0.002021477505485367,0.0007496900048430939
lychee,0.0,0.02291079942867957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030954095600426827,0.0,0.0,0.02372547885473477,0.030443368953834496,0.007716695916976832
peanut,0.0,0.0016128682006619247,0.0,0.0018562761162848774,0.0,0.0,0.0,0.0,0.0,0.00178991386456385,0.0,0.0,0.0,0.0017730715070928555,0.0005022949777573934
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.07919183237898589,0.0,0.08447663217555308,0.0,0.0,0.0,0.0,0.0,0.08297625679564175,0.0,0.0,0.08560351878683178,0.08154955899628674,0.029556985652378517
litchi,0.0,0.02952665220543786,0.0,0.031182021477696834,0.0,0.0,0.0,0.0,0.0,0.03094621377693358,0.0,0.0,0.031351171986980945,0.03213664482065116,0.01108162173340717
apple,0.0,0.3095264381631602,0.0,0.27839559208469095,0.0,0.0,0.0,0.0,0.0,0.30008205637977076,0.0,0.0,0.29995031315300075,0.2992833668302497,0.10623126904363375
watermelon,0.0,0.08170254209673586,0.0,0.09135832717780248,0.0,0.0,0.0,0.0,0.0,0.09054824537338416,0.0,0.0,0.09398486183065292,0.08918664200258083,0.031912901320082586
cherry,0.0,0.04671884350336497,0.0,0.04569275721915339,0.0,0.0,0.0,0.0,0.05076829250363019,0.046621836375999454,0.0,0.0,0.04666179955819801,0.04549243563764206,0.020139711771284863
