,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.042536198225462035,0.0,0.0,0.0,0.0,0.0,0.0,0.03462160225733214,0.0,0.04616727543974058,0.0,0.0,0.0,0.0,0.04704725480755003,0.04619953056102881,0.0,0.012739521252418447
prawn,0.02577830824034773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026204917199212585,0.0,0.0,0.0,0.0,0.034727502015914645,0.026243266567836945,0.0,0.006644352589606582
bass,0.0006850470131310901,0.0,0.0,0.0,0.0,0.0,0.0006436866959073171,0.0,0.0,0.0007620723393000714,0.0,0.0,0.0,0.0,0.0007548836635672129,0.0007613453773011546,0.0,0.00021217853465922628
lobster,0.031051628440923254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030561408691454503,0.0,0.0,0.0,0.0,0.040763496033461286,0.030598215611202562,0.0,0.00782204404570833
chicken,0.10321176725518773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10075030522724147,0.0,0.10786747492092918,0.0,0.0,0.13203623412354396,0.10082911830557331,0.0,0.032040876460733864
shrimp,0.02952618564868793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029191508657021314,0.0,0.0,0.0,0.0,0.0407188237057346,0.02922929971783362,0.0,0.007568577513486909
beef,0.05494716688924029,0.0,0.0,0.0,0.0,0.052335593657273284,0.0,0.0,0.0,0.05664517915552124,0.0,0.0,0.0,0.0,0.07104126311580258,0.05670892800131468,0.0,0.017157537107008944
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drill,0.0004317428615247642,0.0006287767962395966,0.0,0.0,0.0,0.0005892947918288926,0.0,0.0,0.0,0.0003805121230263446,0.0,0.0,0.0,0.0,0.0,0.0003433946270300736,0.0,0.00013963065880292185
