,no-cat,measure,relation,object,warm,communication,food,all,mean
skirt,0.04310597898420224,0.0,0.0,0.04362111705245687,0.0,0.0,0.0,0.042564250106674965,0.01616141826791676
tea,0.0019397632605464422,0.0,0.002851444950034197,0.0019136490507637718,0.0,0.0,0.0026027010820822757,0.002042679578731184,0.0014187797402697338
head,0.0020594098491813523,0.001808250348460906,0.0021441015771234803,0.001553735667106665,0.0,0.0020899272606991425,0.0,0.0016715836620033954,0.0014158760455718676
dragon,0.001423938998350062,0.0,0.0,0.0011386662324686862,0.0,0.0,0.0,0.0011939417130988647,0.0004695683679897016
coffee,0.002052735178122812,0.0,0.0026345956360558204,0.0017623509105571865,0.0,0.0,0.0023538729233980914,0.001868322197121567,0.0013339846056569346
sword,0.002472169522261391,0.0,0.0,0.0018517934142150718,0.0,0.0,0.0,0.0019383812459422473,0.0007827930228023387
glass,0.0,0.0011836073629568095,0.0,0.0009158130046837708,0.0,0.0,0.0,0.0009135237592582923,0.00037661801586235907
heat,0.0,0.003840339439058019,0.0,0.0030885298436281418,0.0,0.0,0.0,0.0031700409061077507,0.001262363773599239
kettle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,0.0,0.001534290128650917,0.0,0.001222712959439794,0.0,0.0,0.0,0.0012702786524013006,0.0005034102175615015
nose,0.0,0.0033606637749752652,0.0,0.0028946965743821755,0.0,0.003404222667648575,0.0,0.003005410273774177,0.001583124161347524
drink,0.0,0.004060031811113028,0.004903355275383429,0.0,0.0,0.0,0.004624876556755516,0.003640768616201047,0.0021536290324316275
mug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
winter,0.0,0.007717304220491346,0.0,0.0,0.0,0.0,0.0,0.006534236967847354,0.0017814426485423375
atmosphere,0.0,0.0004347281970123484,0.0,0.00034692243712093504,0.0,0.0,0.0,0.0003674660209215277,0.0001436395818818514
space,0.0,0.0019416638497844385,0.0,0.0015375452458492491,0.0,0.0020552591373932073,0.0,0.0015951555262894979,0.0008912029699145492
bag,0.0,0.007731293375347397,0.0,0.0057216147444400555,0.0,0.0,0.0,0.005852475481659039,0.0024131729501808115
moon,0.0,0.0007239465354055444,0.0,0.0004939700630098054,0.0,0.0,0.0,0.0005158864653244006,0.0002167253829674688
can,0.0,0.004084301313244136,0.0,0.003053308590017768,0.0,0.0031440283838879684,0.0,0.0031247371146353193,0.001675796925223149
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linen,0.0,0.0,0.040581479368523514,0.0337052694103265,0.0,0.0,0.0,0.03430489216082985,0.013573955117459983
soup,0.0,0.0,0.0021799084414853556,0.0,0.0,0.0,0.0019820391517426823,0.001459425119958382,0.0007026715891483025
juice,0.0,0.0,0.0013672380707002293,0.0,0.0,0.0,0.001240954152305144,0.0008237272255771822,0.00042898993107281944
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.0008195790924943956,0.0,0.0,0.0,0.0,0.0006210069140029455,0.00018007325081216763
sealskin,0.0,0.0,0.14433145469696146,0.15856740344659961,0.0,0.0,0.0,0.16292446499372656,0.05822791539216096
smoke,0.0,0.0,0.003484623029596665,0.0,0.0,0.003397458311844532,0.0,0.0027348596033822123,0.001202117618102926
water,0.0,0.0,0.0034060159328499233,0.002497985441929748,0.0,0.0,0.003153911003425459,0.0026095746741618205,0.0014584358815458688
leather,0.0,0.0,0.051210963650117715,0.0,0.0,0.0,0.0,0.04521197415645176,0.012052867225821185
deerskin,0.0,0.0,0.16293498958222058,0.0,0.0,0.0,0.0,0.16975020986398914,0.041585649930776215
sheepskin,0.0,0.0,0.03165538863799739,0.0,0.0,0.030882709855951977,0.0,0.034713840323448646,0.012156492352174753
wool,0.0,0.0,0.04625473605760318,0.035061309403919196,0.0,0.0,0.0,0.03587008105242621,0.014648265814243572
jacket,0.0,0.0,0.019828972980126296,0.019215729800818655,0.0,0.0,0.0,0.019129293087501203,0.007271749483555769
lava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.0,0.0,0.013156412708749812,0.009820764531126432,0.0,0.0,0.0,0.009954962431780302,0.004116517458957069
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0,0.0,0.0009972648824582366,0.0,0.0,0.0,0.0012154446991716299,0.0007745727069611444,0.00037341028607387636
greatcoat,0.0,0.0,0.0,0.04457171732332598,0.0,0.0,0.0,0.04657142287456638,0.011392892524736544
boot,0.0,0.0,0.0,0.004657491382961012,0.0,0.0,0.0,0.004728212769398572,0.001173213019044948
corset,0.0,0.0,0.0,0.028241791060886413,0.0,0.0,0.0,0.028693679582898667,0.007116933830473135
shawl,0.0,0.0,0.0,0.029933016671992177,0.0,0.0,0.0,0.0333898117351614,0.007915353550894198
sun,0.0,0.0,0.0,0.0015777557441013785,0.0,0.0,0.0,0.0015836431234895957,0.00039517485844887176
toilet,0.0,0.0,0.0,0.0015060353051486405,0.0,0.0,0.0,0.001579567242145815,0.0003857003184118069
clothing,0.0,0.0,0.0,0.1764817207432422,0.0,0.0,0.0,0.18123261416254335,0.04471429186322319
bodice,0.0,0.0,0.0,0.020041997903413343,0.0,0.0,0.0,0.019635584034882095,0.00495969774228693
dad,0.0,0.0,0.0,0.0007707701812179103,0.0,0.0,0.0,0.0008230944836121944,0.00019923308310376307
underwear,0.0,0.0,0.0,0.13067579420832387,0.0,0.0,0.0,0.1334137178265871,0.03301118900436387
pyjama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cape,0.0,0.0,0.0,0.00039288302016446923,0.0,0.0,0.0,0.0004019467343548401,9.935371931491367e-05
gown,0.0,0.0,0.0,0.009825572883464343,0.0,0.0,0.0,0.009935080285216353,0.002470081646085087
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footwear,0.0,0.0,0.0,0.332951775681599,0.0,0.0,0.0,0.33519525919769366,0.08351837935991158
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sock,0.0,0.0,0.0,0.0048542057761252685,0.0,0.006315804872380114,0.0,0.005107782998882511,0.0020347242059234865
parka,0.0,0.0,0.0,0.006051968947123649,0.0,0.0,0.0,0.006018646778054234,0.0015088269656472354
necktie,0.0,0.0,0.0,0.03163082371975169,0.0,0.0,0.0,0.031823928039341,0.007931843969886585
mask,0.0,0.0,0.0,0.011229111190198341,0.0,0.0,0.0,0.011529075345507641,0.002844773316963248
uniform,0.0,0.0,0.0,0.021128620699771058,0.0,0.0,0.0,0.021282590208782502,0.005301401363569195
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kimono,0.0,0.0,0.0,0.05613586835648024,0.0,0.0,0.0,0.053781356340737434,0.01373965308715221
jumpsuit,0.0,0.0,0.0,0.010907484702759101,0.0,0.0,0.0,0.0112540182133394,0.0027701878645123128
headdress,0.0,0.0,0.0,0.014842808071153108,0.0,0.0,0.0,0.01468664264678306,0.003691181339742021
comforter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dress,0.0,0.0,0.0,0.06057994488307497,0.0,0.0,0.0,0.06166530634363639,0.015280656403338921
denim,0.0,0.0,0.0,0.06687301022300343,0.0,0.0,0.0,0.06320306040376263,0.01625950882834576
toe,0.0,0.0,0.0,0.0018503722535423218,0.0,0.0,0.0,0.0018383608493020374,0.0004610916378555449
tunic,0.0,0.0,0.0,0.041285707163340984,0.0,0.0,0.0,0.04114153189952545,0.010303404882858304
coat,0.0,0.0,0.0,0.0014941622801777025,0.0,0.0,0.0,0.001471417235220262,0.0003706974394247455
wig,0.0,0.0,0.0,0.03291930467939733,0.0,0.03737831539706908,0.0,0.03394070495473386,0.013029790628900036
bathrobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0,0.0,0.0,0.003872974644750916,0.0,0.0,0.0,0.0038887393056802524,0.000970214243803896
waistcoat,0.0,0.0,0.0,0.005456954547917855,0.0,0.0,0.0,0.005363127974657974,0.0013525103153219785
turtleneck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garment,0.0,0.0,0.0,0.09229451099480562,0.0,0.0,0.0,0.09451263053064547,0.023350892690681385
jungle,0.0,0.0,0.0,0.001787586811806983,0.0,0.0,0.0,0.0018504995210371282,0.0004547607916055139
blanket,0.0,0.0,0.0,0.003538579705047811,0.0,0.0,0.0,0.0035473895459193715,0.0008857461563708978
blouse,0.0,0.0,0.0,0.014609934658849615,0.0,0.0,0.0,0.013781220712278735,0.003548894421391044
robe,0.0,0.0,0.0,0.02986018124545354,0.0,0.0,0.0,0.03023687104028958,0.00751213153571789
sweater,0.0,0.0,0.0,0.017333679319692524,0.0,0.0,0.0,0.017565018871455097,0.004362337273893452
vest,0.0,0.0,0.0,0.02030979968603396,0.0,0.0,0.0,0.021205050009025218,0.005189356211882397
helmet,0.0,0.0,0.0,0.010938317839463122,0.0,0.0,0.0,0.011022654157372684,0.0027451214996044755
outfit,0.0,0.0,0.0,0.023761730330891007,0.0,0.0,0.0,0.02445776236592392,0.006027436587101866
nightgown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taffeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stove,0.0,0.0,0.0,0.0030039153123590408,0.0,0.0,0.0,0.003139666363893698,0.0007679477095315923
flannel,0.0,0.0,0.0,0.012438972131024158,0.0,0.0,0.0,0.013314165928121775,0.0032191422573932416
poncho,0.0,0.0,0.0,0.017945971592317974,0.0,0.0,0.0,0.01656069988737192,0.004313333934961237
waist,0.0,0.0,0.0,0.016779676797331007,0.0,0.0,0.0,0.016662903224293594,0.0041803225027030756
turban,0.0,0.0,0.0,0.0117936798145623,0.0,0.0,0.0,0.011495906396472397,0.002911198276379337
chiffon,0.0,0.0,0.0,0.0282325472070995,0.0,0.0,0.0,0.028397512346835383,0.00707875744424186
undergarment,0.0,0.0,0.0,0.04024834103304331,0.0,0.0,0.0,0.04025803383331365,0.01006329685829462
jean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
towel,0.0,0.0,0.0,0.008974035037944323,0.0,0.0,0.0,0.009232472686366455,0.0022758134655388473
sandal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slipper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.039122531481120625,0.0,0.0,0.0,0.03973081360358387,0.00985666813558806
pullover,0.0,0.0,0.0,0.036848130108291174,0.0,0.0,0.0,0.04352127362257606,0.010046175466358404
leotard,0.0,0.0,0.0,0.033413309727667984,0.0,0.0,0.0,0.033300907769782735,0.008339277187181339
cloak,0.0,0.0,0.0,0.014292167647513619,0.0,0.0,0.0,0.013984037718162869,0.003534525670709561
salwar,0.0,0.0,0.0,0.005002435936497897,0.0,0.0,0.0,0.004801116407990669,0.0012254440430610708
cassock,0.0,0.0,0.0,0.008062027314533487,0.0,0.0,0.0,0.008066765344291153,0.00201609908235308
bed,0.0,0.0,0.0,0.004764517694744535,0.0,0.0,0.0,0.0050400452226995966,0.0012255703646805163
cheesecloth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bootie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloth,0.0,0.0,0.0,0.04459779729135262,0.0,0.0,0.0,0.044892904747690164,0.011186337754880347
mitten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overcoat,0.0,0.0,0.0,0.018614400448600653,0.0,0.0,0.0,0.017822753731086934,0.004554644272460948
scarf,0.0,0.0,0.0,0.04607152512190508,0.0,0.0,0.0,0.04552599431151208,0.011449689929177144
fireplace,0.0,0.0,0.0,0.0022920927036539514,0.0,0.0,0.0,0.002321908186250236,0.0005767501112380234
loincloth,0.0,0.0,0.0,0.04885502068861743,0.0,0.0,0.0,0.04870820291428368,0.01219540295036264
tile,0.0,0.0,0.0,0.0017913739186842797,0.0,0.0,0.0,0.0018284962018966554,0.00045248376507261686
hat,0.0,0.0,0.0,0.016071011175833705,0.0,0.0,0.0,0.01655342847112508,0.004078054955869848
frock,0.0,0.0,0.0,0.007909850446529497,0.0,0.0,0.0,0.007684080387409049,0.0019492413542423182
cake,0.0,0.0,0.0,0.0010285475923088136,0.0,0.0,0.0014717118521373536,0.0011217780590790142,0.0004527546879406477
costume,0.0,0.0,0.0,0.025819741149685802,0.0,0.0,0.0,0.026219310269897437,0.006504881427447905
sleeve,0.0,0.0,0.0,0.0037255223303720953,0.0,0.0,0.0,0.003766962410054577,0.000936560592553334
basement,0.0,0.0,0.0,0.0013777142580018045,0.0,0.0,0.0,0.0014016935548918068,0.0003474259766117014
topcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shalwar,0.0,0.0,0.0,0.009291087404012887,0.0,0.0,0.0,0.008544194157929395,0.0022294101952427853
attire,0.0,0.0,0.0,0.0978725167043536,0.0,0.0,0.0,0.09867420310455213,0.024568339976113216
trouser,0.0,0.0,0.0,0.012981102569318762,0.0,0.0,0.0,0.0135925575262901,0.0033217075119511075
heating,0.0,0.0,0.0,0.0015261311385811795,0.0,0.0,0.0,0.0016089960786650455,0.00039189090215577813
bathtub,0.0,0.0,0.0,0.00466610611762589,0.0,0.0,0.0,0.004956678157039888,0.0012028480343332223
undershirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brogue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outerwear,0.0,0.0,0.0,0.15163044201305123,0.0,0.0,0.0,0.1525177440119069,0.03801852325311977
headgear,0.0,0.0,0.0,0.028325460232861192,0.0,0.0,0.0,0.028153733280431064,0.007059899189161532
garter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telephone,0.0,0.0,0.0,0.0005062228117695129,0.0,0.0,0.0,0.0005252328274918664,0.0001289319549076724
shoelace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mortarboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
necklace,0.0,0.0,0.0,0.004097830096636715,0.0,0.0,0.0,0.00417186759917529,0.0010337122119765006
cincture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anklet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handkerchief,0.0,0.0,0.0,0.02965944419407334,0.0,0.0,0.0,0.030082124862848936,0.007467696132115285
miniskirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuff,0.0,0.0,0.0,0.0003903892322514461,0.0,0.0,0.0,0.00039858635002646575,9.862194778473897e-05
fridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandana,0.0,0.0,0.0,0.028995924708977543,0.0,0.0,0.0,0.028545965202754032,0.007192736238966447
ice,0.0,0.0,0.0,0.0002098789028355348,0.0,0.0,0.0002896127856377039,0.00021714671548006437,8.957980049416289e-05
surfboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strap,0.0,0.0,0.0,0.005249784018307311,0.0,0.0,0.0,0.005256415024004897,0.001313274880289026
forest,0.0,0.0,0.0,0.00030723482159814453,0.0,0.0,0.0,0.00031946247420596606,7.833716197551383e-05
cummerbund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikini,0.0,0.0,0.0,0.00450982181876721,0.0,0.0,0.0,0.004493853659070785,0.0011254594347297493
earring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collar,0.0,0.0,0.0,0.009299843126595186,0.0,0.0,0.0,0.009350543077659172,0.0023312982755317947
lace,0.0,0.0,0.0,0.0059729356140251315,0.0,0.0,0.0,0.006146285212669594,0.0015149026033368408
sporran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grosgrain,0.0,0.0,0.0,0.020992378876860184,0.0,0.0,0.0,0.020848133275094844,0.0052300640189943785
vinyl,0.0,0.0,0.0,0.0,0.0020742144009794224,0.0,0.0,0.0017305535734523302,0.0004755959968039691
people,0.0,0.0,0.0,0.0,0.003008660121244989,0.0,0.0,0.002719559349740741,0.0007160274338732163
flame,0.0,0.0,0.0,0.0,0.0015429201679216312,0.0,0.0,0.0010771221593314072,0.0003275052909066298
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184125050201216,2.3015631275152e-05
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.0,0.0,0.0,0.0,0.001245687083259358,0.0,0.0,0.0010034461843220397,0.0002811416584476747
problem,0.0,0.0,0.0,0.0,0.0,0.00042468788377573384,0.0,0.00034593548284417075,9.632792082748807e-05
idea,0.0,0.0,0.0,0.0,0.0,0.001997351626939786,0.0,0.001979529140362684,0.0004971100959128088
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,0.0,0.0,0.0,0.0,0.0,0.0,0.01078122775818608,0.008097337131116144,0.002359820611162778
