,warm,no-cat,all,communication,relation,object,food,measure,mean
vinyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.0,0.000125331429854425,0.0,0.0,0.0,0.0,0.0,1.5666428731803123e-05
flame,0.0007714600839608156,0.0,0.0007197711185679869,0.0,0.0,0.0,0.0,0.0,0.00018640390031610031
river,0.0,0.0,0.0002460777400067211,0.0,0.0,0.0,0.0,0.0,3.0759717500840136e-05
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.0,0.0,0.0024431530654297467,0.0,0.0,0.0,0.0,0.0,0.00030539413317871834
skirt,0.0,0.004487699956528893,0.004213768470731476,0.0,0.0,0.004965525528997525,0.0,0.0,0.0017083742445322368
tea,0.0,0.0,0.000909993821667638,0.0,0.0007381337912095465,0.0009802644305640005,0.0007337826349993135,0.0,0.0004202718348050623
head,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,0.0,0.0024042063908648417,0.0020807982734634195,0.0,0.0017049987806381176,0.002256905349366155,0.001659075535100181,0.0,0.0012632480411790892
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0006976558652473579,0.0,0.0,0.0008042127651487664,0.0,0.0010218424756761378,0.0003154638882590327
greatcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,0.0,0.0,0.0026456158489816584,0.0,0.0,0.0030307630769145,0.0,0.0,0.0007095473657370198
feather,0.0,0.0,0.0018728693160995665,0.0,0.0012946266477359214,0.0020829575633757383,0.0,0.0,0.0006563066909014033
toilet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,0.0,0.0,0.007011402428872885,0.0,0.0,0.007850747740250104,0.0,0.0,0.0018577687711403737
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyjama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cape,0.0,0.0,0.0005371900449451591,0.0,0.0,0.0006037615672833158,0.0,0.0,0.00014261895152855935
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0006501596511644827,0.0,0.000564297789576468,0.0,0.000558798673212975,0.0,0.0002216570142442407
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mask,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kimono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jumpsuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headdress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comforter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.004149787814297736,0.0,0.003182381389118415,0.0,0.0,0.0,0.0009165211504270189
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunic,0.0,0.0,0.0045820377596574955,0.0,0.0,0.005287138491610029,0.0,0.0,0.0012336470314084406
coat,0.0,0.0,0.0007150931143693276,0.0,0.0,0.0008349630933429283,0.0,0.0,0.000193757025964032
wig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bathrobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0,0.0,0.0017323954178086124,0.0,0.0,0.00198392661559877,0.0,0.0,0.00046454025417592276
heat,0.0,0.0,0.01059166719915851,0.0,0.0,0.011865717804561795,0.0,0.014505208071219914,0.004620324134367528
waistcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtleneck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kettle,0.0,0.0,0.0024179870627646233,0.0,0.0,0.0027500550248987514,0.0,0.003414598873677505,0.00107283012016761
jungle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blanket,0.0,0.0,0.000948196458254155,0.0,0.0,0.0010875799253336185,0.0,0.0,0.0002544720479484717
sealskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blouse,0.0,0.0,0.004604549521786049,0.0,0.0,0.005612941126751454,0.0,0.0,0.0012771863310671878
smoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
helmet,0.0,0.0,0.0009820969755637103,0.0,0.0,0.0011206280382445096,0.0,0.0,0.0002628406267260275
outfit,0.0,0.0,0.0016343541745272654,0.0,0.0,0.001825787678471895,0.0,0.0,0.00043251773162489505
nightgown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taffeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.0,0.0,0.013032685884468003,0.0,0.009884228429799293,0.014344877883494584,0.009968242028684366,0.0,0.00590375427830578
leather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stove,0.0,0.0,0.002098036096548959,0.0,0.0,0.0023081280227089146,0.0,0.0,0.0005507705149072342
deerskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepskin,0.0,0.0,0.015464677157205937,0.010294236618650658,0.008194411057206768,0.0,0.0,0.0,0.00424416560413292
flannel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poncho,0.0,0.0,0.0110664453227862,0.0,0.0,0.013789203629192176,0.0,0.0,0.003106956118997297
wool,0.0,0.0,0.006567029227558797,0.0,0.004920675179787105,0.007380868636114588,0.0,0.0,0.002358571630432561
waist,0.0,0.0,0.0015906773152671034,0.0,0.0,0.0018418648521135298,0.0,0.0,0.00042906777092257913
candle,0.0,0.0,0.01697690236174235,0.0,0.0,0.01878999739973374,0.0,0.023180448406570235,0.0073684185210057904
jacket,0.0,0.0,0.0020452592217101375,0.0,0.0012319173127802521,0.0023623762892431978,0.0,0.0,0.0007049441029666984
nose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiffon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
