,no-cat,measure,relation,object,warm,communication,food,all,mean
skirt,0.012772141921245107,0.0,0.0,0.015708691301164326,0.0,0.0,0.0,0.014244732000758799,0.005340695652896029
tea,0.0009698816302732211,0.0,0.0014257224750170985,0.0011629185503616505,0.0,0.0,0.0013013505410411378,0.0011535948939208917,0.00075168351132675
head,0.0027949133667461213,0.0024540540443398007,0.0029098521403818664,0.0025628294166506285,0.0,0.0028363298538059793,0.0,0.002562340001773784,0.0020150398529622726
dragon,0.0033225243294834777,0.0,0.0,0.0032291649252190763,0.0,0.0,0.0,0.0031466104775567365,0.0012122874665324113
coffee,0.0013684901187485414,0.0,0.0017563970907038802,0.001427966857570335,0.0,0.0,0.0015692486155987275,0.001406836372667751,0.0009411173819111544
sword,0.0004944339044522782,0.0,0.0,0.00041372679045862163,0.0,0.0,0.0,0.00043054248140264275,0.00016733789703919283
glass,0.0,0.0010145205968201225,0.0,0.0009540629179935112,0.0,0.0,0.0,0.0008844150638170592,0.00035662482232883664
heat,0.0,0.01472130118305574,0.0,0.014389489525704138,0.0,0.0,0.0,0.013725384692458533,0.005354521925152301
kettle,0.0,0.002260088007486949,0.0,0.0021749845608019527,0.0,0.0,0.0,0.002043513895556112,0.0008098233079806268
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nose,0.0,0.0033606637749752652,0.0,0.003518196131807769,0.0,0.003404222667648575,0.0,0.0033945861916501187,0.001709708595760216
drink,0.0,0.0045675357875021565,0.005516274684806356,0.0,0.0,0.0,0.005202986126349955,0.004626245491944954,0.002489130261325428
mug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
winter,0.0,0.10553413521521915,0.0,0.0,0.0,0.0,0.0,0.10092651771487383,0.02580758161626162
atmosphere,0.0,0.003912553773111135,0.0,0.003794826264023999,0.0,0.0,0.0,0.00373544864162231,0.0014303535848446806
space,0.0,0.001294442566522959,0.0,0.0012458152572993586,0.0,0.0013701727582621382,0.0,0.001201143366975699,0.0006389467436325193
bag,0.0,0.0007028448523043087,0.0,0.0005810547288636014,0.0,0.0,0.0,0.0005908724381365216,0.00023434650241305395
moon,0.0,0.006153545550947128,0.0,0.00469040850090098,0.0,0.0,0.0,0.004869898103445898,0.001964231519411751
can,0.0,0.008911202865259931,0.0,0.007441840700513526,0.0,0.00858363944658265,0.0,0.007571446482418189,0.004063516186846787
feather,0.0,0.0,0.0050012025744236785,0.0049421562479260005,0.0,0.0,0.0,0.004748455272090134,0.0018364767618049766
linen,0.0,0.0,0.00300603550877952,0.003034457323460352,0.0,0.0,0.0,0.002870155082735264,0.001113830989371892
soup,0.0,0.0,0.004359816882970711,0.0,0.0,0.0,0.003964078303485365,0.0032968173451650954,0.0014525890664526463
juice,0.0,0.0,0.0006836190353501147,0.0,0.0,0.0,0.000620477076152572,0.0004651965640150516,0.0002211615844397173
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.002458737277483187,0.0,0.0,0.0,0.0,0.002104266609044056,0.0005703754858159054
sealskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke,0.0,0.0,0.005226934544394997,0.0,0.0,0.005096187467766798,0.0,0.00463350215114784,0.0018695780204137044
water,0.0,0.0,0.0098595198056182,0.00878852497336226,0.0,0.0,0.009129742378336855,0.008532216974727743,0.004538750516505632
leather,0.0,0.0,0.0030726578190070626,0.0,0.0,0.0,0.0,0.0030639931827210866,0.0007670813752160186
deerskin,0.0,0.0,0.032586997916444115,0.0,0.0,0.0,0.0,0.03834629324736944,0.008866661395476694
sheepskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wool,0.0,0.0,0.009504397820055448,0.008756156795143197,0.0,0.0,0.0,0.008324992109570602,0.003323193340596156
jacket,0.0,0.0,0.011897383788075777,0.01401280676946928,0.0,0.0,0.0,0.012963827548771907,0.004859252263289621
lava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.0,0.0,0.0011960375189772555,0.0010850996232395465,0.0,0.0,0.0,0.001022186200914262,0.000412915417891383
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0,0.0,0.006265740931013809,0.0,0.0,0.0,0.007292668195029779,0.005161313688624325,0.0023399653518334893
greatcoat,0.0,0.0,0.0,0.054172186771742625,0.0,0.0,0.0,0.052602039194127106,0.013346778245733716
boot,0.0,0.0,0.0,0.00141517148226138,0.0,0.0,0.0,0.0013351193610937728,0.0003437863554193941
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.007276080291159156,0.0,0.0,0.0,0.007542703560112511,0.0018523479814089583
sun,0.0,0.0,0.0,0.011745266155139468,0.0,0.0,0.0,0.010955860302754855,0.00283764080723679
toilet,0.0,0.0,0.0,0.000915212950440369,0.0,0.0,0.0,0.0008920541058504973,0.00022590838203635828
clothing,0.0,0.0,0.0,0.025400697728321917,0.0,0.0,0.0,0.024240877990547416,0.0062051969648586666
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0,0.0,0.0,0.0009367892628443783,0.0,0.0,0.0,0.0009296784511834948,0.00023330846425348412
underwear,0.0,0.0,0.0,0.01846773766048658,0.0,0.0,0.0,0.017522057821460803,0.004498724435243423
pyjama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cape,0.0,0.0,0.0,0.0014325227044813206,0.0,0.0,0.0,0.0013619865941028467,0.00034931366232302094
gown,0.0,0.0,0.0,0.005117974241582655,0.0,0.0,0.0,0.004809253495284758,0.0012409034671084266
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footwear,0.0,0.0,0.0,0.0018734606853613662,0.0,0.0,0.0,0.0017527791159942974,0.00045327997516945794
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sock,0.0,0.0,0.0,0.005899771373518785,0.0,0.006315804872380114,0.0,0.005769198897486242,0.0022480968929231428
parka,0.0,0.0,0.0,0.00735552524849192,0.0,0.0,0.0,0.006798012046303908,0.0017691921618494784
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
