,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,object,bird,yellow,vehicle,food,all,mean
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goldfish,0.0036086604723143487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006526104194461366,0.004691407379162739,0.0,0.0,0.0,0.0,0.00489340769426875,0.001314638649347147
bee,0.000706706648086492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007907688591703997,0.0,0.0,0.0,0.0,0.000843703918910227,0.00015607862841114124
cheetah,0.006021702802149559,0.0,0.0,0.0,0.00725864658715647,0.0,0.0,0.0,0.0,0.006379842650689938,0.0,0.0,0.0,0.0,0.006958748386740308,0.0017745960284490847
lion,0.001247297540166854,0.0,0.0,0.0,0.0014154846812314255,0.0,0.0,0.0,0.0,0.0013176987376395557,0.0,0.0,0.0,0.0,0.0013411487250923975,0.00035477531227534885
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.000940281322055886,0.0,0.0,0.0,0.0008558358828217983,0.0,0.0,0.0007965948299585135,0.0,0.0006613247971081242,0.0,0.0,0.0,0.0,0.0006823994397973215,0.00026242908478277624
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skunk,0.002051217286632311,0.0,0.0,0.0,0.0020817063034583826,0.0,0.0,0.0,0.0,0.0012478615741917923,0.0,0.0,0.0,0.0,0.0012494562029604103,0.0004420160911495264
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.004406403938400568,0.0,0.0,0.0,0.0,0.003582082139359499,0.0,0.00365649108408257,0.0,0.0028441764642777607,0.0,0.0,0.0,0.0,0.0028817412727308945,0.0011580596599234196
kingfisher,0.0019247368824218858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013083246534421192,0.0025862684223308405,0.0,0.0,0.0,0.0013500809478862973,0.0004779607270720762
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0027533351742181763,0.0,0.0,0.0,0.0,0.0018900747215506906,0.0,0.0,0.0,0.0017860368504372393,0.0,0.0,0.0,0.0,0.0017667062030534242,0.000546410196617302
human,0.0006851262094900115,0.0,0.0,0.0,0.0006208677037768178,0.0,0.0,0.0,0.0,0.0004532264691438959,0.0,0.0,0.0,0.0,0.000468921843927466,0.00014854281508921277
frog,0.0023714486221211896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014583670070509374,0.0,0.0,0.0,0.0,0.0014972877654298557,0.00035514022630679887
lobster,0.0016732260928613272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012777573227373505,0.0,0.0,0.0,0.0013225843804388882,0.0013120390364149193,0.0003723737888301657
