pair,label,prop-specific,non-specific,p,l,n,i,r,b,u
"('square', 'dongle')",pos,,0.8168580564076694,,,,0.8168580564076694,,,0.8167819883090819
"('square', 'window')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'screen')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'bookmark')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'workroom')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.7985147573081793
"('square', 'washroom')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'desktop')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'table')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'shelf')",pos,,0.8323791193659558,,,,0.8323791193659558,,,0.8329680668510455
"('square', 'bedroom')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'typewriter')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8561118379725579
"('square', 'laptop')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'lounge')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'tart')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'file')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'clipboard')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'recliner')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.7037936283746228
"('square', 'cubicle')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.7985147573081793
"('square', 'computer')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'macintosh')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'suite')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'server')",pos,,0.8168580564076694,,,,0.8168580564076694,,,0.8823106446532378
"('square', 'carrel')",pos,,,,,,,,,0.8113559886686083
"('square', 'snack')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'armrest')",pos,,0.8168580564076694,,,,0.8168580564076694,,,0.8823106446532378
"('square', 'dining')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'room')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'fireplace')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8561118379725579
"('square', 'drawer')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'workstation')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'diskette')",pos,,0.7393089102391427,,,,0.7393089102391427,,,0.8334317563119996
"('square', 'console')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'box')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'workspace')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'apartment')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'hardware')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'hallway')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'notebook')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8561118379725579
"('square', 'playroom')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'sideboard')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8167819883090819
"('square', 'bookcase')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8167819883090819
"('square', 'stairwell')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8167819883090819
"('square', 'phone')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'bookshelf')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'rack')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'floppy')",pos,,0.7393089102391427,,,,0.7393089102391427,,,0.7728975824216008
"('square', 'countertop')",pos,,0.8363588274177424,,,,0.8363588274177424,,,0.7856395120792474
"('square', 'card')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'button')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'refrigerator')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8334317563119996
"('square', 'restroom')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'cupboard')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8561118379725579
"('square', 'bathroom')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8561118379725579
"('square', 'locker')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'cafeteria')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'basement')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'toilet')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'parlor')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'desk')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
"('square', 'keypad')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.7895791239358638
"('square', 'marble')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8561118379725579
"('square', 'lavatory')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8561118379725579
"('square', 'folder')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'page')",pos,,0.8433323329703067,,,,0.8433323329703067,,,0.8823106446532378
"('square', 'tray')",pos,,0.8529709553210362,,,,0.8529709553210362,,,0.8823106446532378
