property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.003394489181586469,0.010343662609858367,,0.010343662609858367,,,,0.010343662609858367,,,0.0029268334477975952
warm,0.003040410638811568,0.005628852626574717,0.0033631013833149578,0.005827105860359946,0.0015924201238009855,0.0036582149265672868,,0.006002363710364689,0.006315151216287085,0.001324253563060826,0.0028343772875440527
black,0.002470247191314728,0.003395441859412692,0.006516497985366011,0.0031838448339243314,0.017445547435318374,0.0034026749676886207,0.0018150945707684268,0.0032814393286729067,0.0023217601303119175,,0.002394404539554899
red,0.0021082619194489824,0.004131421730735758,0.016945666316638002,0.00399363415454326,0.016945666316638002,,,0.004007719329949448,0.0033527586735617306,,0.0019472314179579079
fly,0.00432148456655267,0.005303640800752496,0.004025243018936853,0.005658751295701285,0.0043716141962536065,0.00263975830966984,,0.007671861024626507,0.003645641566776067,,0.0036155597732215475
dangerous,0.0031907048621257427,0.004665357706945457,0.005275578075339109,0.0046122950662155745,0.00341166739773981,0.005393336054615068,0.006668456835834568,0.006100111343162565,0.0032484634790141682,,0.002989980790689302
wings,0.003181855769686401,0.00450903032170086,0.005038001278404997,0.0044467984444415505,,0.005038001278404997,,0.005564505024658122,0.0030763396022014384,0.003301108727659992,0.0029067686807234035
sweet,0.007982460396660089,0.015840197592356785,0.0151780071558961,0.015906416636002858,0.0151780071558961,,,0.015906416636002858,,,0.002220119786482509
hot,0.00654334738278394,0.013273831234775707,0.013379054614131395,0.013224314350373037,0.016781589074855528,0.012405238784430431,0.011924151812809189,0.015169056975682398,0.009658952870639207,,0.004031972811145217
used_in_cooking,0.004583965419652646,0.007817285468199946,0.007976300383499816,0.00781175985338257,0.01755199763473174,0.009820538530370675,0.0034083262242587016,0.010719016149602054,0.004817753591900959,0.0012987176990932531,0.0026010597605893204
juicy,0.006402406153768732,0.014751001156894905,0.03522878196800127,0.013860662860759845,0.03522878196800127,,,0.014377079773663143,0.010417883441404522,,0.004357852275452115
green,0.0028950562112408157,0.00503748252313449,0.010661069553008669,0.004963487956951934,0.010661069553008669,,,0.0051606503892198926,0.0032876072826742903,,0.0025462891372116142
made_of_wood,0.002906146434013847,0.00669794685984687,0.0107187542658405,0.005633615487672083,0.0107187542658405,,,0.008085307371425484,0.0036980692636562414,,0.0025470111513908977
blue,0.0019760711037575306,0.00265696693839338,0.013265923782265253,0.0025832936269776035,0.013265923782265253,,,0.0024609219053229087,0.004663612895107408,,0.0019172312714272831
yellow,0.0026273429295299313,0.004850074073393926,,0.004850074073393926,,,,0.004850074073393926,,,0.0024547036173851546
roll,0.002479365648854326,0.005245151545119859,0.008555307285020793,0.004969305233461449,0.0037889627965345205,0.01059802635151491,,0.004963641941863359,0.004980217429467523,,0.002372132673454825
female,0.005586105568724029,0.011841876164021157,0.006706736250362733,0.012652687729335641,0.006672453649164377,0.006723877550961911,,0.015199941535071152,,0.005520377073276216,0.004004186567614411
cold,0.003599035578186494,0.006161628893636081,0.007574051035759521,0.006057005031256567,0.009935101649058921,,0.005213000422460121,0.006224748720161005,0.004715055520021058,,0.003466566405017083
round,0.0028023297902477606,0.00818337249476162,0.005294668471452619,0.00845208914809269,0.0043175779063564235,0.007919093960730811,0.004624424112366816,0.008519926206232957,0.005602932706201482,,0.0025460896614613875
wheels,0.009030542202298077,0.01563219118174916,0.014381617648126049,0.015863778873160848,0.019072939210941112,0.007344635303903455,,0.018834846009172075,0.014378245305155237,,0.006136668677059245
lay_eggs,0.009405395796755115,0.009872786100295735,,0.009872786100295735,,,,0.011052305786590352,0.007218866806132853,,0.008938005493214494
swim,0.0019232103833491448,0.005043720227002483,0.0024176397620726923,0.005113749039400609,0.0024176397620726923,,,0.006388753843004384,0.004111959550854786,,0.0017750727397231841
median,0.003186280315906072,0.005895240760105398,0.007976300383499816,0.005742928578030615,0.010689911909424584,0.006723877550961911,0.0049187122674134685,0.007030307433815445,0.004689334207564233,0.002312681145360409,0.002717718524066687
