relation,l,n_pairs
pos,0.0031264759728530725,1766
neg,0.0007316101374300729,1186
all,0.003743725934596144,1021
some,0.002216989903215625,745
few,0.0007316101374300729,1186
evidence,0.0029259764815227143,1054
no_evidence_pos,0.003566045537563107,342
no_evidence_neg,0.0006527783024216397,1082
implied_category,0.0025229215296143806,106
typical_of_concept,0.003997172781857217,94
typical_of_property,0.0038925598121880593,218
affording_activity,0.003212814933750526,131
afforded_usual,0.0013938186664707074,54
afforded_unusual,0.005569077414639442,42
variability_limited,0.002270023818789589,474
variability_open,0.003532286348936573,159
variability_limited_scalar,0.030353054776344906,1
variability_open_scalar,0.0019111351626041433,164
rare,0.00114195947453548,110
unusual,0.0006916087206819682,301
impossible,0.00028735944493383836,464
creative,0.0012361638418565933,69
