relation,prop-specific,n_pairs
pos,0.7802084962713668,1766
neg,0.7622234668523276,1186
all,0.7855504968367378,1021
some,0.7780606477361619,745
few,0.7622234668523276,1186
evidence,0.7802084962713668,1686
no_evidence_pos,0.7732841317304731,242
no_evidence_neg,0.7730345008464887,1024
implied_category,0.7341374891588679,16
typical_of_concept,0.8360225986335877,4
affording_activity,0.8580048244596441,4
afforded_usual,,3
afforded_unusual,0.6854092531196235,20
variability_limited,0.7762420488150764,111
variability_open,0.8300705432366731,77
variability_limited_scalar,0.7190156945899354,1
variability_open_scalar,0.5358678743074962,95
rare,0.7622234668523276,19
unusual,0.7341374891588679,81
impossible,0.7769054377866231,307
creative,0.6587448494151213,23
