relation,p,n_pairs
pos,0.005525813500872725,1766
neg,0.001140747088849409,1186
all,0.005850867655098105,1021
some,0.00526433237714365,745
few,0.001140747088849409,1186
evidence,0.005606399997527137,1054
no_evidence_pos,0.005726708669905861,342
no_evidence_neg,0.001030882661634484,1082
implied_category,0.0019391311237284524,16
typical_of_concept,0.004166011251744534,4
affording_activity,0.009163686624237409,4
afforded_usual,0.0,3
afforded_unusual,0.0011106722009657252,20
variability_limited,0.0057003953534020034,111
variability_open,0.006988465514642045,77
variability_limited_scalar,0.0,1
variability_open_scalar,0.0018773933044898207,95
rare,0.004843811276067783,19
unusual,0.0004010009170378511,81
impossible,0.0003483479744254519,307
creative,0.0008852587243732431,23
